time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2003-10-13,1.181,1.181,1.1585,1.1781,,
2003-10-27,1.1768,1.1768,1.1408,1.1535,,
2003-11-10,1.1514,1.1949,1.1492,1.1917,,-1
2003-11-24,1.1918,1.2166,1.1761,1.2166,,-1
2003-12-08,1.2166,1.2435,1.21615,1.2378,,-1
2003-12-22,1.2406,1.2593,1.2393,1.2593,,-1
2004-01-05,1.2585,1.2841,1.2373,1.2373,,-1
2004-01-19,1.2382,1.271,1.2352,1.2475,,-1
2004-02-02,1.2479,1.2826,1.2427,1.2742,,-1
2004-02-16,1.2751,1.2837,1.2433,1.2494,,-1
2004-03-01,1.2485,1.2485,1.2192,1.2222,,
2004-03-15,1.2236,1.239,1.2127,1.2127,,
2004-03-29,1.2121,1.2363,1.2018,1.2093,,
2004-04-12,1.2091,1.2091,1.1842,1.1847,,
2004-04-26,1.1823,1.2175,1.1823,1.1881,,
2004-05-10,1.1878,1.2027,1.182,1.1979,,
2004-05-24,1.1988,1.228,1.1988,1.228,,
2004-06-07,1.2295,1.2321,1.2005,1.2137,1,
2004-06-21,1.214,1.2316,1.2081,1.2316,1,
2004-07-05,1.23235,1.2451,1.2283,1.2451,1,
2004-07-19,1.24415,1.2443,1.20195,1.20195,1,
2004-08-02,1.2051,1.2374,1.20262,1.2374,1,
2004-08-16,1.23725,1.23725,1.2013,1.2013,1,
2004-08-30,1.20175,1.2263,1.20175,1.2263,1,
2004-09-13,1.22665,1.23361,1.21505,1.2275,1,
2004-09-27,1.2282,1.2434,1.2282,1.2409,,
2004-10-11,1.24215,1.2683,1.23278,1.2683,,
2004-10-25,1.26915,1.2966,1.26915,1.2966,,
2004-11-08,1.2972,1.30325,1.2894,1.3026,,
2004-11-22,1.3035,1.3457,1.3035,1.3457,,
2004-12-06,1.34475,1.34475,1.32125,1.3287,,
2004-12-20,1.33325,1.3642,1.33325,1.3568,,
2005-01-03,1.35525,1.35815,1.302475,1.3111,,
2005-01-17,1.3105,1.312805,1.291975,1.3037,,
2005-01-31,1.3032,1.309375,1.273325,1.2866,,-1
2005-02-14,1.2878,1.327315,1.2878,1.32453,,-1
2005-02-28,1.32413,1.348055,1.308935,1.3457,,-1
2005-03-14,1.3461,1.3478,1.292955,1.29575,,-1
2005-03-28,1.2963,1.30582,1.280125,1.2933,,-1
2005-04-11,1.29325,1.312505,1.276665,1.3065,,-1
2005-04-25,1.30645,1.307,1.281105,1.2819,,-1
2005-05-09,1.28175,1.291225,1.253605,1.2559,,-1
2005-05-23,1.25515,1.262725,1.216105,1.2236,,
2005-06-06,1.2225,1.235255,1.201725,1.2286,,
2005-06-20,1.2222,1.223975,1.1939,1.1958,,-1
2005-07-04,1.19425,1.225505,1.186925,1.2035,,-1
2005-07-18,1.20295,1.2255,1.195375,1.2122,,-1
2005-08-01,1.2123,1.248655,1.2119,1.2443,,-1
2005-08-15,1.246,1.2463,1.212575,1.22897,,-1
2005-08-29,1.22978,1.258925,1.217175,1.2409,,-1
2005-09-12,1.24075,1.2416,1.2039,1.2039,,-1
2005-09-26,1.20275,1.220375,1.190205,1.2128,,-1
2005-10-10,1.2115,1.215325,1.187565,1.1953,,
2005-10-24,1.19365,1.217315,1.18035,1.18125,,
2005-11-07,1.1814,1.197755,1.164025,1.1774,,
2005-11-21,1.1771,1.190205,1.166075,1.1718,,
2005-12-05,1.17,1.20615,1.168925,1.2013,,
2005-12-19,1.2024,1.2039,1.17785,1.1848,,
2006-01-02,1.1844,1.21808,1.18015,1.2143,,
2006-01-16,1.2148,1.232325,1.204075,1.2094,,
2006-01-30,1.21065,1.218805,1.189365,1.1906,,
2006-02-13,1.19,1.1974,1.185025,1.18768,,
2006-02-27,1.1873,1.2094,1.1827,1.1909,,
2006-03-13,1.1914,1.220655,1.1911,1.2034,,
2006-03-27,1.2039,1.233195,1.198075,1.2093,,
2006-04-10,1.21065,1.239405,1.206675,1.234,,
2006-04-24,1.237,1.2766,1.233415,1.27272,,
2006-05-08,1.2735,1.29697,1.266215,1.2778,,
2006-05-22,1.27615,1.29404,1.269455,1.29177,,
2006-06-05,1.2934,1.297905,1.253085,1.26425,,
2006-06-19,1.26475,1.27943,1.247895,1.2791,,
2006-07-03,1.27835,1.286755,1.26266,1.26515,,
2006-07-17,1.265,1.277155,1.245765,1.27585,,
2006-07-31,1.27655,1.291285,1.271675,1.27193,,
2006-08-14,1.27245,1.293805,1.269455,1.27525,,
