time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-24,2.5614,2.67235,2.5614,2.6453,,
2004-06-07,2.6423,2.6897,2.6036,2.66885,,
2004-06-21,2.66695,2.66695,2.5662,2.5662,,
2004-07-05,2.5681,2.5825,2.5582,2.5582,,
2004-07-19,2.5574,2.60755,2.5466,2.5891,,
2004-08-02,2.5894,2.5976,2.54965,2.5709,,
2004-08-16,2.5747,2.5747,2.5142,2.5485,,
2004-08-30,2.5537,2.59445,2.5488,2.5838,,
2004-09-13,2.5815,2.5815,2.5177,2.5274,,
2004-09-27,2.5266,2.5349,2.4418,2.4418,,
2004-10-11,2.4372,2.481,2.4372,2.4696,,
2004-10-25,2.4647,2.46565,2.4335,2.4335,,
2004-11-08,2.4289,2.45065,2.3706,2.3706,,
2004-11-22,2.3702,2.48675,2.3702,2.4862,,
2004-12-06,2.486,2.55445,2.486,2.5407,,
2004-12-20,2.5468,2.5468,2.452,2.452,,
2005-01-03,2.4589,2.48185,2.43865,2.4652,,
2005-01-17,2.4619,2.48305,2.42155,2.4361,,
2005-01-31,2.4389,2.45075,2.37255,2.3774,,
2005-02-14,2.3787,2.44405,2.372,2.4409,,
2005-02-28,2.4375,2.45865,2.41145,2.4282,,
2005-03-14,2.4288,2.44015,2.39685,2.4244,,
2005-03-28,2.4244,2.46425,2.4145,2.4434,,
2005-04-11,2.443,2.49845,2.42645,2.4503,,
2005-04-25,2.4502,2.45885,2.42645,2.4389,,
2005-05-09,2.4406,2.44745,2.41345,2.4165,,
2005-05-23,2.4193,2.42495,2.38795,2.4,,
2005-06-06,2.3992,2.40095,2.34475,2.3536,,
2005-06-20,2.3497,2.38415,2.33605,2.3508,,-1
2005-07-04,2.3465,2.37985,2.33325,2.3376,,-1
2005-07-18,2.3403,2.34205,2.26655,2.3233,,-1
2005-08-01,2.3231,2.35325,2.29835,2.3514,,-1
2005-08-15,2.351,2.39405,2.34285,2.3812,,-1
2005-08-29,2.3841,2.41175,2.3721,2.373,,-1
2005-09-12,2.374,2.38,2.33825,2.3451,,-1
2005-09-26,2.33965,2.35375,2.29585,2.3269,,-1
2005-10-10,2.3274,2.37175,2.30625,2.3616,,
2005-10-24,2.3608,2.39945,2.34745,2.3865,,
2005-11-07,2.3888,2.39285,2.33835,2.3429,,
2005-11-21,2.3446,2.34595,2.314,2.3166,,
2005-12-05,2.3183,2.3882,2.30115,2.3836,,
2005-12-19,2.3767,2.399,2.33935,2.3511,,
2006-01-02,2.3489,2.36615,2.33055,2.352,,
2006-01-16,2.3548,2.38425,2.3331,2.3581,,
2006-01-30,2.3586,2.36915,2.34315,2.3646,,
2006-02-13,2.3648,2.37445,2.33635,2.361,,
2006-02-27,2.361,2.37305,2.33585,2.3585,,
2006-03-13,2.3566,2.46175,2.35165,2.458,,
2006-03-27,2.4586,2.48485,2.385,2.3993,,
2006-04-10,2.4015,2.41795,2.37575,2.3954,,
2006-04-24,2.3931,2.42065,2.36705,2.4066,,
2006-05-08,2.4084,2.48795,2.3974,2.4792,,
2006-05-22,2.4805,2.51545,2.44605,2.5023,,
2006-06-05,2.5061,2.51735,2.4556,2.5077,,
2006-06-19,2.5069,2.5127,2.46295,2.4879,,
2006-07-03,2.4847,2.4896,2.4274,2.4407,,
2006-07-17,2.4411,2.47365,2.42445,2.428,,
2006-07-31,2.4282,2.51505,2.4275,2.4665,,
2006-08-14,2.4709,2.4995,2.4628,2.4921,,
2006-08-28,2.4943,2.5038,2.44935,2.4738,,
2006-09-11,2.4758,2.5355,2.4733,2.5316,,
2006-09-25,2.5331,2.54215,2.49725,2.519,,
2006-10-09,2.5191,2.52215,2.4657,2.4827,,-1
2006-10-23,2.4825,2.4831,2.45935,2.4697,,-1
2006-11-06,2.4707,2.4992,2.4552,2.4636,,-1
2006-11-20,2.4641,2.5137,2.4597,2.511,,-1
2006-12-04,2.5022,2.5196,2.47925,2.4974,,-1
2006-12-18,2.4987,2.521,2.4766,2.4831,,-1
2007-01-01,2.4831,2.5085,2.45745,2.4995,,-1
2007-01-15,2.4985,2.54355,2.49255,2.5319,,-1
2007-01-29,2.5334,2.5499,2.4978,2.5116,,
2007-02-12,2.5109,2.52685,2.4665,2.4799,,
2007-02-26,2.4822,2.5021,2.4701,2.4767,,
2007-03-12,2.4783,2.4812,2.42055,2.4369,,
2007-03-26,2.4344,2.44678,2.40117,2.40787,,
2007-04-09,2.40758,2.41577,2.37791,2.39046,,
2007-04-23,2.39392,2.43399,2.39295,2.42533,,
2007-05-07,2.42754,2.42959,2.37326,2.39989,,
2007-05-21,2.39518,2.42924,2.37914,2.37973,,
2007-06-04,2.37984,2.39153,2.32927,2.34661,,
2007-06-18,2.35284,2.39162,2.34451,2.36506,,-1
2007-07-02,2.36598,2.36618,2.33341,2.3351,,-1
2007-07-16,2.335,2.38171,2.31062,2.3762,,-1
2007-07-30,2.37845,2.40279,2.35096,2.39574,,-1
2007-08-13,2.39133,2.56532,2.38018,2.43496,,-1
2007-08-27,2.43028,2.48593,2.42107,2.45427,,-1
2007-09-10,2.45443,2.48192,2.3111,2.3311,,-1
2007-09-24,2.33217,2.34283,2.26773,2.27513,,-1
2007-10-08,2.26987,2.3052,2.24323,2.30451,,
2007-10-22,2.3044,2.32034,2.2188,2.26312,,
2007-11-05,2.26813,2.35188,2.23134,2.30108,,
2007-11-19,2.29206,2.38911,2.28345,2.32493,1,
2007-12-03,2.32694,2.36868,2.2911,2.34444,1,
2007-12-17,2.33554,2.36101,2.26593,2.27916,1,
2007-12-31,2.27445,2.28823,2.23044,2.26343,1,
2008-01-07,2.26464,2.27427,2.16971,2.22421,1,
2008-01-21,2.22709,2.28098,2.17269,2.17324,1,
2008-02-04,2.17609,2.20053,2.14783,2.15744,1,
2008-02-18,2.1551,2.15771,2.09526,2.13688,1,
2008-03-03,2.13135,2.20127,2.10668,2.15467,,
2008-03-17,2.15134,2.21379,2.13323,2.17432,,
2008-03-31,2.17833,2.19079,2.11034,2.12215,,
2008-04-14,2.11997,2.15393,2.08338,2.12765,,
2008-04-28,2.12583,2.13651,2.06422,2.07106,,
2008-05-12,2.07442,2.09302,2.03247,2.06398,,
2008-05-26,2.06383,2.07525,2.02995,2.04721,,
2008-06-09,2.04792,2.09366,2.04347,2.07275,,
2008-06-23,2.07034,2.09705,2.05507,2.05751,,
2008-07-07,2.05927,2.0783,2.03966,2.06018,,
2008-07-21,2.054,2.1273,2.04026,2.1258,,
2008-08-04,2.12548,2.20493,2.10626,2.15463,,
2008-08-18,2.1509,2.16002,2.11283,2.12268,,
2008-09-01,2.11924,2.21414,2.09757,2.17828,,
2008-09-15,2.20029,2.31501,2.18094,2.21948,,
2008-09-29,2.21827,2.70969,2.19471,2.64865,,
2008-10-13,2.55052,2.64089,2.39802,2.55507,,
2008-10-27,2.55617,2.59474,2.27722,2.31998,,
2008-11-10,2.30449,2.43436,2.2192,2.35947,,
2008-11-24,2.35624,2.40916,2.24557,2.27292,,
2008-12-08,2.27149,2.30472,2.14055,2.19508,,
2008-12-22,2.18763,2.19842,2.0359,2.04556,,
2009-01-05,2.04314,2.23126,2.02368,2.18835,,
2009-01-19,2.19228,2.28774,2.0751,2.28774,,
2009-02-02,2.27359,2.28244,2.1737,2.18579,,
2009-02-16,2.18123,2.2648,2.1767,2.24039,,
2009-03-02,2.23604,2.25743,2.1117,2.12765,,
2009-03-16,2.13258,2.15021,2.05284,2.06296,,
2009-03-30,2.06838,2.10069,2.03317,2.03948,,
2009-04-13,2.01319,2.09105,2.01084,2.02948,,
2009-04-27,2.03184,2.08729,1.96925,1.98163,,
2009-05-11,1.98048,2.04527,1.97419,2.03558,,
2009-05-25,2.03804,2.06121,1.98793,2.01466,,
2009-06-08,2.00504,2.07724,1.99511,2.04549,,
2009-06-22,2.05123,2.08858,2.03238,2.04958,,
2009-07-06,2.05398,2.09801,2.02003,2.03576,,
2009-07-20,2.03826,2.03941,1.98287,1.99961,,
2009-08-03,2.00093,2.02727,1.95858,1.98679,,
2009-08-17,1.99207,2.01012,1.92857,1.93454,,
2009-08-31,1.93337,1.95844,1.90628,1.92944,,
2009-09-14,1.93456,1.94226,1.83479,1.83765,,
2009-09-28,1.83844,1.84725,1.75175,1.75342,,
2009-10-12,1.75159,1.80198,1.7332,1.7677,,
2009-10-26,1.77015,1.8361,1.75784,1.80793,,
2009-11-09,1.80566,1.81955,1.76987,1.80431,,
2009-11-23,1.80381,1.82668,1.78344,1.80112,,
2009-12-07,1.79899,1.83115,1.77044,1.81532,,
2009-12-21,1.80905,1.83029,1.77087,1.79964,,
2010-01-04,1.79311,1.80092,1.72578,1.76262,,
2010-01-18,1.76576,1.81392,1.75829,1.80899,,
2010-02-01,1.81235,1.82834,1.7516,1.76857,,
2010-02-15,1.76544,1.76767,1.699,1.70162,,
2010-03-01,1.691335,1.693405,1.62476,1.661315,,-1
2010-03-15,1.65292,1.66704,1.62806,1.647875,,-1
2010-03-29,1.648085,1.66337,1.63068,1.64732,,-1
2010-04-12,1.64723,1.67428,1.645415,1.65728,,-1
2010-04-26,1.66202,1.692425,1.628525,1.667775,,-1
2010-05-10,1.650865,1.7778,1.62208,1.736465,,-1
2010-05-24,1.738915,1.776025,1.70002,1.755605,,-1
2010-06-07,1.75707,1.789425,1.697835,1.69989,,-1
2010-06-21,1.68584,1.812405,1.67493,1.805555,,
2010-07-05,1.805905,1.81436,1.711955,1.7608,,
2010-07-19,1.763275,1.77168,1.70556,1.73503,,
2010-08-02,1.73503,1.754335,1.726185,1.74616,,
2010-08-16,1.74773,1.76087,1.716025,1.727305,,
2010-08-30,1.72163,1.73751,1.65653,1.657525,,
2010-09-13,1.65232,1.674035,1.63144,1.65005,,
2010-09-27,1.64567,1.65747,1.6039,1.62066,,
2010-10-11,1.611845,1.625685,1.59466,1.59562,,
2010-10-25,1.58775,1.64172,1.576725,1.593015,,
2010-11-08,1.5951,1.64257,1.583585,1.61996,,
2010-11-22,1.618585,1.632565,1.586595,1.588675,,
2010-12-06,1.591885,1.616955,1.568145,1.57214,,
2010-12-20,1.56922,1.573115,1.51515,1.525655,,
2011-01-03,1.5257,1.60844,1.51398,1.605005,,
2011-01-17,1.60144,1.620855,1.58129,1.595665,,
2011-01-31,1.60198,1.61121,1.57615,1.597545,,
2011-02-14,1.60119,1.62587,1.57839,1.58383,,
2011-02-28,1.587235,1.614135,1.58268,1.586235,,
2011-03-14,1.5857,1.64934,1.56053,1.56352,,
2011-03-28,1.563465,1.580045,1.544695,1.550925,,
2011-04-11,1.5497,1.56701,1.52691,1.53781,,
2011-04-25,1.53877,1.55277,1.51215,1.52933,,
2011-05-09,1.52614,1.545385,1.504235,1.522635,,
2011-05-23,1.524885,1.55066,1.522585,1.53283,,
2011-06-06,1.5318,1.555465,1.51955,1.52441,,
2011-06-20,1.524385,1.539195,1.488765,1.492695,,
2011-07-04,1.490595,1.517875,1.47948,1.51523,,
2011-07-18,1.51568,1.52095,1.47602,1.493785,,
2011-08-01,1.48915,1.638875,1.47942,1.57192,,-1
2011-08-15,1.5702,1.59689,1.538235,1.548245,,-1
2011-08-29,1.5446,1.547825,1.498895,1.51727,,-1
2011-09-12,1.518075,1.59147,1.516325,1.57932,,-1
2011-09-26,1.577955,1.63595,1.57013,1.592185,,-1
2011-10-10,1.59513,1.59557,1.52427,1.537505,,-1
2011-10-24,1.5418,1.55675,1.49958,1.545915,,-1
2011-11-07,1.543655,1.582505,1.53876,1.57921,,-1
2011-11-21,1.579805,1.605705,1.52135,1.52662,,
2011-12-05,1.5241,1.566185,1.51663,1.557225,,
2011-12-19,1.55624,1.56783,1.51177,1.52263,,
2012-01-02,1.516865,1.522265,1.48015,1.483435,,
2012-01-16,1.48517,1.495225,1.46867,1.475715,,-1
2012-01-30,1.479045,1.488935,1.46185,1.47615,,-1
2012-02-13,1.47606,1.486895,1.455605,1.483995,,-1
2012-02-27,1.483975,1.495805,1.46839,1.481995,,-1
