time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-24,2.49475,2.517,2.48655,2.48655,,
2004-06-07,2.48815,2.5153,2.47755,2.50545,,
2004-06-21,2.50635,2.50635,2.42385,2.42385,,
2004-07-05,2.42455,2.45635,2.42455,2.45635,,
2004-07-19,2.45215,2.4537,2.4066,2.42245,,
2004-08-02,2.42145,2.43455,2.402,2.41345,,
2004-08-16,2.41345,2.41345,2.342,2.35135,,
2004-08-30,2.35185,2.3663,2.2823,2.32015,,
2004-09-13,2.32095,2.3382,2.2989,2.30075,,
2004-09-27,2.30305,2.3055,2.2401,2.24615,,
2004-10-11,2.24595,2.2726,2.24595,2.25555,,
2004-10-25,2.25415,2.25415,2.22295,2.22295,,
2004-11-08,2.21545,2.2328,2.2031,2.21615,,
2004-11-22,2.21815,2.31615,2.2062,2.31615,,
2004-12-06,2.31525,2.3828,2.31525,2.38135,,
2004-12-20,2.38755,2.3911,2.30165,2.30165,,
2005-01-03,2.30165,2.3234,2.2573,2.27745,,
2005-01-17,2.27745,2.3455,2.2578,2.33905,,
2005-01-31,2.33955,2.3571,2.3069,2.31015,,
2005-02-14,2.31015,2.3842,2.30785,2.37735,,
2005-02-28,2.37735,2.3889,2.3086,2.32345,,
2005-03-14,2.32195,2.325,2.2673,2.27875,,
2005-03-28,2.27875,2.31805,2.2655,2.31725,,
2005-04-11,2.31625,2.3874,2.3093,2.36395,,
2005-04-25,2.36175,2.4077,2.3439,2.34925,,
2005-05-09,2.34925,2.3507,2.3029,2.31325,,
2005-05-23,2.31255,2.3184,2.2555,2.26365,,
2005-06-06,2.26225,2.2953,2.2471,2.25075,,
2005-06-20,2.2479,2.2664,2.1786,2.19575,,-1
2005-07-04,2.19575,2.1997,2.1129,2.13865,,-1
2005-07-18,2.13945,2.1701,2.1064,2.15045,,-1
2005-08-01,2.14665,2.182,2.13985,2.17245,,-1
2005-08-15,2.17515,2.19685,2.1382,2.16005,,-1
2005-08-29,2.15725,2.20135,2.12115,2.16665,,-1
2005-09-12,2.16595,2.16855,2.07595,2.07785,,-1
2005-09-26,2.0772,2.10415,2.03935,2.06805,,-1
2005-10-10,2.06765,2.10255,2.04285,2.10105,,
2005-10-24,2.09865,2.10835,2.05755,2.07105,,
2005-11-07,2.07125,2.08705,2.03275,2.04175,,
2005-11-21,2.04135,2.04915,1.99405,2.01365,,
2005-12-05,2.01325,2.05645,1.9989,2.05475,,
2005-12-19,2.05175,2.07005,1.9947,2.00255,,
2006-01-02,2.00255,2.07485,1.99695,2.06245,,
2006-01-16,2.05945,2.07205,2.02835,2.03185,,
2006-01-30,2.03135,2.04225,1.98975,2.01075,,
2006-02-13,2.01205,2.02205,1.99595,2.00495,,
2006-02-27,2.00495,2.02185,1.97555,2.00345,,
2006-03-13,2.00345,2.05045,1.99825,2.03375,,
2006-03-27,2.03375,2.05665,1.99465,2.00235,,
