time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-09-16,0.4688,0.472,0.4688,0.4712,,
2002-09-30,0.4703,0.48355,0.4693,0.47955,,
2002-10-14,0.4804,0.4872,0.47845,0.4872,,
2002-10-28,0.4872,0.4997,0.48305,0.4966,,
2002-11-11,0.4954,0.5032,0.4933,0.5032,,
2002-11-25,0.503,0.503,0.49425,0.5019,,
2002-12-09,0.5022,0.51785,0.5016,0.516,,
2002-12-23,0.5168,0.5286,0.51565,0.5286,,
2003-01-06,0.5274,0.5518,0.5274,0.5518,,
2003-01-20,0.5525,0.55345,0.54225,0.5448,,
2003-02-03,0.5432,0.55375,0.5432,0.5528,,
2003-02-17,0.5528,0.5662,0.54965,0.5596,,
2003-03-03,0.5584,0.56705,0.54735,0.5515,,
2003-03-17,0.5516,0.55315,0.54755,0.5508,,
2003-03-31,0.5511,0.55475,0.5378,0.5458,,
2003-04-14,0.5449,0.5614,0.5449,0.5548,,
2003-04-28,0.556,0.5762,0.55575,0.5762,,
2003-05-12,0.5788,0.5867,0.57135,0.5849,,
2003-05-26,0.5843,0.58565,0.5755,0.5768,,
2003-06-09,0.5766,0.58525,0.57295,0.5838,,
2003-06-23,0.5835,0.59595,0.5789,0.59595,,
2003-07-07,0.595,0.60075,0.5731,0.5731,,
2003-07-21,0.5714,0.5878,0.5714,0.5845,,
2003-08-04,0.5844,0.5904,0.57895,0.5904,,
2003-08-18,0.5904,0.5904,0.56955,0.5783,,
2003-09-01,0.5783,0.58495,0.56545,0.5834,,
2003-09-15,0.584,0.59595,0.584,0.5887,,
2003-09-29,0.5887,0.6004,0.5887,0.6004,,
2003-10-13,0.6011,0.6094,0.59455,0.6094,,
2003-10-27,0.6081,0.6176,0.60745,0.6176,,
2003-11-10,0.6163,0.6429,0.6163,0.6429,,-1
2003-11-24,0.6419,0.64655,0.63605,0.6451,,-1
2003-12-08,0.6456,0.65085,0.6447,0.6447,,-1
2003-12-22,0.6452,0.659,0.64125,0.659,,-1
2004-01-05,0.6594,0.68295,0.6594,0.6645,,-1
2004-01-19,0.6645,0.67825,0.65545,0.6739,,-1
