time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-04-29,127.15,128.92,127.15,127.63,,
2002-05-13,127.62,128.54,124.17,124.72,,
2002-05-27,124.85,124.85,123.4,124.38,,
2002-06-10,124.41,125.7,121.39,121.39,,
2002-06-24,121.39,121.875,119.48,120.39,,
2002-07-08,120.05,120.05,115.88,115.88,,
2002-07-22,115.84,120.19,115.84,118.9,,
2002-08-05,118.85,121,117.32,117.72,,
2002-08-19,117.7,119.94,117.7,118.33,,
2002-09-02,118.45,121.74,117.095,121.74,,
2002-09-16,121.88,123.95,121.44,122.54,,
2002-09-30,122.58,124.355,121.66,124.03,,
2002-10-14,124.14,125.53,124.14,124.31,,
2002-10-28,124.2,124.2,119.82,119.82,,
2002-11-11,119.85,122.8,119.535,122.8,,
2002-11-25,122.9,124.845,121.625,123.56,,
2002-12-09,123.35,123.795,120.46,120.48,,
2002-12-23,120.3,120.44,118.73,119.74,,
2003-01-06,119.73,120.435,117.7,117.7,,
2003-01-20,117.82,119.88,117.82,119.88,,
2003-02-03,119.67,121.285,119.67,120.32,,
2003-02-17,120.45,120.45,117.085,118.11,,
2003-03-03,118.19,118.535,116.825,118.32,,
2003-03-17,118.23,121.5,118.23,119.74,,
2003-03-31,119.84,120.52,117.975,120.52,,
2003-04-14,120.54,120.54,119.555,120.19,,-1
2003-04-28,120.23,120.465,116.45,117.42,,-1
2003-05-12,117.27,117.495,115.45,116.87,,-1
2003-05-26,116.83,119.64,116.83,118.66,,-1
2003-06-09,118.75,118.75,117.4,118.39,,-1
2003-06-23,118.5,119.755,117.785,118.06,,-1
2003-07-07,118.06,118.8,117.68,118.45,,-1
2003-07-21,118.56,120.545,118.415,120.14,,-1
2003-08-04,120.19,120.325,118.595,119.13,,
2003-08-18,119.22,119.455,116.93,116.93,,
2003-09-01,116.76,117.29,115.885,117.29,,
2003-09-15,117.28,117.475,111.73,111.73,,
2003-09-29,111.77,111.77,108.68,108.68,,
2003-10-13,108.49,110.385,108.49,109.25,,
2003-10-27,109.26,111.175,108.255,109.3,,
2003-11-10,109.29,109.29,108.075,108.77,,-1
2003-11-24,108.79,109.69,107.69,107.69,,-1
2003-12-08,107.75,108.305,107.025,107.84,,-1
2003-12-22,107.66,107.66,106.915,106.94,,-1
2004-01-05,107.06,107.06,106.185,106.72,,-1
2004-01-19,106.68,107.255,105.635,105.76,,-1
2004-02-02,105.68,105.905,105.375,105.46,,-1
2004-02-16,105.51,109.645,105.475,108.96,,-1
2004-03-01,109.07,112.06,108.955,110.88,,
2004-03-15,110.73,110.73,105.95,105.95,,
2004-03-29,105.85,106.45,103.715,106.45,,
2004-04-12,106.31,109.415,105.385,108.97,,
2004-04-26,108.96,112.22,108.595,112.22,,
2004-05-10,112.3,114.505,112.29,112.29,,
2004-05-24,112.09,112.935,109.525,111.15,,
2004-06-07,110.96,111.025,108.88,108.88,1,
2004-06-21,108.8,109.285,107.155,108.32,1,
2004-07-05,108.32,109.795,107.92,108.69,1,
2004-07-19,108.84,112.005,108.235,111.35,1,
2004-08-02,111.045,111.825,110.42,110.71,1,
