time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-27,78.34,78.34,78.34,78.34,NaN,NaN
2004-06-01,78.34,78.34,76.275,76.275,NaN,NaN
2004-06-04,76.275,77.46,76.275,76.845,NaN,NaN
2004-06-09,76.845,76.845,76.135,76.135,NaN,NaN
2004-06-14,76.275,76.395,75.895,75.895,NaN,NaN
2004-06-17,75.895,75.895,74.79,75.17,NaN,NaN
2004-06-22,75.17,75.17,74.655,74.98,NaN,NaN
2004-06-25,74.98,75.51,74.7,74.7,NaN,NaN
2004-06-30,74.7,77.265,74.7,77.265,NaN,NaN
2004-07-05,77.255,78.56,77.255,78.56,NaN,NaN
2004-07-08,78.56,78.755,78.065,78.755,NaN,NaN
2004-07-13,78.755,79.335,78.755,79.335,NaN,NaN
2004-07-16,79.335,79.625,79.09,79.09,NaN,NaN
2004-07-21,79.09,79.09,78.145,78.145,NaN,NaN
2004-07-26,78.095,78.14,77.58,78.14,NaN,NaN
2004-07-29,78.14,78.35,77.88,77.88,NaN,NaN
2004-08-03,77.88,78.675,77.88,78.675,NaN,NaN
2004-08-06,78.675,79.39,78.675,79.39,NaN,NaN
2004-08-11,79.39,79.39,79.265,79.375,NaN,NaN
2004-08-16,78.975,79.34,78.27,78.27,NaN,NaN
2004-08-19,78.27,79.26,78.27,78.37,NaN,NaN
2004-08-24,78.37,78.37,77.17,77.17,NaN,NaN
2004-08-27,77.17,77.17,76.865,76.88,NaN,NaN
2004-09-01,76.88,77.03,76.36,76.375,NaN,NaN
2004-09-06,76.385,76.385,75.96,76.16,NaN,NaN
2004-09-09,76.16,76.62,75.51,76.62,NaN,NaN
2004-09-14,76.62,76.97,76.52,76.595,NaN,NaN
2004-09-17,76.595,77.14,76.595,77.14,NaN,NaN
2004-09-22,77.14,79.05,77.14,79.035,NaN,NaN
2004-09-27,79.005,79.96,79.005,79.495,NaN,NaN
2004-09-30,79.495,80.245,79.495,80.075,NaN,-1
2004-10-05,80.075,80.985,80.075,80.985,NaN,-1
2004-10-08,80.985,80.985,80.145,80.145,NaN,-1
2004-10-13,80.145,80.145,79.705,79.945,NaN,-1
2004-10-18,79.845,79.845,78.79,79.54,NaN,-1
2004-10-21,79.54,79.7,79.245,79.7,NaN,-1
2004-10-26,79.7,79.7,79.28,79.38,NaN,-1
2004-10-29,79.185,79.5,79.185,79.34,NaN,-1
2004-11-03,79.34,80.545,79.34,80.545,NaN,NaN
2004-11-08,80.485,81.42,79.96,81.42,NaN,NaN
2004-11-11,81.42,81.53,81.215,81.45,NaN,NaN
2004-11-16,81.45,81.45,81.12,81.12,NaN,NaN
2004-11-19,81.12,81.21,80.75,81.21,NaN,NaN
2004-11-24,81.21,81.21,81.04,81.105,NaN,NaN
2004-11-29,81.125,81.125,79.44,79.76,NaN,NaN
2004-12-02,79.76,79.935,79.76,79.79,NaN,NaN
2004-12-07,79.79,79.79,78.86,78.86,NaN,NaN
2004-12-10,78.86,79.85,78.86,79.85,NaN,NaN
2004-12-15,79.85,79.85,79.32,79.635,NaN,NaN
2004-12-20,79.365,79.79,79.365,79.55,NaN,NaN
2004-12-23,79.55,80.12,79.42,80.12,NaN,NaN
2004-12-28,80.12,80.395,80.12,80.375,NaN,NaN
2004-12-31,80.375,80.375,80.135,80.135,NaN,NaN
2005-01-03,80.195,80.46,79.44,79.64,NaN,NaN
2005-01-06,79.64,80.06,78.94,79.05,NaN,NaN
2005-01-11,79.05,79.46,77.95,78.36,NaN,NaN
2005-01-14,78.36,78.47,77.01,77.25,NaN,NaN
2005-01-19,77.25,79.42,77.02,79.025,NaN,NaN
2005-01-24,79.035,79.92,78.87,79.88,NaN,NaN
2005-01-27,79.88,80.44,79.75,80.42,NaN,NaN
2005-02-01,80.42,80.89,79.87,80.54,NaN,NaN
2005-02-04,80.54,81.15,79.865,81.11,NaN,NaN
2005-02-09,81.11,83.2,80.64,83.095,NaN,NaN
2005-02-14,82.855,82.965,82.05,82.69,NaN,-1
2005-02-17,82.69,83.545,82.55,83.39,NaN,-1
2005-02-22,83.39,83.41,82.3,82.88,NaN,-1
2005-02-25,82.88,82.96,81.74,82.18,NaN,-1
2005-03-02,82.18,83.04,81.52,82.855,NaN,-1
2005-03-07,82.725,83.67,82.27,82.46,NaN,-1
2005-03-10,82.46,83.01,81.99,82.55,NaN,-1
2005-03-15,82.55,83.01,82.11,82.94,NaN,-1
2005-03-18,82.94,83.32,82.39,82.69,NaN,NaN
2005-03-23,82.69,82.69,81.53,82.065,NaN,NaN
2005-03-28,82.125,83.15,82.095,82.87,NaN,-1
2005-03-31,82.87,83.19,82.56,83.13,NaN,-1
2005-04-05,83.13,83.44,82.57,83.23,NaN,-1
2005-04-08,83.23,83.93,83.06,83.57,NaN,-1
2005-04-13,83.57,83.71,82.745,82.835,NaN,-1
2005-04-18,82.735,82.98,82.05,82.88,NaN,-1
2005-04-21,82.88,83.255,82.22,82.48,NaN,-1
2005-04-26,82.48,82.76,81.99,82.64,NaN,-1
2005-04-29,82.64,82.68,81.18,81.33,NaN,NaN
2005-05-04,81.33,81.79,81.01,81.445,NaN,NaN
2005-05-09,81.425,82.29,81.285,81.91,NaN,NaN
2005-05-12,81.91,82.165,80.69,80.7,NaN,NaN
2005-05-17,80.7,81.63,80.66,81.62,NaN,NaN
2005-05-20,81.62,82.18,81.41,82.13,NaN,NaN
2005-05-25,82.13,82.47,81.58,82.355,NaN,NaN
2005-05-30,82.185,82.38,81.14,81.51,NaN,NaN
2005-06-02,81.51,81.92,81.3,81.86,NaN,NaN
2005-06-07,81.86,82.66,81.61,82.47,NaN,NaN
2005-06-10,82.47,83.82,82.18,83.54,NaN,NaN
2005-06-15,83.54,84.78,83.35,84.455,NaN,NaN
2005-06-20,84.535,85.02,84.19,84.8,NaN,NaN
2005-06-23,84.8,84.81,83.65,84.02,NaN,NaN
2005-06-28,84.02,84.6,83.82,84.58,NaN,NaN
2005-07-01,84.58,84.72,82.68,82.81,NaN,NaN
2005-07-06,82.81,83.47,82.69,83.225,NaN,NaN
2005-07-11,83.295,84.06,83.11,83.9,NaN,NaN
2005-07-14,83.9,84.54,83.81,84.4,NaN,NaN
2005-07-19,84.4,85.7,84.045,84.425,NaN,NaN
2005-07-22,84.425,85.36,84.285,85.3,NaN,NaN
2005-07-27,85.3,85.52,84.68,85.105,NaN,NaN
2005-08-01,85.115,85.83,84.9,85.73,NaN,NaN
