time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,1.15295,1.15345,1.152,1.152,NaN,NaN
2004-05-06,1.152,1.152,1.13775,1.1452,NaN,NaN
2004-05-11,1.1452,1.1506,1.1399,1.1475,NaN,NaN
2004-05-14,1.1475,1.1475,1.14335,1.1465,NaN,NaN
2004-05-19,1.1465,1.14745,1.1452,1.14745,NaN,NaN
2004-05-24,1.14685,1.14685,1.13835,1.13835,NaN,NaN
2004-05-27,1.13835,1.13835,1.12995,1.13145,NaN,NaN
2004-06-01,1.13145,1.13145,1.1148,1.1148,NaN,NaN
2004-06-04,1.1148,1.11945,1.1148,1.1167,NaN,NaN
2004-06-09,1.1167,1.1173,1.1003,1.10045,NaN,NaN
2004-06-14,1.10175,1.10175,1.0932,1.0956,NaN,NaN
2004-06-17,1.0956,1.10005,1.0956,1.09805,NaN,NaN
2004-06-22,1.09805,1.1023,1.095,1.1023,NaN,NaN
2004-06-25,1.1023,1.1023,1.0912,1.0941,NaN,NaN
2004-06-30,1.0941,1.10205,1.0941,1.10205,NaN,NaN
2004-07-05,1.10185,1.10185,1.098,1.101,NaN,NaN
2004-07-08,1.101,1.101,1.09765,1.1005,NaN,NaN
2004-07-13,1.1005,1.1107,1.1005,1.1107,NaN,NaN
2004-07-16,1.1107,1.1163,1.11005,1.1123,NaN,NaN
2004-07-21,1.1123,1.1168,1.1123,1.11645,NaN,NaN
2004-07-26,1.11675,1.11675,1.1121,1.1121,NaN,NaN
2004-07-29,1.1121,1.1121,1.0991,1.0991,NaN,NaN
2004-08-03,1.0991,1.0991,1.0905,1.0923,NaN,NaN
2004-08-06,1.0923,1.0959,1.0923,1.0927,NaN,NaN
2004-08-11,1.0927,1.0927,1.07605,1.07605,NaN,NaN
2004-08-16,1.07705,1.0801,1.07705,1.07755,NaN,NaN
2004-08-19,1.07755,1.07855,1.07565,1.0772,NaN,-1
2004-08-24,1.0772,1.0881,1.0772,1.08,NaN,-1
2004-08-27,1.08,1.08,1.07415,1.0746,NaN,-1
2004-09-01,1.0746,1.0753,1.07025,1.07025,NaN,-1
2004-09-06,1.07045,1.0727,1.0661,1.0721,NaN,-1
2004-09-09,1.0721,1.0721,1.0548,1.06,NaN,-1
2004-09-14,1.06,1.06065,1.0582,1.0586,NaN,-1
2004-09-17,1.0586,1.06025,1.05695,1.06,NaN,-1
2004-09-22,1.06,1.07115,1.06,1.06845,NaN,NaN
2004-09-27,1.06945,1.0722,1.06945,1.0699,NaN,NaN
2004-09-30,1.0699,1.07765,1.0699,1.07765,NaN,-1
2004-10-05,1.07765,1.07765,1.0718,1.07605,NaN,-1
2004-10-08,1.07605,1.07785,1.07235,1.0764,NaN,-1
2004-10-13,1.0764,1.0764,1.06415,1.06415,NaN,-1
2004-10-18,1.06475,1.06475,1.0591,1.06365,NaN,-1
2004-10-21,1.06365,1.066,1.06365,1.066,NaN,-1
2004-10-26,1.066,1.09265,1.066,1.09265,NaN,-1
2004-10-29,1.09265,1.09435,1.08945,1.08945,NaN,-1
2004-11-03,1.08945,1.09795,1.08945,1.09795,NaN,NaN
2004-11-08,1.09625,1.1114,1.0953,1.1114,NaN,NaN
2004-11-11,1.1114,1.1117,1.1041,1.1041,NaN,NaN
2004-11-16,1.1041,1.1043,1.10175,1.10175,NaN,NaN
2004-11-19,1.10175,1.10565,1.10175,1.1037,NaN,NaN
2004-11-24,1.1037,1.10895,1.10295,1.10295,NaN,NaN
2004-11-29,1.10255,1.10255,1.08,1.0826,NaN,NaN
2004-12-02,1.0826,1.08415,1.0744,1.0744,NaN,NaN
2004-12-07,1.0744,1.0796,1.0597,1.0621,NaN,NaN
2004-12-10,1.0621,1.06865,1.0621,1.0666,NaN,-1
