time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-27,1.7039,1.7039,1.7039,1.7039,NaN,NaN
2004-06-01,1.7039,1.7752,1.7039,1.7752,NaN,NaN
2004-06-04,1.7752,1.7752,1.7424,1.7507,NaN,NaN
2004-06-09,1.7507,1.7507,1.7351,1.7351,NaN,NaN
2004-06-14,1.733,1.754,1.733,1.7423,NaN,NaN
2004-06-17,1.7423,1.76695,1.7423,1.7553,NaN,NaN
2004-06-22,1.7553,1.7606,1.73925,1.73925,NaN,NaN
2004-06-25,1.73925,1.75055,1.7381,1.75055,NaN,NaN
2004-06-30,1.75055,1.75055,1.7249,1.7264,NaN,NaN
2004-07-05,1.7279,1.7279,1.71085,1.71085,NaN,NaN
2004-07-08,1.71085,1.72035,1.7057,1.7057,NaN,NaN
2004-07-13,1.7057,1.7108,1.70045,1.7094,NaN,NaN
2004-07-16,1.7094,1.7094,1.6945,1.6945,NaN,NaN
2004-07-21,1.6945,1.7146,1.6945,1.7046,NaN,NaN
2004-07-26,1.7068,1.7242,1.7068,1.7227,NaN,NaN
2004-07-29,1.7227,1.7227,1.70975,1.70975,NaN,NaN
2004-08-03,1.70975,1.7133,1.70575,1.7133,NaN,NaN
2004-08-06,1.7133,1.7207,1.7133,1.71585,NaN,NaN
2004-08-11,1.71585,1.7259,1.70845,1.7259,NaN,NaN
2004-08-16,1.7293,1.7293,1.72135,1.72315,NaN,NaN
2004-08-19,1.72315,1.72315,1.7017,1.7017,NaN,NaN
2004-08-24,1.7017,1.7201,1.7017,1.7201,NaN,NaN
2004-08-27,1.7201,1.7301,1.7098,1.7301,NaN,NaN
2004-09-01,1.7301,1.7454,1.7301,1.7444,NaN,NaN
2004-09-06,1.7432,1.7492,1.7422,1.7492,NaN,NaN
2004-09-09,1.7492,1.7739,1.7492,1.76075,NaN,NaN
2004-09-14,1.76075,1.76075,1.7428,1.7428,NaN,NaN
2004-09-17,1.7428,1.7536,1.73675,1.7536,NaN,NaN
2004-09-22,1.7536,1.7536,1.7179,1.7179,NaN,NaN
2004-09-27,1.7183,1.7226,1.7171,1.7198,NaN,NaN
2004-09-30,1.7198,1.7198,1.7027,1.7027,NaN,NaN
2004-10-05,1.7027,1.7027,1.6872,1.6872,NaN,NaN
2004-10-08,1.6872,1.6902,1.6844,1.6873,NaN,NaN
2004-10-13,1.6873,1.7047,1.6873,1.7047,NaN,NaN
2004-10-18,1.7065,1.7226,1.7065,1.7132,NaN,NaN
2004-10-21,1.7132,1.7151,1.7109,1.7151,NaN,NaN
2004-10-26,1.7151,1.7151,1.70675,1.70675,NaN,NaN
2004-10-29,1.7112,1.7112,1.7029,1.7029,NaN,NaN
2004-11-03,1.7029,1.7029,1.6969,1.6998,NaN,NaN
2004-11-08,1.6988,1.7057,1.6941,1.6973,NaN,NaN
2004-11-11,1.6973,1.6973,1.6737,1.6737,NaN,NaN
2004-11-16,1.6737,1.6769,1.66545,1.66545,NaN,NaN
2004-11-19,1.66545,1.6667,1.6623,1.6648,NaN,NaN
2004-11-24,1.6648,1.6814,1.6648,1.6814,NaN,NaN
2004-11-29,1.6804,1.7221,1.6804,1.7149,NaN,NaN
2004-12-02,1.7149,1.7334,1.7131,1.7334,NaN,NaN
2004-12-07,1.7334,1.7654,1.7334,1.7654,NaN,NaN
2004-12-10,1.7654,1.7654,1.75395,1.75835,NaN,NaN
2004-12-15,1.75835,1.75835,1.7396,1.7396,NaN,NaN
2004-12-20,1.7459,1.7531,1.7459,1.7531,NaN,NaN
2004-12-23,1.7531,1.7619,1.7507,1.7507,NaN,NaN
2004-12-28,1.7507,1.7572,1.74695,1.7494,NaN,NaN
2004-12-31,1.7494,1.7494,1.7339,1.7339,NaN,NaN
2005-01-03,1.7359,1.74335,1.7245,1.73425,NaN,NaN
2005-01-06,1.73425,1.74045,1.71915,1.72585,NaN,NaN
2005-01-11,1.72585,1.73615,1.71625,1.72775,NaN,NaN
2005-01-14,1.72775,1.7345,1.71925,1.72365,NaN,NaN
2005-01-19,1.72365,1.72755,1.69105,1.6947,NaN,NaN
2005-01-24,1.6958,1.70155,1.68415,1.68685,NaN,NaN
2005-01-27,1.68685,1.69005,1.67395,1.68095,NaN,NaN
2005-02-01,1.68095,1.69355,1.67335,1.68285,NaN,NaN
2005-02-04,1.68285,1.68805,1.65505,1.66515,1,NaN
2005-02-09,1.66515,1.67185,1.6359,1.6369,1,NaN
2005-02-14,1.6386,1.66695,1.6361,1.661,1,NaN
2005-02-17,1.661,1.66885,1.65335,1.65445,1,NaN
2005-02-22,1.65445,1.68565,1.6534,1.67775,1,NaN
2005-02-25,1.67775,1.68655,1.66775,1.67525,1,NaN
2005-03-02,1.67525,1.68935,1.66675,1.6739,1,NaN
2005-03-07,1.6764,1.69215,1.66285,1.68815,1,NaN
2005-03-10,1.68815,1.70465,1.68165,1.69795,NaN,NaN
2005-03-15,1.69795,1.69975,1.68225,1.68585,NaN,NaN
2005-03-18,1.68585,1.68965,1.66505,1.67165,NaN,NaN
2005-03-23,1.67165,1.68565,1.67095,1.6796,NaN,NaN
2005-03-28,1.6786,1.68125,1.66955,1.6761,NaN,NaN
2005-03-31,1.6761,1.68415,1.67125,1.6734,NaN,NaN
2005-04-05,1.6734,1.68695,1.6712,1.67805,NaN,NaN
2005-04-08,1.67805,1.67845,1.6638,1.6663,NaN,NaN
2005-04-13,1.6663,1.6829,1.656,1.6814,NaN,NaN
2005-04-18,1.6799,1.70355,1.678,1.68735,NaN,NaN
2005-04-21,1.68735,1.69225,1.6616,1.6662,NaN,NaN
2005-04-26,1.6662,1.67435,1.65215,1.65525,NaN,NaN
2005-04-29,1.65525,1.66895,1.64505,1.66255,NaN,NaN
2005-05-04,1.66255,1.66955,1.65135,1.6535,NaN,NaN
2005-05-09,1.6547,1.66535,1.64815,1.65485,NaN,NaN
2005-05-12,1.65485,1.67395,1.65165,1.67195,NaN,NaN
2005-05-17,1.67195,1.67255,1.66275,1.66775,NaN,NaN
2005-05-20,1.66775,1.67055,1.6474,1.6493,NaN,NaN
2005-05-25,1.6493,1.65665,1.64485,1.6492,NaN,NaN
2005-05-30,1.6454,1.6476,1.62455,1.62505,NaN,NaN
2005-06-02,1.62505,1.63435,1.60185,1.60195,NaN,NaN
2005-06-07,1.60195,1.6054,1.58955,1.5927,NaN,NaN
2005-06-10,1.5927,1.5998,1.57205,1.57655,NaN,NaN
2005-06-15,1.57655,1.5801,1.56315,1.5793,NaN,NaN
2005-06-20,1.57265,1.5753,1.55395,1.55745,NaN,NaN
2005-06-23,1.55745,1.58595,1.55365,1.58155,NaN,NaN
2005-06-28,1.58155,1.5934,1.57275,1.588,NaN,NaN
2005-07-01,1.588,1.60925,1.5816,1.60725,NaN,NaN
2005-07-06,1.60725,1.61875,1.60225,1.613,NaN,NaN
2005-07-11,1.6119,1.622,1.61055,1.6128,NaN,NaN
2005-07-14,1.6128,1.61415,1.5965,1.5988,NaN,NaN
2005-07-19,1.5988,1.61025,1.5866,1.59035,NaN,NaN
2005-07-22,1.59035,1.59295,1.57535,1.58525,NaN,NaN
2005-07-27,1.58525,1.60395,1.5827,1.6023,NaN,NaN
2005-08-01,1.6034,1.6084,1.59045,1.5985,NaN,NaN
2005-08-04,1.5985,1.617,1.59575,1.6162,NaN,NaN
2005-08-09,1.6162,1.6294,1.6056,1.61095,NaN,NaN
2005-08-12,1.61095,1.61475,1.60115,1.60665,NaN,NaN
2005-08-17,1.60665,1.6231,1.60215,1.6174,NaN,NaN
2005-08-22,1.6184,1.6246,1.612,1.6241,NaN,NaN
2005-08-25,1.6241,1.6329,1.6156,1.6252,NaN,NaN
2005-08-30,1.6252,1.6418,1.6252,1.6393,NaN,NaN
2005-09-02,1.6393,1.64385,1.62305,1.6238,NaN,NaN
2005-09-07,1.6238,1.6286,1.6005,1.6009,NaN,NaN
2005-09-12,1.5998,1.6024,1.5905,1.59205,NaN,NaN
2005-09-15,1.59205,1.6007,1.58215,1.58305,NaN,NaN
2005-09-20,1.58305,1.59475,1.5757,1.59375,NaN,NaN
2005-09-23,1.59375,1.5996,1.58545,1.58935,NaN,NaN
2005-09-28,1.58935,1.59375,1.57355,1.5784,NaN,NaN
2005-10-03,1.577,1.5845,1.5595,1.583,NaN,NaN
2005-10-06,1.583,1.60855,1.5816,1.58965,NaN,NaN
2005-10-11,1.58965,1.6035,1.58645,1.6021,NaN,NaN
2005-10-14,1.6021,1.6101,1.5963,1.599,NaN,NaN
2005-10-19,1.599,1.6042,1.5884,1.5962,NaN,NaN
2005-10-24,1.5958,1.6043,1.5919,1.59895,NaN,NaN
2005-10-27,1.59895,1.61465,1.5963,1.6027,NaN,NaN
2005-11-01,1.6027,1.6297,1.6015,1.6155,NaN,NaN
2005-11-04,1.6155,1.6238,1.5997,1.6036,NaN,NaN
2005-11-09,1.6036,1.6087,1.5934,1.601,NaN,NaN
2005-11-14,1.6006,1.6089,1.5943,1.597,NaN,NaN
2005-11-17,1.597,1.6105,1.5914,1.5932,NaN,NaN
2005-11-22,1.5932,1.60785,1.59125,1.5955,NaN,NaN
2005-11-25,1.5955,1.6023,1.5909,1.5964,NaN,NaN
2005-11-30,1.5964,1.5989,1.5633,1.5666,NaN,NaN
2005-12-05,1.5664,1.57695,1.5617,1.56805,NaN,NaN
2005-12-08,1.56805,1.5874,1.56495,1.5822,NaN,NaN
2005-12-13,1.5822,1.60815,1.5785,1.60065,NaN,NaN
2005-12-16,1.60065,1.62555,1.60045,1.61625,NaN,NaN
2005-12-21,1.61625,1.63285,1.6095,1.6289,NaN,NaN
2005-12-26,1.6289,1.637,1.61775,1.62315,NaN,NaN
2005-12-29,1.62315,1.62935,1.6067,1.6167,NaN,NaN
2006-01-02,1.6167,1.62785,1.60975,1.6226,NaN,-1
2006-01-05,1.6226,1.62495,1.60155,1.60265,NaN,-1
2006-01-10,1.60265,1.6129,1.5975,1.6043,NaN,-1
2006-01-13,1.6043,1.6106,1.6012,1.609,NaN,-1
2006-01-18,1.609,1.6249,1.6086,1.6223,NaN,-1
2006-01-23,1.6216,1.6401,1.6186,1.62605,NaN,-1
2006-01-26,1.62605,1.6279,1.6098,1.6148,NaN,-1
2006-01-31,1.6148,1.6157,1.6003,1.6052,NaN,-1
2006-02-03,1.6052,1.62015,1.5997,1.61965,NaN,NaN
2006-02-08,1.61965,1.6254,1.6106,1.614,NaN,NaN
2006-02-13,1.6137,1.6176,1.6031,1.60915,NaN,NaN
2006-02-16,1.60915,1.6194,1.60525,1.6111,NaN,NaN
2006-02-21,1.6111,1.62095,1.6098,1.6134,NaN,NaN
2006-02-24,1.6134,1.6157,1.6023,1.606,NaN,NaN
2006-03-01,1.606,1.6181,1.59705,1.6161,NaN,NaN
2006-03-06,1.6175,1.6289,1.6138,1.62385,NaN,NaN
2006-03-09,1.62385,1.6322,1.61675,1.6249,NaN,NaN
2006-03-14,1.6249,1.65625,1.6233,1.65105,NaN,NaN
2006-03-17,1.65105,1.696,1.64795,1.68785,NaN,NaN
2006-03-22,1.68785,1.7004,1.6736,1.698,NaN,NaN
2006-03-27,1.6981,1.712,1.68855,1.7024,NaN,-1
2006-03-30,1.7024,1.7049,1.6807,1.6959,NaN,-1
2006-04-04,1.6959,1.7054,1.6694,1.67295,NaN,-1
2006-04-07,1.67295,1.67635,1.6532,1.6555,NaN,-1
2006-04-12,1.6555,1.66805,1.6506,1.6636,NaN,-1
2006-04-17,1.6651,1.67105,1.6532,1.6582,NaN,-1
2006-04-20,1.6582,1.6741,1.6542,1.6643,NaN,-1
2006-04-25,1.6643,1.67195,1.6507,1.6572,NaN,-1
2006-04-28,1.6572,1.666,1.65385,1.6557,NaN,NaN
2006-05-03,1.6557,1.6599,1.6374,1.6474,NaN,NaN
2006-05-08,1.6489,1.6622,1.6466,1.6502,NaN,NaN
2006-05-11,1.6502,1.6876,1.6443,1.6823,NaN,NaN
2006-05-16,1.6823,1.6853,1.6687,1.6806,NaN,NaN
2006-05-19,1.6806,1.7124,1.6747,1.7044,NaN,NaN
2006-05-24,1.7044,1.7086,1.6769,1.6816,NaN,NaN
2006-05-29,1.6835,1.7085,1.6784,1.703,NaN,NaN
2006-06-01,1.703,1.7315,1.7007,1.7252,NaN,NaN
2006-06-06,1.7252,1.7355,1.6993,1.7072,NaN,NaN
2006-06-09,1.7072,1.7072,1.682,1.6996,NaN,NaN
2006-06-14,1.6996,1.7133,1.6981,1.713,NaN,NaN
2006-06-19,1.7127,1.7217,1.6995,1.7112,NaN,NaN
2006-06-22,1.7112,1.7215,1.7051,1.7175,NaN,NaN
2006-06-27,1.7175,1.7255,1.7091,1.7141,NaN,NaN
2006-06-30,1.7141,1.7264,1.7079,1.7186,NaN,NaN
2006-07-05,1.7186,1.721,1.7023,1.705,NaN,NaN
2006-07-10,1.7048,1.7074,1.6849,1.69,NaN,NaN
2006-07-13,1.69,1.6919,1.6709,1.6743,NaN,NaN
2006-07-18,1.6743,1.6844,1.6632,1.6816,NaN,NaN
2006-07-21,1.6816,1.6896,1.6684,1.67,NaN,NaN
2006-07-26,1.67,1.6742,1.6582,1.6623,NaN,NaN
2006-07-31,1.6637,1.67945,1.6617,1.67415,1,NaN
