time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-27,1.9279,1.9279,1.9279,1.9279,NaN,NaN
2004-06-01,1.9279,1.98005,1.9279,1.98005,NaN,NaN
2004-06-04,1.98005,1.98005,1.9437,1.9548,NaN,NaN
2004-06-09,1.9548,1.9548,1.90915,1.90915,NaN,NaN
2004-06-14,1.90885,1.9316,1.9061,1.9099,NaN,NaN
2004-06-17,1.9099,1.93735,1.9099,1.9271,NaN,NaN
2004-06-22,1.9271,1.9372,1.917,1.917,NaN,NaN
2004-06-25,1.917,1.917,1.9009,1.9149,NaN,NaN
2004-06-30,1.9149,1.9172,1.8974,1.90265,NaN,NaN
2004-07-05,1.90205,1.90205,1.88415,1.88415,NaN,NaN
2004-07-08,1.88415,1.88945,1.8776,1.8776,NaN,NaN
2004-07-13,1.8776,1.8989,1.8767,1.8989,NaN,NaN
2004-07-16,1.8989,1.8989,1.8849,1.8849,NaN,NaN
2004-07-21,1.8849,1.9151,1.8849,1.90275,NaN,NaN
2004-07-26,1.90525,1.9217,1.90525,1.9168,NaN,NaN
2004-07-29,1.9168,1.9168,1.8792,1.8792,NaN,NaN
2004-08-03,1.8792,1.8792,1.8643,1.8723,NaN,NaN
2004-08-06,1.8723,1.88315,1.8723,1.875,NaN,NaN
2004-08-11,1.875,1.875,1.85685,1.85685,NaN,NaN
2004-08-16,1.86245,1.86245,1.8569,1.8569,NaN,NaN
2004-08-19,1.8569,1.8569,1.83175,1.8353,NaN,NaN
2004-08-24,1.8353,1.8649,1.8353,1.8576,NaN,NaN
2004-08-27,1.8576,1.85885,1.83915,1.85885,NaN,NaN
2004-09-01,1.85885,1.8768,1.85885,1.86675,NaN,NaN
2004-09-06,1.86485,1.8753,1.8573,1.8753,NaN,NaN
2004-09-09,1.8753,1.8753,1.8659,1.8659,NaN,-1
2004-09-14,1.8659,1.8659,1.8453,1.8453,NaN,-1
2004-09-17,1.8453,1.8585,1.8417,1.8585,NaN,-1
2004-09-22,1.8585,1.8585,1.83565,1.83565,NaN,-1
2004-09-27,1.83755,1.8468,1.83755,1.84085,NaN,-1
2004-09-30,1.84085,1.84515,1.83475,1.8353,NaN,-1
2004-10-05,1.8353,1.8353,1.81485,1.81485,NaN,-1
2004-10-08,1.81485,1.81815,1.81075,1.81615,NaN,-1
2004-10-13,1.81615,1.8247,1.81335,1.81335,NaN,NaN
2004-10-18,1.81895,1.82545,1.81895,1.82285,NaN,-1
2004-10-21,1.82285,1.8284,1.82025,1.8284,NaN,-1
2004-10-26,1.8284,1.86505,1.8284,1.86505,NaN,-1
2004-10-29,1.86565,1.86565,1.85535,1.85535,NaN,-1
2004-11-03,1.85535,1.8653,1.85535,1.8653,NaN,-1
2004-11-08,1.8634,1.88615,1.8634,1.88615,NaN,-1
2004-11-11,1.88615,1.88615,1.8481,1.8481,NaN,-1
2004-11-16,1.8481,1.8523,1.8353,1.8353,NaN,-1
2004-11-19,1.8353,1.8387,1.8353,1.8374,NaN,NaN
2004-11-24,1.8374,1.8543,1.8374,1.8543,NaN,NaN
2004-11-29,1.8527,1.8593,1.8527,1.8567,NaN,NaN
2004-12-02,1.8567,1.8657,1.8537,1.8632,NaN,NaN
2004-12-07,1.8632,1.87605,1.8632,1.87605,NaN,NaN
2004-12-10,1.87605,1.8827,1.875,1.8762,NaN,NaN
2004-12-15,1.8762,1.8762,1.8612,1.8612,NaN,NaN
2004-12-20,1.8652,1.8831,1.8652,1.8806,NaN,NaN
2004-12-23,1.8806,1.8953,1.8806,1.8849,NaN,NaN
2004-12-28,1.8849,1.905,1.8849,1.8983,NaN,NaN
2004-12-31,1.8983,1.8983,1.8894,1.8894,NaN,NaN
2005-01-03,1.8854,1.9033,1.8768,1.8971,NaN,NaN
2005-01-06,1.8971,1.8994,1.86815,1.8843,NaN,NaN
2005-01-11,1.8843,1.8897,1.8673,1.8768,NaN,NaN
2005-01-14,1.8768,1.88695,1.8674,1.8708,NaN,NaN
2005-01-19,1.8708,1.8726,1.8231,1.8244,NaN,NaN
2005-01-24,1.8285,1.8347,1.8147,1.8255,NaN,NaN
2005-01-27,1.8255,1.8377,1.8189,1.8347,NaN,NaN
2005-02-01,1.8347,1.8391,1.8212,1.827,NaN,NaN
2005-02-04,1.827,1.8319,1.8096,1.8251,NaN,NaN
2005-02-09,1.8251,1.8304,1.7991,1.8017,NaN,NaN
2005-02-14,1.8041,1.8287,1.8034,1.826,NaN,NaN
2005-02-17,1.826,1.828,1.7946,1.8013,NaN,NaN
2005-02-22,1.8013,1.837,1.7983,1.8301,NaN,NaN
2005-02-25,1.8301,1.8365,1.8124,1.8133,NaN,NaN
2005-03-02,1.8133,1.8214,1.795,1.806,NaN,NaN
2005-03-07,1.8052,1.83165,1.793,1.81275,NaN,NaN
2005-03-10,1.81275,1.826,1.80265,1.81155,NaN,NaN
2005-03-15,1.81155,1.8139,1.79535,1.80015,NaN,NaN
2005-03-18,1.80015,1.80355,1.7803,1.7891,NaN,NaN
2005-03-23,1.7891,1.8227,1.7879,1.814,NaN,NaN
2005-03-28,1.8148,1.8313,1.8119,1.8246,NaN,NaN
2005-03-31,1.8246,1.83385,1.8135,1.8154,NaN,NaN
2005-04-05,1.8154,1.8273,1.8004,1.8061,NaN,NaN
2005-04-08,1.8061,1.8076,1.7897,1.7911,1,NaN
2005-04-13,1.7911,1.8075,1.7695,1.805,1,NaN
2005-04-18,1.8019,1.8222,1.7935,1.7982,1,NaN
2005-04-21,1.7982,1.8069,1.7721,1.7846,1,NaN
2005-04-26,1.7846,1.7999,1.769,1.7699,1,NaN
2005-04-29,1.7699,1.77885,1.75615,1.7714,1,NaN
2005-05-04,1.7714,1.7768,1.7455,1.7484,1,NaN
2005-05-09,1.7505,1.7666,1.7479,1.7562,1,NaN
2005-05-12,1.7562,1.7919,1.75245,1.7899,NaN,NaN
2005-05-17,1.7899,1.7907,1.7714,1.777,1,NaN
2005-05-20,1.777,1.7868,1.7613,1.7641,1,NaN
2005-05-25,1.7641,1.7689,1.7541,1.7587,1,NaN
2005-05-30,1.7548,1.7598,1.7418,1.7465,1,NaN
2005-06-02,1.7465,1.7573,1.7286,1.7289,1,NaN
2005-06-07,1.7289,1.733,1.7091,1.717,1,NaN
2005-06-10,1.717,1.722,1.696,1.7008,1,NaN
2005-06-15,1.7008,1.7146,1.6878,1.7133,1,NaN
2005-06-20,1.7056,1.7083,1.6878,1.6903,NaN,NaN
2005-06-23,1.6903,1.724,1.6901,1.7177,NaN,NaN
2005-06-28,1.7177,1.7429,1.7137,1.7368,NaN,NaN
2005-07-01,1.7368,1.76575,1.7329,1.76035,NaN,NaN
2005-07-06,1.76035,1.7846,1.75565,1.77725,NaN,NaN
2005-07-11,1.77415,1.805,1.77145,1.79675,NaN,NaN
2005-07-14,1.79675,1.79805,1.77505,1.77795,NaN,NaN
2005-07-19,1.77795,1.8003,1.76815,1.77405,NaN,NaN
2005-07-22,1.77405,1.77865,1.75525,1.76215,NaN,NaN
2005-07-27,1.76215,1.78395,1.76045,1.78105,NaN,NaN
2005-08-01,1.78415,1.78915,1.77205,1.7838,NaN,NaN
2005-08-04,1.7838,1.79605,1.7802,1.7846,NaN,NaN
2005-08-09,1.7846,1.79145,1.7625,1.7673,NaN,NaN
2005-08-12,1.7673,1.7708,1.747,1.7555,NaN,NaN
2005-08-17,1.7555,1.7566,1.7435,1.75015,NaN,NaN
2005-08-22,1.75275,1.7604,1.749,1.7595,NaN,-1
2005-08-25,1.7595,1.773,1.7554,1.76425,NaN,-1
2005-08-30,1.76425,1.78305,1.76065,1.7716,NaN,-1
2005-09-02,1.7716,1.78345,1.7567,1.7581,NaN,-1
2005-09-07,1.7581,1.7709,1.7529,1.7529,NaN,-1
2005-09-12,1.7498,1.7536,1.7306,1.7323,NaN,-1
2005-09-15,1.7323,1.7421,1.7236,1.7329,NaN,-1
2005-09-20,1.7329,1.75675,1.7301,1.75375,NaN,-1
2005-09-23,1.75375,1.77075,1.74795,1.76535,NaN,NaN
2005-09-28,1.76535,1.77205,1.73385,1.73955,NaN,NaN
2005-10-03,1.73625,1.73695,1.7056,1.7258,NaN,NaN
2005-10-06,1.7258,1.7518,1.71925,1.7272,NaN,NaN
2005-10-11,1.7272,1.73885,1.7181,1.73625,NaN,NaN
2005-10-14,1.73625,1.74105,1.7125,1.7213,NaN,NaN
2005-10-19,1.7213,1.7227,1.704,1.7073,NaN,NaN
2005-10-24,1.7072,1.7224,1.6991,1.7194,NaN,NaN
2005-10-27,1.7194,1.7242,1.7094,1.7118,NaN,NaN
2005-11-01,1.7118,1.74685,1.7078,1.73435,NaN,NaN
2005-11-04,1.73435,1.7868,1.6854,1.72365,NaN,NaN
2005-11-09,1.72365,1.72845,1.69665,1.70725,NaN,NaN
2005-11-14,1.70815,1.72525,1.70115,1.70415,NaN,NaN
2005-11-17,1.70415,1.71975,1.69995,1.70265,NaN,NaN
2005-11-22,1.70265,1.71485,1.6931,1.69575,NaN,NaN
2005-11-25,1.69575,1.69675,1.6744,1.6818,NaN,NaN
2005-11-30,1.6818,1.6826,1.6395,1.6435,NaN,NaN
2005-12-05,1.6419,1.6733,1.6341,1.6708,NaN,NaN
2005-12-08,1.6708,1.692,1.6643,1.6808,1,NaN
2005-12-13,1.6808,1.73765,1.6791,1.7263,1,NaN
2005-12-16,1.7263,1.74935,1.7261,1.74195,1,NaN
2005-12-21,1.74195,1.7685,1.73545,1.76035,1,NaN
2005-12-26,1.76035,1.7628,1.73715,1.73775,1,NaN
2005-12-29,1.73775,1.7458,1.72595,1.73445,1,NaN
2006-01-02,1.73385,1.76695,1.7302,1.76355,1,NaN
2006-01-05,1.76355,1.77085,1.7403,1.741,1,NaN
2006-01-10,1.741,1.74685,1.72755,1.73625,NaN,NaN
2006-01-13,1.73625,1.75615,1.7308,1.75275,NaN,-1
2006-01-18,1.75275,1.78855,1.75125,1.78575,NaN,-1
2006-01-23,1.78575,1.8163,1.77875,1.77995,NaN,-1
2006-01-26,1.77995,1.8056,1.76925,1.77385,NaN,-1
2006-01-31,1.77385,1.77895,1.75075,1.75215,NaN,-1
2006-02-03,1.75215,1.76665,1.74425,1.76565,NaN,-1
2006-02-08,1.76565,1.7759,1.75165,1.75395,NaN,-1
2006-02-13,1.75465,1.771,1.74795,1.7643,NaN,-1
2006-02-16,1.7643,1.7931,1.7594,1.7808,NaN,NaN
2006-02-21,1.7808,1.8135,1.7785,1.8021,NaN,NaN
2006-02-24,1.8021,1.80535,1.7889,1.8009,NaN,NaN
2006-03-01,1.8009,1.81125,1.788,1.80855,NaN,NaN
2006-03-06,1.80945,1.8406,1.80825,1.8284,NaN,NaN
2006-03-09,1.8284,1.8722,1.8273,1.8712,NaN,NaN
2006-03-14,1.8712,1.9113,1.861,1.9026,NaN,NaN
2006-03-17,1.9026,1.9536,1.9002,1.9407,NaN,NaN
2006-03-22,1.9407,1.9808,1.914,1.978,NaN,NaN
2006-03-27,1.9717,2.00375,1.96115,1.98695,NaN,NaN
2006-03-30,1.98695,1.99325,1.95455,1.99255,NaN,-1
2006-04-04,1.99255,2.02255,1.98325,1.99385,NaN,-1
2006-04-07,1.99385,1.99775,1.97895,1.98565,NaN,-1
2006-04-12,1.98565,1.98755,1.9333,1.95825,NaN,-1
2006-04-17,1.9624,1.97225,1.9402,1.9523,NaN,-1
2006-04-20,1.9523,1.9791,1.9405,1.974,NaN,-1
2006-04-25,1.974,1.995,1.962,1.9815,NaN,-1
2006-04-28,1.9815,1.9884,1.9701,1.9707,NaN,-1
2006-05-03,1.9707,1.9911,1.9591,1.98425,NaN,NaN
2006-05-08,1.98345,2.0518,1.98075,2.0426,NaN,NaN
2006-05-11,2.0426,2.08365,2.0138,2.06455,NaN,NaN
2006-05-16,2.06455,2.06765,2.041,2.062,NaN,NaN
