time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-02,0.91825,0.91825,0.91825,0.91825,NaN,NaN
2002-05-07,0.91825,0.91825,0.90435,0.90935,NaN,NaN
2002-05-10,0.90935,0.9141,0.90275,0.90275,NaN,NaN
2002-05-15,0.90275,0.9209,0.90275,0.9209,NaN,NaN
2002-05-20,0.9201,0.92575,0.91985,0.92575,NaN,NaN
2002-05-23,0.92575,0.92575,0.9209,0.9209,NaN,NaN
2002-05-28,0.9209,0.93705,0.9209,0.93705,NaN,NaN
2002-05-31,0.93705,0.94105,0.9329,0.93935,NaN,NaN
2002-06-05,0.93935,0.94765,0.93935,0.944,NaN,NaN
2002-06-10,0.9432,0.94825,0.9432,0.94395,NaN,NaN
2002-06-13,0.94395,0.9456,0.94345,0.94445,NaN,NaN
2002-06-18,0.94445,0.965,0.94445,0.965,NaN,NaN
2002-06-21,0.965,0.97935,0.965,0.97935,NaN,NaN
2002-06-26,0.97935,0.9919,0.97935,0.9919,NaN,NaN
2002-07-01,0.9915,0.9915,0.98065,0.98065,NaN,NaN
2002-07-04,0.98065,0.99075,0.9731,0.99075,NaN,NaN
2002-07-09,0.99075,0.99355,0.98855,0.98915,NaN,NaN
2002-07-12,0.98915,1.01195,0.98915,1.01195,NaN,NaN
2002-07-17,1.01195,1.01195,1.00705,1.0117,NaN,NaN
2002-07-22,1.0112,1.0112,0.98885,0.99515,NaN,NaN
2002-07-25,0.99515,1.00445,0.9808,0.9808,NaN,NaN
2002-07-30,0.9808,0.98445,0.9775,0.98445,NaN,NaN
2002-08-02,0.98445,0.9866,0.96635,0.96635,NaN,NaN
2002-08-07,0.96635,0.97485,0.96635,0.9704,NaN,NaN
2002-08-12,0.9698,0.98385,0.9698,0.9797,NaN,NaN
2002-08-15,0.9797,0.9851,0.97625,0.97625,1,NaN
2002-08-20,0.97625,0.98065,0.96915,0.96915,1,NaN
2002-08-23,0.96915,0.9833,0.96915,0.9833,1,NaN
2002-08-28,0.9833,0.98485,0.97925,0.9822,1,NaN
2002-09-02,0.9823,0.99695,0.9823,0.9929,1,NaN
2002-09-05,0.9929,0.9929,0.97955,0.97955,1,NaN
2002-09-10,0.97955,0.98195,0.97555,0.98195,1,NaN
2002-09-13,0.98195,0.98195,0.9692,0.97465,1,NaN
