time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-27,2.5614,2.5614,2.5614,2.5614,NaN,NaN
2004-06-01,2.5614,2.67235,2.5614,2.67235,NaN,NaN
2004-06-04,2.67235,2.67235,2.6036,2.61975,NaN,NaN
2004-06-09,2.61975,2.65195,2.61975,2.62895,NaN,NaN
2004-06-14,2.62375,2.65045,2.62375,2.65045,NaN,NaN
2004-06-17,2.65045,2.6897,2.65045,2.6536,NaN,NaN
2004-06-22,2.6536,2.6536,2.6081,2.6081,NaN,NaN
2004-06-25,2.6081,2.6185,2.607,2.6185,NaN,NaN
2004-06-30,2.6185,2.6185,2.5662,2.5662,NaN,NaN
2004-07-05,2.5681,2.5825,2.56615,2.56615,NaN,NaN
2004-07-08,2.56615,2.5749,2.5601,2.5601,NaN,NaN
2004-07-13,2.5601,2.5646,2.5601,2.564,NaN,NaN
2004-07-16,2.564,2.564,2.5466,2.5466,NaN,NaN
2004-07-21,2.5466,2.5818,2.5466,2.5818,NaN,NaN
2004-07-26,2.5842,2.60755,2.5842,2.60755,NaN,NaN
2004-07-29,2.60755,2.60755,2.5891,2.5976,NaN,NaN
2004-08-03,2.5976,2.5976,2.5831,2.59225,NaN,NaN
2004-08-06,2.59225,2.59225,2.5617,2.5617,NaN,NaN
2004-08-11,2.5617,2.5709,2.54965,2.5709,NaN,NaN
2004-08-16,2.5747,2.5747,2.5478,2.5478,NaN,NaN
2004-08-19,2.5478,2.5478,2.5142,2.53425,NaN,NaN
2004-08-24,2.53425,2.5534,2.53425,2.5534,NaN,NaN
2004-08-27,2.5534,2.566,2.5485,2.5596,NaN,NaN
2004-09-01,2.5596,2.56995,2.5488,2.56995,NaN,NaN
2004-09-06,2.56795,2.5715,2.5528,2.5644,NaN,NaN
2004-09-09,2.5644,2.59445,2.5644,2.58,NaN,NaN
2004-09-14,2.58,2.58,2.5549,2.56475,NaN,NaN
2004-09-17,2.56475,2.5691,2.5475,2.5542,NaN,NaN
2004-09-22,2.5542,2.5542,2.5177,2.5274,NaN,NaN
2004-09-27,2.5266,2.5349,2.5093,2.5093,NaN,NaN
2004-09-30,2.5093,2.5093,2.4726,2.4726,NaN,NaN
2004-10-05,2.4726,2.4726,2.44765,2.44765,NaN,NaN
2004-10-08,2.44765,2.45375,2.4372,2.45235,1,NaN
2004-10-13,2.45235,2.4712,2.45235,2.467,1,NaN
2004-10-18,2.4684,2.481,2.4684,2.47395,1,NaN
2004-10-21,2.47395,2.4786,2.4647,2.46565,1,NaN
2004-10-26,2.46565,2.46565,2.45065,2.45065,1,NaN
2004-10-29,2.45065,2.46165,2.45065,2.46125,1,NaN
2004-11-03,2.46125,2.46125,2.4335,2.4335,1,NaN
2004-11-08,2.4289,2.45065,2.4289,2.43145,1,NaN
2004-11-11,2.43145,2.43145,2.38775,2.38775,NaN,NaN
2004-11-16,2.38775,2.39805,2.37735,2.37905,NaN,NaN
2004-11-19,2.37905,2.37905,2.3702,2.37645,NaN,NaN
2004-11-24,2.37645,2.3962,2.37645,2.3962,NaN,NaN
2004-11-29,2.3952,2.48675,2.3952,2.48675,NaN,NaN
2004-12-02,2.48675,2.50815,2.48305,2.50815,NaN,NaN
2004-12-07,2.50815,2.55445,2.50815,2.55445,NaN,NaN
2004-12-10,2.55445,2.55445,2.53715,2.54895,NaN,NaN
2004-12-15,2.54895,2.55095,2.5407,2.5407,NaN,NaN
2004-12-20,2.5468,2.5468,2.50635,2.50635,NaN,NaN
2004-12-23,2.50635,2.50945,2.48795,2.48795,NaN,NaN
2004-12-28,2.48795,2.48795,2.47,2.47,NaN,NaN
2004-12-31,2.47,2.47,2.452,2.452,NaN,NaN
