time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-07,2.33145,2.34295,2.33145,2.33265,NaN,NaN
2002-05-10,2.33265,2.34135,2.32465,2.34135,NaN,NaN
2002-05-15,2.34135,2.34135,2.3044,2.3044,NaN,NaN
2002-05-20,2.3056,2.3056,2.2894,2.2894,NaN,NaN
2002-05-23,2.2894,2.3061,2.2894,2.306,NaN,NaN
2002-05-28,2.306,2.306,2.2888,2.2888,NaN,NaN
2002-05-31,2.2888,2.2888,2.2833,2.2833,NaN,NaN
2002-06-05,2.2833,2.2849,2.2725,2.2745,NaN,NaN
2002-06-10,2.2744,2.3038,2.2744,2.3038,NaN,NaN
2002-06-13,2.3038,2.3125,2.3012,2.3125,NaN,NaN
2002-06-18,2.3125,2.3125,2.2833,2.2833,NaN,NaN
2002-06-21,2.2833,2.2833,2.2611,2.2611,NaN,NaN
2002-06-26,2.2611,2.2831,2.2611,2.2704,NaN,NaN
2002-07-01,2.271,2.2838,2.271,2.281,NaN,NaN
2002-07-04,2.281,2.2951,2.281,2.2922,NaN,NaN
2002-07-09,2.2922,2.3053,2.2922,2.3053,NaN,NaN
2002-07-12,2.3053,2.3056,2.2844,2.2844,NaN,NaN
2002-07-17,2.2844,2.2861,2.2755,2.2755,NaN,NaN
2002-07-22,2.2745,2.2965,2.2745,2.2934,NaN,NaN
2002-07-25,2.2934,2.3238,2.2802,2.3238,NaN,NaN
2002-07-30,2.3238,2.3326,2.2981,2.2981,NaN,NaN
2002-08-02,2.2981,2.3206,2.2981,2.3206,NaN,NaN
2002-08-07,2.3206,2.3206,2.2913,2.2913,NaN,NaN
2002-08-12,2.2909,2.29335,2.2841,2.29335,NaN,NaN
2002-08-15,2.29335,2.29635,2.28845,2.29635,NaN,NaN
2002-08-20,2.29635,2.31205,2.29275,2.31205,NaN,NaN
2002-08-23,2.31205,2.31205,2.29005,2.29005,NaN,NaN
2002-08-28,2.29005,2.322,2.29005,2.322,NaN,NaN
2002-09-02,2.3227,2.3227,2.3012,2.30725,NaN,NaN
2002-09-05,2.30725,2.31805,2.30535,2.31805,NaN,NaN
2002-09-10,2.31805,2.33595,2.31805,2.33595,NaN,NaN
2002-09-13,2.33595,2.3443,2.32545,2.32545,NaN,NaN
2002-09-18,2.32545,2.32645,2.30615,2.3184,NaN,NaN
2002-09-23,2.3192,2.33535,2.3192,2.33535,NaN,NaN
2002-09-26,2.33535,2.34095,2.31405,2.31405,NaN,NaN
2002-10-01,2.31405,2.32995,2.31405,2.32175,NaN,NaN
