time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2009-11-04,148.463,151.345,147.8245,149.309,NaN,NaN
2009-11-09,149.966,151.626,148.5885,149.014,NaN,NaN
2009-11-12,149.014,150.463,148.2675,149.781,NaN,NaN
2009-11-17,149.781,150.3495,147.3425,148.305,NaN,NaN
2009-11-20,148.305,148.42,146.25,146.81,NaN,NaN
2009-11-25,146.81,147.68,139.31,142.786,NaN,NaN
2009-11-30,142.976,145.7445,141.0475,145.313,NaN,NaN
2009-12-03,145.313,149.209,145.273,147.213,NaN,NaN
2009-12-08,147.213,147.245,142.0205,143.578,NaN,NaN
2009-12-11,143.578,146.0775,143.1335,145.767,NaN,NaN
2009-12-16,145.767,146.939,143.6945,146.208,NaN,NaN
2009-12-21,145.51,147.0725,145.4825,146.221,NaN,NaN
2009-12-24,146.221,146.697,145.637,146.628,NaN,NaN
2009-12-29,146.628,150.701,145.9985,150.464,NaN,NaN
2010-01-01,150.464,150.721,146.1455,146.652,NaN,NaN
2010-01-06,146.652,149.4945,146.0045,148.466,NaN,NaN
2010-01-11,148.793,149.6015,146.6705,148.764,NaN,NaN
2010-01-14,148.764,150.012,147.172,148.369,NaN,NaN
2010-01-19,148.369,149.4755,146.0895,146.457,NaN,NaN
2010-01-22,146.457,147.301,144.09,144.728,NaN,NaN
2010-01-27,144.728,147.241,143.6415,144.298,NaN,NaN
2010-02-01,143.359,145.2975,143.0675,144.598,NaN,NaN
2010-02-04,144.598,144.7925,138.2635,139.105,NaN,NaN
2010-02-09,139.105,141.4355,138.797,140.977,NaN,NaN
2010-02-12,140.977,142.5885,139.8,142.346,NaN,NaN
2010-02-17,142.346,143.6295,140.901,141.603,NaN,NaN
2010-02-22,141.578,142.1955,138.364,138.896,NaN,NaN
2010-02-25,138.896,139.2345,132.0315,133.602,NaN,NaN
2010-03-02,133.602,134.8355,132.4925,133.818,NaN,NaN
2010-03-05,133.818,137.382,133.78,134.916,NaN,NaN
2010-03-10,134.916,138.0855,133.9245,137.694,NaN,NaN
2010-03-15,137.865,139.3665,135.1855,138.397,NaN,NaN
2010-03-18,138.397,138.5795,134.5585,136.112,NaN,NaN
2010-03-23,136.112,138.1415,135.244,137.352,NaN,NaN
2010-03-26,137.352,140.5615,137.0675,139.79,NaN,NaN
2010-03-31,139.79,143.96,139.767,143.879,NaN,NaN
2010-04-05,144.724,144.915,141.802,142.285,NaN,NaN
2010-04-08,142.285,144.5155,140.9705,143.29,NaN,NaN
2010-04-13,143.29,145.0485,142.0735,144.153,NaN,NaN
2010-04-16,144.153,144.258,139.388,143.166,NaN,NaN
2010-04-21,143.166,144.774,142.4455,144.494,NaN,NaN
2010-04-26,144.654,145.985,141.5995,143.005,NaN,NaN
2010-04-29,143.005,145.2215,142.2085,144.137,NaN,NaN
2010-05-04,144.137,144.9195,129.783,134.399,NaN,NaN
2010-05-07,134.399,140.583,133.141,138.553,NaN,NaN
2010-05-12,138.553,139.8425,133.214,134.407,NaN,NaN
2010-05-17,133.892,134.815,129.755,132.457,NaN,NaN
2010-05-20,132.457,132.811,126.726,130.245,NaN,NaN
