time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-07,1.56675,1.57005,1.56525,1.56525,NaN,NaN
2002-05-10,1.56525,1.56525,1.55395,1.5582,NaN,NaN
2002-05-15,1.5582,1.5582,1.5547,1.5547,NaN,NaN
2002-05-20,1.5465,1.5465,1.53185,1.53185,NaN,NaN
2002-05-23,1.53185,1.536,1.53185,1.5334,NaN,NaN
2002-05-28,1.5334,1.5349,1.5307,1.5347,NaN,NaN
2002-05-31,1.5347,1.5368,1.52715,1.53165,NaN,NaN
2002-06-05,1.53165,1.53325,1.53165,1.53325,NaN,NaN
2002-06-10,1.5329,1.53945,1.5329,1.53535,NaN,NaN
2002-06-13,1.53535,1.5467,1.53535,1.54635,NaN,NaN
2002-06-18,1.54635,1.54635,1.5279,1.5279,NaN,NaN
2002-06-21,1.5279,1.5279,1.51505,1.51505,NaN,NaN
2002-06-26,1.51505,1.51885,1.51065,1.5188,NaN,NaN
2002-07-01,1.5188,1.5314,1.51635,1.5314,NaN,NaN
2002-07-04,1.5314,1.5314,1.5224,1.52355,NaN,NaN
2002-07-09,1.52355,1.52545,1.51195,1.52545,NaN,NaN
2002-07-12,1.52545,1.53895,1.52545,1.53895,NaN,NaN
2002-07-17,1.53895,1.5449,1.53895,1.543,NaN,NaN
2002-07-22,1.5431,1.5837,1.5431,1.56305,NaN,NaN
2002-07-25,1.56305,1.5865,1.56305,1.5724,NaN,NaN
2002-07-30,1.5724,1.59055,1.5724,1.59055,NaN,NaN
2002-08-02,1.59055,1.59635,1.5838,1.58415,NaN,NaN
2002-08-07,1.58415,1.58415,1.5732,1.5732,NaN,NaN
2002-08-12,1.5733,1.57395,1.56385,1.56385,NaN,NaN
2002-08-15,1.56385,1.5747,1.55885,1.5747,NaN,NaN
2002-08-20,1.5747,1.5747,1.55655,1.55985,NaN,-1
2002-08-23,1.55985,1.55985,1.55425,1.55425,NaN,-1
2002-08-28,1.55425,1.55915,1.55425,1.559,NaN,-1
2002-09-02,1.559,1.56645,1.55305,1.56645,NaN,-1
2002-09-05,1.56645,1.57235,1.5591,1.56355,NaN,-1
2002-09-10,1.56355,1.58705,1.56355,1.58705,NaN,-1
