time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-02,1.5849,1.5849,1.5849,1.5849,NaN,NaN
2002-05-07,1.5849,1.60955,1.5849,1.59785,NaN,NaN
2002-05-10,1.59785,1.6145,1.5912,1.6145,NaN,NaN
2002-05-15,1.6145,1.6145,1.5803,1.5803,NaN,NaN
2002-05-20,1.5811,1.5811,1.5693,1.5693,NaN,NaN
2002-05-23,1.5693,1.5826,1.5693,1.58245,NaN,NaN
2002-05-28,1.58245,1.58245,1.56225,1.56225,NaN,NaN
2002-05-31,1.56225,1.5697,1.56035,1.5652,NaN,NaN
2002-06-05,1.5652,1.5652,1.5558,1.5578,NaN,NaN
2002-06-10,1.5584,1.56605,1.55535,1.56605,NaN,NaN
2002-06-13,1.56605,1.56605,1.5608,1.56265,NaN,NaN
2002-06-18,1.56265,1.56265,1.52385,1.52385,NaN,NaN
2002-06-21,1.52385,1.52385,1.4986,1.4986,NaN,NaN
2002-06-26,1.4986,1.4986,1.4807,1.4807,NaN,NaN
2002-07-01,1.4814,1.4931,1.4814,1.4931,NaN,NaN
2002-07-04,1.4931,1.5077,1.48375,1.48375,NaN,NaN
2002-07-09,1.48375,1.4872,1.4821,1.48275,NaN,NaN
2002-07-12,1.48275,1.4833,1.4494,1.4494,NaN,NaN
2002-07-17,1.4494,1.4552,1.4423,1.4423,NaN,NaN
2002-07-22,1.4419,1.46925,1.4417,1.45845,NaN,NaN
2002-07-25,1.45845,1.4866,1.43935,1.4866,NaN,NaN
2002-07-30,1.4866,1.4866,1.4719,1.4719,NaN,NaN
2002-08-02,1.4719,1.5092,1.4695,1.5092,NaN,NaN
2002-08-07,1.5092,1.5128,1.49585,1.5031,NaN,NaN
2002-08-12,1.5031,1.5031,1.4857,1.4922,NaN,NaN
2002-08-15,1.4922,1.50345,1.4886,1.50345,NaN,-1
2002-08-20,1.50345,1.51945,1.4975,1.51945,NaN,-1
2002-08-23,1.51945,1.51945,1.49245,1.49245,NaN,-1
2002-08-28,1.49245,1.50165,1.49245,1.4973,NaN,-1
2002-09-02,1.4979,1.4979,1.47085,1.4744,NaN,-1
2002-09-05,1.4744,1.48915,1.4731,1.48915,NaN,-1
2002-09-10,1.48915,1.49655,1.48915,1.496,NaN,-1
2002-09-13,1.496,1.5155,1.496,1.5082,NaN,-1
2002-09-18,1.5082,1.5082,1.4819,1.4913,NaN,NaN
2002-09-23,1.4924,1.4998,1.4908,1.4998,NaN,NaN
2002-09-26,1.4998,1.5027,1.4747,1.4747,NaN,NaN
2002-10-01,1.4747,1.4882,1.4747,1.4783,NaN,NaN
2002-10-04,1.4783,1.4981,1.4783,1.4981,NaN,NaN
2002-10-09,1.4981,1.4981,1.4791,1.4823,NaN,NaN
2002-10-14,1.4815,1.4945,1.48125,1.4945,NaN,-1
2002-10-17,1.4945,1.5119,1.4945,1.5111,NaN,-1
2002-10-22,1.5111,1.5111,1.5005,1.5005,NaN,-1
2002-10-25,1.5005,1.5032,1.48855,1.48995,NaN,-1
2002-10-30,1.48995,1.48995,1.4668,1.4668,NaN,-1
2002-11-04,1.4675,1.4675,1.45865,1.45865,NaN,-1
2002-11-07,1.45865,1.45865,1.4432,1.448,NaN,-1
2002-11-12,1.448,1.4606,1.444,1.4606,NaN,-1
2002-11-15,1.4606,1.4638,1.4521,1.4638,NaN,NaN
2002-11-20,1.4638,1.4765,1.4638,1.4765,1,NaN
2002-11-25,1.4771,1.4893,1.4771,1.4893,1,NaN
2002-11-28,1.4893,1.4893,1.4774,1.4774,1,NaN
2002-12-03,1.4774,1.4774,1.4704,1.4704,1,NaN
2002-12-06,1.4704,1.4704,1.4554,1.4612,1,NaN
2002-12-11,1.4612,1.4617,1.4444,1.4444,1,NaN
2002-12-16,1.4426,1.4426,1.4257,1.4257,1,NaN
2002-12-19,1.4257,1.4257,1.41895,1.41895,1,NaN
2002-12-24,1.41895,1.41895,1.4016,1.4016,NaN,NaN
2002-12-27,1.4016,1.4016,1.3904,1.3925,1,NaN
2003-01-01,1.3925,1.40235,1.3839,1.3989,1,NaN
2003-01-06,1.3976,1.3997,1.38865,1.38865,1,NaN
2003-01-09,1.38865,1.3915,1.3799,1.3859,1,NaN
2003-01-14,1.3859,1.3865,1.3747,1.3747,1,NaN
2003-01-17,1.3747,1.3747,1.3633,1.3633,1,NaN
2003-01-22,1.3633,1.3637,1.3532,1.3532,1,NaN
2003-01-27,1.3528,1.3578,1.3524,1.3565,1,NaN
