time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-02,127.15,127.15,127.15,127.15,NaN,NaN
2002-05-07,127.15,128.92,127.15,128.38,NaN,NaN
2002-05-10,128.38,128.54,127.62,128.54,NaN,NaN
2002-05-15,128.54,128.54,125.93,125.93,NaN,NaN
2002-05-20,125.94,125.94,124.17,124.22,NaN,NaN
2002-05-23,124.22,124.95,124.22,124.755,NaN,NaN
2002-05-28,124.755,124.755,123.4,123.4,NaN,NaN
2002-05-31,123.4,124.25,123.4,124.14,NaN,NaN
2002-06-05,124.14,124.4,124.09,124.38,NaN,NaN
2002-06-10,124.41,125.7,124.41,125.7,NaN,NaN
2002-06-13,125.7,125.7,124.09,124.35,NaN,NaN
2002-06-18,124.35,124.37,123.48,123.48,NaN,NaN
2002-06-21,123.48,123.48,121.35,121.35,NaN,NaN
2002-06-26,121.35,121.35,119.48,119.48,NaN,NaN
2002-07-01,119.61,119.91,119.61,119.8,NaN,NaN
2002-07-04,119.8,120.39,118.39,118.39,NaN,NaN
2002-07-09,118.39,118.39,116.955,116.955,NaN,NaN
2002-07-12,116.955,116.955,115.945,115.945,NaN,NaN
2002-07-17,115.945,116.58,115.88,115.88,NaN,NaN
2002-07-22,115.84,117.56,115.84,116.74,NaN,NaN
2002-07-25,116.74,119.7,116.4,119.7,NaN,NaN
2002-07-30,119.7,120.19,119.3,119.3,NaN,NaN
2002-08-02,119.3,120.75,118.85,120.75,NaN,NaN
2002-08-07,120.75,121,120.1,120.1,NaN,NaN
2002-08-12,120.16,120.16,117.32,117.32,NaN,NaN
2002-08-15,117.32,118.63,117.32,118.63,NaN,NaN
2002-08-20,118.63,119.94,118.54,119.94,NaN,NaN
2002-08-23,119.94,119.94,118.2,118.2,NaN,NaN
2002-08-28,118.2,118.73,118.16,118.33,NaN,NaN
2002-09-02,118.45,118.45,117.095,118.02,NaN,NaN
2002-09-05,118.02,118.88,118.02,118.88,NaN,NaN
2002-09-10,118.88,120.03,118.88,120.03,NaN,NaN
2002-09-13,120.03,122.26,120.03,121.97,NaN,NaN
2002-09-18,121.97,123.29,121.44,123.29,NaN,NaN
2002-09-23,123.4,123.95,122.915,122.915,NaN,NaN
2002-09-26,122.915,122.915,121.66,121.66,NaN,NaN
2002-10-01,121.66,122.87,121.66,122.68,NaN,NaN
2002-10-04,122.68,124.355,122.68,124.355,NaN,NaN
2002-10-09,124.355,124.355,123.27,124.03,NaN,NaN
2002-10-14,124.14,124.665,124.14,124.47,NaN,-1
2002-10-17,124.47,125.53,124.47,124.955,NaN,-1
2002-10-22,124.955,125.135,124.425,124.425,NaN,-1
2002-10-25,124.425,124.425,122.99,122.99,NaN,-1
2002-10-30,122.99,122.99,122.21,122.21,NaN,-1
2002-11-04,122.12,122.22,121.79,121.815,NaN,-1
2002-11-07,121.815,121.815,119.535,119.535,NaN,-1
2002-11-12,119.535,120.485,119.535,120.485,NaN,-1
2002-11-15,120.485,122.105,120.45,122.105,NaN,NaN
2002-11-20,122.105,122.8,122.105,122.8,NaN,NaN
2002-11-25,122.9,122.9,121.625,122.345,NaN,NaN
2002-11-28,122.345,124.535,122.205,124.535,NaN,NaN
2002-12-03,124.535,124.845,124.535,124.845,NaN,NaN
2002-12-06,124.845,124.845,123.345,123.795,NaN,NaN
2002-12-11,123.795,123.795,120.56,120.56,NaN,NaN
2002-12-16,120.48,121.35,120.48,121.1,NaN,NaN
2002-12-19,121.1,121.1,120.3,120.44,NaN,NaN
2002-12-24,120.44,120.44,119.97,119.97,NaN,NaN
2002-12-27,119.97,119.97,119.87,119.88,NaN,NaN
2003-01-01,119.88,120.03,118.73,119.74,NaN,NaN
2003-01-06,119.73,120.435,119.105,119.105,NaN,NaN
2003-01-09,119.105,119.295,118.92,118.92,NaN,NaN
2003-01-14,118.92,118.92,117.865,117.865,NaN,NaN
2003-01-17,117.865,118.105,117.7,118.105,1,NaN
2003-01-22,118.105,118.255,117.83,117.83,1,NaN
2003-01-27,117.85,118.685,117.85,118.495,1,NaN
2003-01-30,118.495,120.235,118.495,120.235,1,NaN
2003-02-04,120.235,120.235,119.715,119.865,1,NaN
2003-02-07,119.865,121.265,119.865,121.005,1,NaN
2003-02-12,121.005,121.285,120.32,120.32,1,NaN
2003-02-17,120.45,120.45,118.745,118.745,1,NaN
2003-02-20,118.745,118.82,117.865,117.865,NaN,NaN
2003-02-25,117.865,117.865,117.085,117.555,NaN,NaN
2003-02-28,117.555,118.19,117.555,117.885,NaN,NaN
2003-03-05,117.885,117.885,117.07,117.07,NaN,NaN
2003-03-10,117.08,117.285,116.825,117.285,NaN,NaN
2003-03-13,117.285,118.535,117.285,118.455,NaN,NaN
2003-03-18,118.455,120.46,118.455,120.205,NaN,NaN
2003-03-21,120.205,121.5,120.155,120.155,NaN,NaN
2003-03-26,120.155,120.155,119.74,119.74,NaN,NaN
2003-03-31,119.84,119.84,117.975,118.915,NaN,-1
2003-04-03,118.915,120.39,118.915,119.775,NaN,-1
2003-04-08,119.775,120.055,119.665,119.665,NaN,-1
2003-04-11,119.665,120.54,119.665,120.265,NaN,-1
2003-04-16,120.265,120.265,119.555,119.77,NaN,-1
2003-04-21,119.69,120.47,119.69,120.305,NaN,-1
2003-04-24,120.305,120.465,119.985,120.465,NaN,-1
2003-04-29,120.465,120.465,118.545,118.545,NaN,-1
2003-05-02,118.545,119.05,117.525,117.525,NaN,NaN
2003-05-07,117.525,117.525,116.45,117.42,NaN,NaN
2003-05-12,117.27,117.27,116.32,116.32,NaN,NaN
2003-05-15,116.32,117.125,115.45,117.125,NaN,NaN
2003-05-20,117.125,117.495,116.685,117.195,NaN,NaN
2003-05-23,117.195,117.285,116.83,117.285,NaN,NaN
2003-05-28,117.285,119.32,117.285,119.32,NaN,NaN
2003-06-02,119.64,119.64,118.615,118.855,NaN,NaN
2003-06-05,118.855,118.855,117.745,118.235,NaN,NaN
2003-06-10,118.235,118.235,117.685,117.685,NaN,NaN
2003-06-13,117.685,118.125,117.4,118.125,NaN,NaN
2003-06-18,118.125,118.39,117.855,118.39,NaN,NaN
2003-06-23,118.5,118.5,117.785,117.98,NaN,NaN
2003-06-26,117.98,119.755,117.98,119.755,NaN,NaN
2003-07-01,119.755,119.755,118.115,118.195,NaN,NaN
2003-07-04,118.195,118.205,118.06,118.205,NaN,NaN
2003-07-09,118.205,118.205,117.68,117.87,NaN,NaN
2003-07-14,117.76,118.14,117.76,118.14,NaN,NaN
2003-07-17,118.14,118.8,118.14,118.415,NaN,NaN
2003-07-22,118.415,119.155,118.415,118.935,NaN,NaN
2003-07-25,118.935,119.935,118.77,119.935,NaN,NaN
2003-07-30,119.935,120.545,119.935,120.14,NaN,NaN
2003-08-04,120.19,120.325,119.845,120.275,NaN,NaN
2003-08-07,120.275,120.275,118.595,118.595,NaN,NaN
2003-08-12,118.595,119.165,118.595,119.145,NaN,NaN
2003-08-15,119.145,119.455,118.365,118.365,NaN,NaN
2003-08-20,118.365,118.365,117.56,117.56,NaN,NaN
2003-08-25,117.66,117.66,117.325,117.435,NaN,NaN
2003-08-28,117.435,117.435,116.555,116.555,NaN,NaN
2003-09-02,116.555,116.73,115.885,116.73,NaN,NaN
2003-09-05,116.73,116.855,116.73,116.855,NaN,NaN
2003-09-10,116.855,117.29,116.855,117.29,NaN,NaN
2003-09-15,117.28,117.475,116.025,116.025,NaN,NaN
2003-09-18,116.025,116.025,112.225,112.225,NaN,NaN
2003-09-23,112.225,112.285,111.735,112.245,NaN,NaN
2003-09-26,112.245,112.245,110.775,111.51,NaN,NaN
2003-10-01,111.51,111.51,110.675,110.88,NaN,NaN
2003-10-06,110.99,110.99,109.615,109.615,NaN,NaN
2003-10-09,109.615,109.615,108.49,108.92,1,NaN
2003-10-14,108.92,109.955,108.865,109.955,1,NaN
2003-10-17,109.955,110.385,109.08,109.495,1,NaN
2003-10-22,109.495,109.515,108.985,109.25,1,NaN
2003-10-27,109.26,109.26,108.255,108.255,1,NaN
2003-10-30,108.255,111.175,108.255,111.175,1,NaN
2003-11-04,111.175,111.175,109.585,110.245,1,NaN
2003-11-07,110.245,110.245,108.525,108.775,1,NaN
2003-11-12,108.775,108.795,108.155,108.31,NaN,NaN
2003-11-17,108.27,109.275,108.075,109.275,NaN,NaN
2003-11-20,109.275,109.435,108.77,109.435,NaN,NaN
2003-11-25,109.435,109.435,108.98,109.105,NaN,NaN
2003-11-28,109.105,109.69,108.625,108.625,NaN,NaN
2003-12-03,108.625,108.625,107.69,107.69,NaN,NaN
2003-12-08,107.75,108.265,107.025,108.265,NaN,NaN
2003-12-11,108.265,108.305,107.565,107.565,NaN,NaN
2003-12-16,107.565,107.575,107.415,107.575,NaN,NaN
2003-12-19,107.575,107.84,107.395,107.395,NaN,NaN
2003-12-24,107.395,107.48,107.28,107.48,NaN,NaN
2003-12-29,107.33,107.33,106.915,106.915,NaN,NaN
2004-01-01,106.915,107.39,106.255,106.255,NaN,NaN
2004-01-06,106.255,106.265,106.185,106.185,NaN,NaN
2004-01-09,106.185,106.72,106.185,106.245,NaN,NaN
2004-01-14,106.245,106.72,106.215,106.72,NaN,NaN
2004-01-19,106.68,107.255,106.68,106.965,NaN,NaN
2004-01-22,106.965,106.965,106.005,106.325,NaN,NaN
2004-01-27,106.325,106.325,105.635,105.955,NaN,NaN
2004-01-30,105.955,105.955,105.515,105.515,NaN,NaN
2004-02-04,105.515,105.905,105.455,105.455,NaN,NaN
2004-02-09,105.71,105.71,105.375,105.375,NaN,NaN
2004-02-12,105.375,105.51,105.375,105.475,NaN,NaN
2004-02-17,105.475,107.185,105.475,107.185,NaN,NaN
2004-02-20,107.185,109.07,107.185,108.165,NaN,NaN
2004-02-25,108.165,109.645,108.165,108.96,NaN,NaN
