time,open,high,low,close
2004-01-23 19:00:00+01:00,1.5686,1.5686,1.5639,1.5639
2004-01-26 19:00:00+01:00,1.5634,1.5678,1.5634,1.5678
2004-01-27 19:00:00+01:00,1.5678,1.5678,1.5678,1.5678
2004-01-28 19:00:00+01:00,1.5678,1.5678,1.5673,1.5673
2004-01-29 19:00:00+01:00,1.5673,1.5673,1.5626,1.5626
2004-01-30 19:00:00+01:00,1.5626,1.5685,1.5626,1.5685
2004-02-02 19:00:00+01:00,1.5677,1.5677,1.5677,1.5677
2004-02-03 19:00:00+01:00,1.5677,1.5677,1.5677,1.5677
2004-02-04 19:00:00+01:00,1.5677,1.5677,1.5677,1.5677
2004-02-05 19:00:00+01:00,1.5677,1.569,1.5677,1.569
2004-02-06 19:00:00+01:00,1.569,1.569,1.5677,1.5677
2004-02-09 19:00:00+01:00,1.5675,1.56895,1.5675,1.56895
2004-02-10 19:00:00+01:00,1.56895,1.569,1.56895,1.569
2004-02-11 19:00:00+01:00,1.569,1.5773,1.569,1.5773
2004-02-12 19:00:00+01:00,1.5773,1.5773,1.5758,1.5758
2004-02-13 19:00:00+01:00,1.5758,1.5777,1.5758,1.5777
2004-02-16 19:00:00+01:00,1.5768,1.5768,1.57565,1.57565
2004-02-17 19:00:00+01:00,1.57565,1.57565,1.5752,1.5752
2004-02-18 19:00:00+01:00,1.5752,1.5755,1.5752,1.5755
2004-02-19 19:00:00+01:00,1.5755,1.5755,1.575,1.575
2004-02-20 19:00:00+01:00,1.575,1.5786,1.575,1.5786
2004-02-23 19:00:00+01:00,1.5786,1.5786,1.578,1.578
2004-02-24 19:00:00+01:00,1.578,1.578,1.575,1.575
2004-02-25 19:00:00+01:00,1.575,1.575,1.5741,1.5741
2004-02-26 19:00:00+01:00,1.5741,1.5763,1.5741,1.5763
2004-02-27 19:00:00+01:00,1.5763,1.5769,1.5763,1.5769
2004-03-01 19:00:00+01:00,1.5765,1.5784,1.5765,1.5784
2004-03-02 19:00:00+01:00,1.5784,1.58245,1.5784,1.58245
2004-03-03 19:00:00+01:00,1.58245,1.58245,1.5786,1.5786
2004-03-04 19:00:00+01:00,1.5786,1.5786,1.5769,1.5769
2004-03-05 19:00:00+01:00,1.5769,1.5791,1.5769,1.5791
2004-03-08 19:00:00+01:00,1.5789,1.5811,1.5789,1.5811
2004-03-09 19:00:00+01:00,1.5811,1.5811,1.5792,1.5792
2004-03-10 19:00:00+01:00,1.5792,1.5792,1.57575,1.57575
2004-03-11 19:00:00+01:00,1.57575,1.57575,1.5673,1.5673
2004-03-12 19:00:00+01:00,1.5673,1.5686,1.5673,1.5686
2004-03-15 19:00:00+01:00,1.5653,1.5653,1.565,1.565
2004-03-16 19:00:00+01:00,1.565,1.56775,1.565,1.56775
2004-03-17 19:00:00+01:00,1.56775,1.56775,1.5629,1.5629
2004-03-18 19:00:00+01:00,1.5629,1.5629,1.5573,1.5573
2004-03-19 19:00:00+01:00,1.5573,1.5589,1.5573,1.5589
2004-03-22 19:00:00+01:00,1.5598,1.5598,1.552,1.552
2004-03-23 19:00:00+01:00,1.552,1.552,1.5519,1.5519
2004-03-24 19:00:00+01:00,1.5519,1.5519,1.5483,1.5483
2004-03-25 19:00:00+01:00,1.5483,1.5533,1.5483,1.5533
2004-03-26 19:00:00+01:00,1.5533,1.5579,1.5533,1.5579
2004-03-29 20:00:00+02:00,1.5573,1.5613,1.5573,1.5613
2004-03-30 20:00:00+02:00,1.5613,1.5613,1.5597,1.5597
2004-03-31 20:00:00+02:00,1.5597,1.5597,1.5585,1.5585
2004-04-01 20:00:00+02:00,1.5585,1.56195,1.5585,1.56195
2004-04-02 20:00:00+02:00,1.56195,1.5658,1.56195,1.5658
2004-04-05 19:00:00+02:00,1.565,1.5671,1.565,1.5671
2004-04-06 19:00:00+02:00,1.5671,1.5671,1.5625,1.5625
2004-04-07 19:00:00+02:00,1.5625,1.5625,1.5544,1.5544
2004-04-08 19:00:00+02:00,1.5544,1.5544,1.54975,1.54975
2004-04-09 19:00:00+02:00,1.54975,1.5504,1.54975,1.5504
2004-04-12 19:00:00+02:00,1.5499,1.5499,1.54875,1.54875
2004-04-13 19:00:00+02:00,1.54875,1.5524,1.54875,1.5524
2004-04-14 19:00:00+02:00,1.5524,1.5526,1.5524,1.5526
2004-04-15 19:00:00+02:00,1.5526,1.5526,1.5521,1.5521
2004-04-16 19:00:00+02:00,1.5521,1.5529,1.5521,1.5529
2004-04-19 19:00:00+02:00,1.5513,1.5513,1.5501,1.5501
2004-04-20 19:00:00+02:00,1.5501,1.5564,1.5501,1.5564
2004-04-21 19:00:00+02:00,1.5564,1.5564,1.5549,1.5549
2004-04-22 19:00:00+02:00,1.5549,1.5576,1.5549,1.5576
2004-04-23 19:00:00+02:00,1.5576,1.5577,1.5576,1.5577
2004-04-26 19:00:00+02:00,1.5584,1.5584,1.5512,1.5512
2004-04-27 19:00:00+02:00,1.5512,1.5512,1.5488,1.5488
2004-04-28 19:00:00+02:00,1.5488,1.5488,1.5472,1.5472
2004-04-29 19:00:00+02:00,1.5472,1.5472,1.54645,1.54645
2004-04-30 19:00:00+02:00,1.54645,1.5518,1.54645,1.5518
2004-05-03 19:00:00+02:00,1.5519,1.5534,1.5519,1.5534
2004-05-04 19:00:00+02:00,1.5534,1.5534,1.5503,1.5503
2004-05-05 19:00:00+02:00,1.5503,1.5512,1.5503,1.5512
