time,open,high,low,close,Volume
1325455200,1.02213,1.02299,1.02167,1.0224,187
1325469600,1.0224,1.02312,1.02168,1.02205,181
1325484000,1.02205,1.02339,1.01958,1.02233,696
1325498400,1.02233,1.02272,1.02127,1.02202,289
1325512800,1.02202,1.02345,1.02163,1.02215,221
1325527200,1.02215,1.02366,1.02174,1.02339,341
1325541600,1.02339,1.02924,1.02339,1.029,2182
1325556000,1.029,1.02991,1.02798,1.02895,1220
1325570400,1.02895,1.03141,1.02848,1.03114,3135
1325584800,1.03114,1.03691,1.03111,1.03404,4173
1325599200,1.03404,1.03865,1.03342,1.0361,4279
1325613600,1.0361,1.03861,1.03585,1.037765,2366
1325628000,1.037765,1.038065,1.03414,1.03417,2211
1325642400,1.03417,1.036245,1.032315,1.035975,1435
1325656800,1.035975,1.037345,1.033095,1.0352,3748
1325671200,1.0352,1.03626,1.03075,1.03175,5567
1325685600,1.03175,1.0367,1.03044,1.03656,4789
1325700000,1.03656,1.037335,1.03487,1.036845,2047
1325714400,1.036845,1.037185,1.0311,1.032815,2792
1325728800,1.032815,1.033555,1.031635,1.032415,1920
1325743200,1.032415,1.03384,1.025915,1.026785,5578
1325757600,1.026785,1.030255,1.023915,1.027435,6204
1325772000,1.027435,1.027915,1.023265,1.026345,5782
1325786400,1.026345,1.027895,1.024655,1.026355,2418
1325800800,1.026355,1.026485,1.02408,1.02611,2338
1325815200,1.02611,1.02636,1.020635,1.022465,2372
1325829600,1.022465,1.026735,1.022465,1.025435,3601
1325844000,1.025435,1.02732,1.022945,1.023905,5477
1325858400,1.023905,1.025855,1.020165,1.022955,6472
1325872800,1.022955,1.024265,1.022045,1.02288,1763
1326060000,1.02017,1.02151,1.01524,1.01554,3227
1326074400,1.01554,1.01777,1.01458,1.01695,2092
1326088800,1.01695,1.02339,1.01695,1.02298,4901
1326103200,1.02298,1.02351,1.02072,1.02337,4591
1326117600,1.02337,1.024485,1.019395,1.021055,4296
1326132000,1.021055,1.025685,1.020865,1.023965,1924
1326146400,1.023965,1.02884,1.022955,1.02818,2453
1326160800,1.02818,1.03192,1.02745,1.03076,2249
1326175200,1.03076,1.03322,1.02807,1.03196,4461
1326189600,1.03196,1.03513,1.03171,1.03401,4757
