time,open,high,low,close,Volume
1325455200,1.26606,1.26707,1.26494,1.26569,435
1325469600,1.26569,1.26603,1.26386,1.26518,543
1325484000,1.26518,1.270755,1.26493,1.267305,1200
1325498400,1.267305,1.267795,1.264265,1.264895,732
1325512800,1.264895,1.266295,1.262715,1.265225,537
1325527200,1.265225,1.265225,1.262905,1.263915,443
1325541600,1.263915,1.263955,1.25942,1.26069,2518
1325556000,1.26069,1.26257,1.26034,1.26123,1626
1325570400,1.26123,1.26319,1.25977,1.26166,5059
1325584800,1.26166,1.26288,1.25813,1.26032,5010
1325599200,1.26032,1.26141,1.25696,1.2594,4252
1325613600,1.2594,1.26114,1.25687,1.25751,2168
1325628000,1.25751,1.261635,1.25743,1.261595,2252
1325642400,1.261595,1.262075,1.257835,1.258215,2024
1325656800,1.258215,1.2613,1.25787,1.25956,4081
1325671200,1.25956,1.25965,1.25346,1.25351,5568
1325685600,1.25351,1.2541,1.24848,1.2497,4717
1325700000,1.2497,1.25055,1.24781,1.2482,1835
1325714400,1.2482,1.252645,1.24756,1.251205,2708
1325728800,1.251205,1.252745,1.250835,1.251085,2220
1325743200,1.251085,1.254605,1.250435,1.252815,5676
1325757600,1.252815,1.253595,1.245685,1.247075,6978
1325772000,1.247075,1.250075,1.245975,1.246655,5865
1325786400,1.246655,1.24728,1.244635,1.24603,2235
1325800800,1.24603,1.24866,1.2456,1.246825,2107
1325815200,1.246825,1.250815,1.246695,1.248865,2351
1325829600,1.248865,1.249715,1.247365,1.24843,3774
1325844000,1.24843,1.250235,1.242505,1.243735,5625
1325858400,1.243735,1.245565,1.242085,1.243585,5251
1325872800,1.243585,1.244665,1.242235,1.24355,1523
1326060000,1.24436,1.24982,1.2425,1.24965,2387
1326074400,1.24965,1.25058,1.24779,1.24939,1664
1326088800,1.24939,1.25043,1.24778,1.24904,4017
1326103200,1.24904,1.25036,1.24634,1.24687,3937
1326117600,1.24687,1.248205,1.244605,1.247525,4951
1326132000,1.247525,1.248115,1.245565,1.24659,2110
1326146400,1.24659,1.24755,1.24187,1.24233,1963
1326160800,1.24233,1.24259,1.2393,1.24047,2006
1326175200,1.24047,1.24133,1.23781,1.23956,4746
1326189600,1.23956,1.24039,1.23621,1.23786,5470
1326204000,1.23786,1.238955,1.236235,1.238445,4111
1326218400,1.238445,1.239825,1.238145,1.23892,1813
1326232800,1.23892,1.24065,1.23815,1.23974,2876
1326247200,1.23974,1.24008,1.23859,1.23865,1621
1326261600,1.23865,1.23911,1.23761,1.23821,3652
1326276000,1.23821,1.23835,1.23483,1.23527,5705
1326290400,1.23527,1.23585,1.23161,1.23308,6430
1326304800,1.23308,1.23308,1.23144,1.23233,2116
1326319200,1.23233,1.235795,1.23233,1.234885,1900
1326333600,1.234885,1.235605,1.233995,1.234915,1480
1326348000,1.234915,1.235245,1.233345,1.23429,3452
1326362400,1.23429,1.234945,1.229965,1.234195,5788
1326376800,1.234195,1.244075,1.233965,1.242855,5944
1326391200,1.242855,1.243045,1.2399,1.24008,2065
1326405600,1.24008,1.24172,1.23977,1.24098,1664
1326420000,1.24098,1.24403,1.24068,1.2428,2279
1326434400,1.2428,1.24476,1.23794,1.23844,5190
1326448800,1.23844,1.23945,1.23357,1.23386,5836
1326463200,1.23386,1.234985,1.230715,1.232425,10086
1326477600,1.232425,1.232475,1.2266,1.22795,2853
1326664800,1.22796,1.23275,1.22667,1.23065,2130
1326679200,1.23065,1.23142,1.2285,1.22947,2062
1326693600,1.22947,1.230295,1.227705,1.228205,4209
1326708000,1.228205,1.230225,1.227805,1.228155,3387
1326722400,1.228155,1.228435,1.226265,1.227205,2178
1326736800,1.227205,1.228965,1.226955,1.22807,1041
1326751200,1.22807,1.22897,1.22614,1.22756,2211
1326765600,1.22756,1.22852,1.22476,1.225625,3413
1326780000,1.225625,1.226295,1.222815,1.223535,4799
1326794400,1.223535,1.229205,1.223485,1.225575,4970
1326808800,1.225575,1.227405,1.223545,1.226455,4417
1326823200,1.226455,1.228245,1.225995,1.22751,1819
1326837600,1.22751,1.22915,1.22685,1.22868,1321
1326852000,1.22868,1.23159,1.22829,1.22886,2056
1326866400,1.22886,1.232635,1.22787,1.231735,5102
1326880800,1.231735,1.235645,1.230645,1.23466,5965
1326895200,1.23466,1.237435,1.232275,1.233385,5439
1326909600,1.233385,1.235255,1.232035,1.23263,2016
1326924000,1.23263,1.23868,1.23263,1.23582,2803
1326938400,1.23582,1.23815,1.23582,1.23773,2348
1326952800,1.23773,1.240485,1.236875,1.239195,4646
1326967200,1.239195,1.241095,1.237945,1.238235,4392
1326981600,1.238235,1.24316,1.2375,1.24316,4207
1326996000,1.24316,1.24537,1.24299,1.24465,1904
1327010400,1.24465,1.24552,1.24387,1.24444,1512
1327024800,1.24444,1.24645,1.24409,1.24543,1223
1327039200,1.24543,1.24607,1.241345,1.241715,4110
1327053600,1.241715,1.242055,1.236165,1.236815,4590
1327068000,1.236815,1.236965,1.233995,1.234975,4224
1327082400,1.234975,1.235015,1.23312,1.2334,1109
1327269600,1.22907,1.23292,1.2273,1.23233,1514
1327284000,1.23233,1.23238,1.22901,1.22967,1037
1327298400,1.22967,1.23223,1.22804,1.2306,3178
1327312800,1.2306,1.23448,1.22935,1.23382,5153
1327327200,1.23382,1.23801,1.23324,1.23583,3591
1327341600,1.23583,1.2373,1.23508,1.23669,1643
1327356000,1.23669,1.23752,1.23582,1.23666,1730
1327370400,1.23666,1.23946,1.23666,1.23924,1585
1327384800,1.23924,1.24542,1.238765,1.24282,4948
1327399200,1.24282,1.24396,1.24118,1.24178,4405
1327413600,1.24178,1.24363,1.23972,1.24288,3708
1327428000,1.24288,1.24347,1.24191,1.24247,1321
1327442400,1.24247,1.24807,1.2392,1.23945,2113
1327456800,1.23945,1.23955,1.23682,1.23751,1906
1327471200,1.23751,1.2403,1.23686,1.23894,3824
1327485600,1.23894,1.24106,1.23635,1.23856,4310
1327500000,1.23856,1.24006,1.23642,1.23732,5839
1327514400,1.23732,1.23783,1.2349,1.23676,6593
1327528800,1.23676,1.23775,1.23434,1.23512,2231
1327543200,1.23512,1.23676,1.233565,1.233945,1705
1327557600,1.233945,1.234665,1.231425,1.233655,4359
1327572000,1.233655,1.234405,1.231875,1.233395,3852
1327586400,1.233395,1.236635,1.232565,1.236045,4560
1327600800,1.236045,1.236275,1.23274,1.23301,2315
1327615200,1.23301,1.23505,1.23152,1.23414,2113
1327629600,1.23414,1.2351,1.23355,1.23428,2153
1327644000,1.23428,1.23484,1.2295,1.23228,4401
1327658400,1.23228,1.23604,1.23176,1.23559,5423
1327672800,1.23559,1.240325,1.234345,1.238625,6112
1327687200,1.238625,1.24303,1.238445,1.24036,2586
1327874400,1.24314,1.24472,1.24073,1.24462,2012
1327888800,1.24462,1.24614,1.24341,1.246,1761
1327903200,1.246,1.247745,1.244845,1.245795,4715
1327917600,1.245795,1.245905,1.241675,1.242045,3917
1327932000,1.242045,1.242875,1.237945,1.240385,4925
1327946400,1.240385,1.240505,1.238095,1.24008,2021
1327960800,1.24008,1.24192,1.238345,1.239785,2227
1327975200,1.239785,1.241275,1.238075,1.240995,2200
1327989600,1.240995,1.241275,1.236055,1.236225,4146
1328004000,1.236225,1.237775,1.235465,1.235985,3511
1328018400,1.235985,1.236405,1.231495,1.232945,6704
1328032800,1.232945,1.233295,1.231605,1.23183,2224
1328047200,1.23183,1.2341,1.22869,1.22979,2697
1328061600,1.22979,1.232275,1.228795,1.231385,1966
1328076000,1.231385,1.232585,1.22865,1.23093,5342
1328090400,1.23093,1.23261,1.22985,1.23088,4457
1328104800,1.23088,1.23103,1.22736,1.22973,5449
1328119200,1.22973,1.23041,1.2286,1.22933,2141
1328133600,1.22933,1.230185,1.226685,1.227735,2471
1328148000,1.227735,1.229995,1.227425,1.229135,2073
1328162400,1.229135,1.229215,1.225745,1.2273,4331
1328176800,1.2273,1.229215,1.223495,1.224055,4999
1328191200,1.224055,1.229085,1.223805,1.227695,4657
1328205600,1.227695,1.228155,1.22685,1.22701,1318
1328220000,1.22701,1.228545,1.226605,1.228065,2016
1328234400,1.228065,1.230745,1.227245,1.228955,2103
1328248800,1.228955,1.229495,1.227435,1.229055,3307
1328263200,1.229055,1.232005,1.221445,1.221805,5491
1328277600,1.221805,1.221805,1.216835,1.218435,7497
1328292000,1.218435,1.22233,1.217595,1.22159,1978
1328479200,1.21938,1.22219,1.21877,1.22171,2006
1328493600,1.22171,1.22181,1.22009,1.22016,1495
1328508000,1.22016,1.22109,1.21833,1.21917,4183
1328522400,1.21917,1.22064,1.21811,1.21853,3815
1328536800,1.21853,1.22391,1.21815,1.223,4240
1328551200,1.223,1.22461,1.22268,1.22414,1358
1328565600,1.22414,1.22522,1.22321,1.223885,1844
1328580000,1.223885,1.22531,1.213965,1.214135,4477
1328594400,1.214135,1.21802,1.213345,1.21779,4501
1328608800,1.21779,1.22121,1.21545,1.22118,4705
1328623200,1.22118,1.2284,1.22032,1.22729,5544
1328637600,1.22729,1.22818,1.22654,1.2269,1952
1328652000,1.2269,1.22885,1.22634,1.2283,1622
1328666400,1.2283,1.22861,1.22604,1.22672,1505
1328680800,1.22672,1.22757,1.223655,1.223735,4089
1328695200,1.223735,1.227165,1.223735,1.224215,3434
1328709600,1.224215,1.230105,1.223185,1.229085,5078
1328724000,1.229085,1.230225,1.22708,1.228,1866
1328738400,1.228,1.232415,1.22656,1.231635,4314
1328752800,1.231635,1.231675,1.227775,1.228585,3394
1328767200,1.228585,1.230655,1.227395,1.227805,4931
1328781600,1.227805,1.230325,1.227375,1.229685,6077
1328796000,1.229685,1.231775,1.229065,1.231035,5555
1328810400,1.231035,1.23203,1.230005,1.23179,1612
1328824800,1.23179,1.23719,1.23128,1.23671,2317
1328839200,1.23671,1.23889,1.23479,1.23774,2313
1328853600,1.23774,1.241995,1.23754,1.240055,3659
1328868000,1.240055,1.241005,1.235265,1.235905,5094
1328882400,1.235905,1.236415,1.234135,1.235735,3626
1328896800,1.235735,1.2371,1.234505,1.23652,1547
1329084000,1.23564,1.23782,1.23484,1.2349,2490
1329098400,1.2349,1.23531,1.23313,1.23371,1700
1329112800,1.23371,1.234875,1.232205,1.232335,3843
1329127200,1.232335,1.233385,1.231475,1.231965,2931
1329141600,1.231965,1.232825,1.229265,1.229355,3770
1329156000,1.229355,1.229855,1.228065,1.22872,1414
1329170400,1.22872,1.230975,1.22782,1.230755,2837
1329184800,1.230755,1.233165,1.230755,1.231415,2771
1329199200,1.231415,1.233265,1.230285,1.232755,3833
1329213600,1.232755,1.233205,1.228895,1.22992,3982
1329228000,1.22992,1.23161,1.22896,1.22956,4628
1329242400,1.22956,1.23148,1.227315,1.22844,3311
1329256800,1.22844,1.2291,1.2268,1.22869,1841
1329271200,1.22869,1.22894,1.225065,1.225785,3314
1329285600,1.225785,1.22682,1.221875,1.223115,4091
1329300000,1.223115,1.223715,1.21777,1.21856,4497
1329314400,1.21856,1.22047,1.21771,1.21934,6144
1329328800,1.21934,1.22304,1.21892,1.22151,4596
1329343200,1.22151,1.22214,1.214925,1.21702,3443
1329357600,1.21702,1.22109,1.21684,1.22084,3420
1329372000,1.22084,1.22174,1.218,1.21949,5604
1329386400,1.21949,1.22026,1.21588,1.21619,3833
1329400800,1.21619,1.21951,1.2151,1.21825,7936
1329415200,1.21825,1.22276,1.21714,1.22093,2502
1329429600,1.22093,1.22186,1.216435,1.217545,2295
1329444000,1.217545,1.219385,1.216785,1.218825,1571
1329458400,1.218825,1.221265,1.218145,1.220885,3224
1329472800,1.220885,1.225505,1.220155,1.225225,3588
1329487200,1.225225,1.230445,1.224945,1.228125,4964
1329501600,1.228125,1.22866,1.22646,1.22729,1380
1329688800,1.22375,1.22613,1.22304,1.22516,2394
1329703200,1.22516,1.226915,1.22501,1.226155,1080
1329717600,1.226155,1.22853,1.22557,1.22839,3022
1329732000,1.22839,1.23186,1.22676,1.23182,2692
1329746400,1.23182,1.23323,1.22999,1.23234,2697
1329760800,1.23234,1.23291,1.23093,1.23127,1107
1329775200,1.23127,1.23361,1.23077,1.231995,2831
1329789600,1.231995,1.23809,1.231605,1.23649,4562
1329804000,1.23649,1.241625,1.235535,1.241305,4563
1329818400,1.241305,1.241975,1.237475,1.238715,4236
1329832800,1.238715,1.241785,1.237985,1.239725,3786
1329847200,1.239725,1.242085,1.239185,1.24116,2144
1329861600,1.24116,1.24519,1.24067,1.24394,2566
1329876000,1.24394,1.24394,1.2402,1.24024,2240
1329890400,1.24024,1.24403,1.23923,1.24239,4349
1329904800,1.24239,1.24657,1.24206,1.24567,3500
1329919200,1.24567,1.247345,1.244625,1.246545,4380
1329933600,1.246545,1.246725,1.243785,1.24547,1754
1329948000,1.24547,1.24861,1.24547,1.24673,2508
1329962400,1.24673,1.24716,1.24484,1.24518,1588
1329976800,1.24518,1.246245,1.2432,1.244955,4273
1329991200,1.244955,1.245495,1.241215,1.241885,3237
1330005600,1.241885,1.246795,1.241745,1.246655,4231
1330020000,1.246655,1.249995,1.246655,1.24774,2321
1330034400,1.24774,1.24782,1.24391,1.24506,1995
1330048800,1.24506,1.2466,1.24433,1.2463,1270
1330063200,1.2463,1.249165,1.24585,1.247515,4097
1330077600,1.247515,1.252135,1.246765,1.251125,2958
1330092000,1.251125,1.258575,1.251045,1.257145,3827
1330106400,1.257145,1.25923,1.256395,1.25745,1547
1330293600,1.25767,1.26186,1.25655,1.260585,2197
1330308000,1.260585,1.260585,1.257905,1.258285,1463
1330322400,1.258285,1.261395,1.257875,1.258575,3632
1330336800,1.258575,1.258615,1.252245,1.252755,3950
1330351200,1.252755,1.25317,1.24322,1.24435,5269
1330365600,1.24435,1.24598,1.24286,1.24553,1772
1330380000,1.24553,1.24679,1.245155,1.245925,1887
1330394400,1.245925,1.247255,1.245815,1.246645,1705
1330408800,1.246645,1.24869,1.246355,1.24803,3474
1330423200,1.24803,1.24995,1.2478,1.24901,3667
1330437600,1.24901,1.25087,1.24634,1.25074,5882
1330452000,1.25074,1.25256,1.24878,1.25003,2114
1330466400,1.25003,1.25024,1.24652,1.247135,2145
1330480800,1.247135,1.247465,1.245605,1.246785,1666
1330495200,1.246785,1.246975,1.24392,1.2445,2682
1330509600,1.2445,1.24513,1.23903,1.241,5479
1330524000,1.241,1.24189,1.23714,1.23955,9145
1330538400,1.23955,1.24302,1.23822,1.24159,3943
1330552800,1.24159,1.24248,1.23981,1.240295,2475
1330567200,1.240295,1.241705,1.239905,1.241265,1587
1330581600,1.241265,1.242685,1.237975,1.239275,3725
1330596000,1.239275,1.239605,1.234475,1.235365,3341
1330610400,1.235365,1.23632,1.23244,1.233,5593
1330624800,1.233,1.23411,1.2313,1.23146,2519
1330639200,1.23146,1.234575,1.23122,1.233085,1648
1330653600,1.233085,1.233825,1.231995,1.232485,1090
1330668000,1.232485,1.233565,1.230295,1.23059,3242
1330682400,1.23059,1.230825,1.226215,1.229195,3081
1330696800,1.229195,1.22962,1.22705,1.22939,4739
1330711200,1.22939,1.2306,1.22856,1.22974,1976
1330898400,1.22816,1.231755,1.22815,1.231435,1348
1330912800,1.231435,1.232535,1.231135,1.232445,1825
1330927200,1.232445,1.235365,1.230805,1.233635,3618
1330941600,1.233635,1.236895,1.233595,1.236605,3064
1330956000,1.236605,1.240905,1.235835,1.240385,3970
1330970400,1.240385,1.240705,1.23849,1.23865,1493
1330984800,1.23865,1.24133,1.23703,1.2408,1526
1330999200,1.2408,1.24412,1.23955,1.24254,2677
1331013600,1.24254,1.244385,1.241125,1.242995,3935
1331028000,1.242995,1.243195,1.238985,1.242435,3906
1331042400,1.242435,1.245415,1.241405,1.244855,5398
1331056800,1.244855,1.245315,1.242055,1.24255,2088
1331071200,1.24255,1.2486,1.2412,1.24704,2580
1331085600,1.24704,1.24727,1.24492,1.24603,1487
1331100000,1.24603,1.24627,1.242505,1.243485,3262
1331114400,1.243485,1.244415,1.242295,1.242745,2763
1331128800,1.242745,1.245685,1.241625,1.242575,4109
1331143200,1.242575,1.243855,1.241155,1.2425,1775
1331157600,1.2425,1.24694,1.24173,1.245185,2677
1331172000,1.245185,1.245875,1.241105,1.241355,2756
1331186400,1.241355,1.242115,1.239195,1.241295,3803
1331200800,1.241295,1.247145,1.239665,1.246715,3815
1331215200,1.246715,1.252015,1.245635,1.247245,3982
1331229600,1.247245,1.247735,1.244905,1.24723,1852
1331244000,1.24723,1.24909,1.24583,1.24782,2020
1331258400,1.24782,1.24792,1.24429,1.24509,1424
1331272800,1.24509,1.24548,1.243105,1.244175,3653
1331287200,1.244175,1.245945,1.23836,1.239275,3399
1331301600,1.239275,1.241405,1.235025,1.239405,4591
1331316000,1.239405,1.24125,1.238405,1.24083,1614
1331499600,1.24121,1.244005,1.24063,1.243965,1435
1331514000,1.243965,1.244245,1.242065,1.242995,2022
1331528400,1.242995,1.246705,1.242195,1.246145,2871
1331542800,1.246145,1.250305,1.245665,1.250135,2794
1331557200,1.250135,1.254665,1.249265,1.254235,3817
1331571600,1.254235,1.254515,1.25072,1.25095,1308
1331586000,1.25095,1.25204,1.24959,1.25124,1168
1331600400,1.25124,1.25124,1.24832,1.24862,1569
1331614800,1.24862,1.24951,1.2469,1.24805,2445
1331629200,1.24805,1.24808,1.24289,1.24321,3170
1331643600,1.24321,1.24517,1.24267,1.24429,3515
1331658000,1.24429,1.2461,1.23969,1.23983,3750
1331672400,1.23983,1.2417,1.23948,1.24121,1273
1331686800,1.24121,1.24207,1.23919,1.23919,1342
1331701200,1.23919,1.244535,1.2388,1.244315,2997
1331715600,1.244315,1.248365,1.244235,1.247315,3258
1331730000,1.247315,1.248765,1.246135,1.246135,4142
1331744400,1.246135,1.248355,1.245345,1.24683,2119
1331758800,1.24683,1.24871,1.24624,1.24834,1621
1331773200,1.24834,1.24839,1.24493,1.24548,1701
1331787600,1.24548,1.24681,1.24321,1.24446,2824
1331802000,1.24446,1.24582,1.24075,1.24211,3338
1331816400,1.24211,1.24362,1.24009,1.24114,3808
1331830800,1.24114,1.24395,1.2411,1.24275,1859
1331845200,1.24275,1.24408,1.24205,1.24325,1003
1331859600,1.24325,1.2438,1.24058,1.24207,1591
1331874000,1.24207,1.24326,1.241275,1.241515,2231
1331888400,1.241515,1.242725,1.239205,1.241375,4039
1331902800,1.241375,1.245685,1.239855,1.244615,4086
1331917200,1.244615,1.245005,1.243515,1.24427,1045
1332104400,1.24373,1.24509,1.24179,1.24289,1015
