time,open,high,low,close,Volume
1325455200,1.21484,1.21712,1.21447,1.21557,417
1325469600,1.21557,1.21683,1.21492,1.21656,505
1325484000,1.21656,1.21743,1.21371,1.21732,1822
1325498400,1.21732,1.217675,1.215055,1.215485,1679
1325512800,1.215485,1.215795,1.214395,1.215345,781
1325527200,1.215345,1.215805,1.215005,1.215595,299
1325541600,1.215595,1.21742,1.215355,1.21721,1824
1325556000,1.21721,1.21958,1.21714,1.21876,3223
1325570400,1.21876,1.21979,1.216405,1.217835,7689
1325584800,1.217835,1.219085,1.215225,1.218105,8558
1325599200,1.218105,1.219065,1.216525,1.216865,7098
1325613600,1.216865,1.217235,1.21622,1.21648,2869
1325628000,1.21648,1.21731,1.21628,1.21674,1997
1325642400,1.21674,1.21758,1.21625,1.21751,1939
1325656800,1.21751,1.2199,1.21714,1.21886,4831
1325671200,1.21886,1.219815,1.218305,1.218585,6739
1325685600,1.218585,1.219325,1.217415,1.218605,6067
1325700000,1.218605,1.21903,1.218045,1.21889,2326
1325714400,1.21889,1.21899,1.21785,1.21822,3929
1325728800,1.21822,1.21853,1.21761,1.21764,2866
1325743200,1.21764,1.219595,1.217365,1.218805,5499
1325757600,1.218805,1.218955,1.217835,1.218485,4548
1325772000,1.218485,1.218715,1.217585,1.218325,3977
1325786400,1.218325,1.219015,1.21792,1.21807,2940
1325800800,1.21807,1.218905,1.2178,1.218835,1518
1325815200,1.218835,1.219165,1.218085,1.218815,2888
1325829600,1.218815,1.219705,1.217885,1.21816,5078
1325844000,1.21816,1.21867,1.21715,1.218,4832
1325858400,1.218,1.21808,1.21549,1.21587,5291
1325872800,1.21587,1.21607,1.21473,1.21497,1516
1326060000,1.21566,1.21634,1.214085,1.21427,3454
1326074400,1.21427,1.21449,1.21334,1.21394,1173
1326088800,1.21394,1.21593,1.2134,1.21575,3403
1326103200,1.21575,1.21597,1.21074,1.21364,4353
1326117600,1.21364,1.21442,1.21305,1.21336,4526
1326132000,1.21336,1.21336,1.21199,1.21216,2004
1326146400,1.21216,1.212575,1.210785,1.211725,2040
1326160800,1.211725,1.211825,1.210685,1.211185,2116
1326175200,1.211185,1.213585,1.211065,1.212425,5049
1326189600,1.212425,1.214125,1.211975,1.214055,4727
1326204000,1.214055,1.214855,1.212115,1.212995,4960
1326218400,1.212995,1.213385,1.212165,1.21279,1743
1326232800,1.21279,1.21314,1.21218,1.21259,2171
1326247200,1.21259,1.2132,1.21238,1.21268,1268
1326261600,1.21268,1.21358,1.21225,1.21294,4001
1326276000,1.21294,1.21402,1.21164,1.21189,5832
1326290400,1.21189,1.213565,1.210975,1.213275,4453
1326304800,1.213275,1.213275,1.211755,1.21236,3342
1326319200,1.21236,1.213045,1.21186,1.21278,2106
1326333600,1.21278,1.21294,1.21116,1.21203,1325
1326348000,1.21203,1.21273,1.21106,1.2116,2938
1326362400,1.2116,1.21198,1.21005,1.21119,3976
1326376800,1.21119,1.21238,1.20947,1.20958,4984
1326391200,1.20958,1.21087,1.20875,1.21035,3601
1326405600,1.21035,1.21075,1.20973,1.2105,1897
1326420000,1.2105,1.21171,1.2105,1.21128,2051
1326434400,1.21128,1.21295,1.20956,1.21067,4813
1326448800,1.21067,1.21104,1.2097,1.21012,3381
1326463200,1.21012,1.21037,1.20801,1.208425,8221
1326477600,1.208425,1.208445,1.206285,1.20735,4566
1326664800,1.20716,1.20793,1.20683,1.2073,3165
1326679200,1.2073,1.20784,1.20668,1.2076,1772
1326693600,1.2076,1.208975,1.207265,1.208855,3938
1326708000,1.208855,1.209865,1.208635,1.209055,2686
1326722400,1.209055,1.20935,1.20804,1.20916,1625
1326736800,1.20916,1.20925,1.208575,1.20869,702
1326751200,1.20869,1.211055,1.20851,1.21004,3173
1326765600,1.21004,1.21091,1.20961,1.21034,2951
1326780000,1.21034,1.21076,1.20896,1.20913,3247
1326794400,1.20913,1.21026,1.20895,1.20929,2987
1326808800,1.20929,1.21135,1.20885,1.2096,3996
1326823200,1.2096,1.21001,1.20905,1.20927,1742
1326837600,1.20927,1.209975,1.20912,1.209885,1407
1326852000,1.209885,1.210115,1.209155,1.209675,2164
1326866400,1.209675,1.21012,1.20883,1.20916,3757
1326880800,1.20916,1.21018,1.20856,1.20886,3994
1326895200,1.20886,1.21335,1.20693,1.20748,5695
1326909600,1.20748,1.20861,1.20723,1.20838,3292
1326924000,1.20838,1.20845,1.207565,1.20777,2238
1326938400,1.20777,1.208285,1.2075,1.207845,1834
1326952800,1.207845,1.209185,1.206905,1.20811,4776
1326967200,1.20811,1.20902,1.20764,1.20811,3503
1326981600,1.20811,1.20875,1.20728,1.208,3323
1326996000,1.208,1.20895,1.20781,1.20881,3324
1327010400,1.20881,1.209,1.20834,1.20867,1664
1327024800,1.20867,1.20893,1.20842,1.20856,758
1327039200,1.20856,1.20908,1.207565,1.207775,3497
1327053600,1.207775,1.208255,1.206995,1.207025,2452
1327068000,1.207025,1.20832,1.206965,1.2083,2299
1327082400,1.2083,1.20883,1.20815,1.20848,848
1327269600,1.20756,1.20827,1.207345,1.20783,1762
1327284000,1.20783,1.20816,1.20746,1.20779,918
1327298400,1.20779,1.20839,1.20737,1.20763,1758
1327312800,1.20763,1.20799,1.20613,1.20695,3152
1327327200,1.20695,1.20818,1.20687,1.20789,3609
1327341600,1.20789,1.20843,1.20716,1.20754,2530
1327356000,1.20754,1.20797,1.2069,1.2071,1863
1327370400,1.2071,1.20723,1.20642,1.20656,1238
1327384800,1.20656,1.20749,1.20622,1.20645,4189
1327399200,1.20645,1.20695,1.20579,1.20619,2856
1327413600,1.20619,1.20881,1.20596,1.20867,3231
1327428000,1.20867,1.20931,1.208325,1.20915,1263
1327442400,1.20915,1.2093,1.20885,1.20919,1086
1327456800,1.20919,1.2098,1.20898,1.20941,1383
1327471200,1.20941,1.210885,1.208575,1.208685,3420
1327485600,1.208685,1.209405,1.207435,1.207775,3236
1327500000,1.207775,1.20857,1.20725,1.20767,3441
1327514400,1.20767,1.20836,1.20709,1.20782,3880
1327528800,1.20782,1.20849,1.20754,1.208035,1423
1327543200,1.208035,1.209375,1.207995,1.209305,988
1327557600,1.209305,1.209305,1.206625,1.207245,3822
1327572000,1.207245,1.207425,1.20661,1.20686,1803
1327586400,1.20686,1.20769,1.20658,1.2068,2336
1327600800,1.2068,1.20686,1.20592,1.20656,2034
1327615200,1.20656,1.20732,1.20614,1.20704,1841
1327629600,1.20704,1.20737,1.20659,1.20666,1013
1327644000,1.20666,1.20863,1.206,1.20754,3741
1327658400,1.20754,1.20803,1.20652,1.20672,2658
1327672800,1.20672,1.20706,1.20608,1.20645,2725
