time,open,high,low,close,Volume
1325455200,0.83457,0.8354,0.83402,0.83416,364
1325469600,0.83416,0.83424,0.83307,0.83361,466
1325484000,0.83361,0.83613,0.83343,0.83477,1778
1325498400,0.83477,0.835625,0.834305,0.834935,1388
1325512800,0.834935,0.835505,0.833685,0.833895,972
1325527200,0.833895,0.834675,0.833235,0.833705,696
1325541600,0.833705,0.835445,0.83358,0.835315,1702
1325556000,0.835315,0.836075,0.83443,0.83474,1176
1325570400,0.83474,0.83549,0.832955,0.835225,4352
1325584800,0.835225,0.836875,0.834235,0.836435,5618
1325599200,0.836435,0.837225,0.833215,0.833885,5352
1325613600,0.833885,0.834925,0.83339,0.83389,2502
1325628000,0.83389,0.834515,0.83375,0.834005,1806
1325642400,0.834005,0.834095,0.833235,0.833535,1253
1325656800,0.833535,0.83474,0.831775,0.83298,3328
1325671200,0.83298,0.83338,0.82906,0.82906,3526
1325685600,0.82906,0.83003,0.82646,0.8287,3548
1325700000,0.8287,0.82915,0.82833,0.82866,1393
1325714400,0.82866,0.82893,0.827425,0.828195,1658
1325728800,0.828195,0.828655,0.827645,0.828035,1614
1325743200,0.828035,0.82881,0.82554,0.826405,4475
1325757600,0.826405,0.827605,0.825525,0.826895,6462
1325772000,0.826895,0.827265,0.825555,0.825815,5909
1325786400,0.825815,0.825955,0.82498,0.82534,2455
1325800800,0.82534,0.82566,0.825035,0.825325,1502
1325815200,0.825325,0.825585,0.824475,0.824815,1617
1325829600,0.824815,0.826485,0.823945,0.8261,3881
1325844000,0.8261,0.826605,0.824305,0.82517,5240
1325858400,0.82517,0.82632,0.82432,0.825,3790
1325872800,0.825,0.82519,0.82409,0.82457,907
1326060000,0.82316,0.824335,0.82219,0.823635,2089
1326074400,0.823635,0.824215,0.823015,0.823825,1630
1326088800,0.823825,0.827605,0.823815,0.827465,4171
1326103200,0.827465,0.827735,0.82402,0.82491,3790
1326117600,0.82491,0.826095,0.823945,0.825785,4669
1326132000,0.825785,0.826385,0.82566,0.82577,2153
1326146400,0.82577,0.826945,0.825515,0.82599,1494
1326160800,0.82599,0.82638,0.825,0.82607,1481
1326175200,0.82607,0.82664,0.82493,0.82616,2971
1326189600,0.82616,0.82878,0.82555,0.82708,3599
1326204000,0.82708,0.82731,0.8247,0.82542,3067
1326218400,0.82542,0.82597,0.8248,0.82521,1365
1326232800,0.82521,0.82528,0.824015,0.824415,2160
1326247200,0.824415,0.824655,0.824065,0.824465,1160
1326261600,0.824465,0.82675,0.824375,0.82633,3967
1326276000,0.82633,0.82717,0.82441,0.826455,6790
1326290400,0.826455,0.828855,0.82508,0.828285,6676
1326304800,0.828285,0.82946,0.828185,0.82902,2429
1326319200,0.82902,0.829965,0.82888,0.829805,1464
1326333600,0.829805,0.83064,0.829805,0.83002,1150
1326348000,0.83002,0.832,0.82929,0.83082,3853
1326362400,0.83082,0.832395,0.83033,0.83181,5698
1326376800,0.83181,0.83742,0.83178,0.83666,5321
1326391200,0.83666,0.83722,0.83564,0.83582,1690
1326405600,0.83582,0.83601,0.835285,0.835425,1696
1326420000,0.835425,0.836975,0.835355,0.836355,1860
1326434400,0.836355,0.837665,0.834945,0.835445,6609
1326448800,0.835445,0.836125,0.83113,0.83135,6853
1326463200,0.83135,0.83149,0.827775,0.828875,9860
1326477600,0.828875,0.828875,0.82661,0.82772,2397
1326664800,0.82684,0.82738,0.825625,0.825885,2245
1326679200,0.825885,0.826345,0.825625,0.825805,1389
1326693600,0.825805,0.82841,0.825505,0.82662,4043
1326708000,0.82662,0.82824,0.82608,0.82707,2932
1326722400,0.82707,0.82772,0.82616,0.82697,2090
1326736800,0.82697,0.82708,0.82625,0.82657,843
1326751200,0.82657,0.828475,0.82622,0.82846,1483
1326765600,0.82846,0.829075,0.827715,0.828755,1939
1326780000,0.828755,0.83132,0.82781,0.83073,2931
1326794400,0.83073,0.83214,0.82904,0.82914,4211
1326808800,0.82914,0.83017,0.82812,0.82946,3410
1326823200,0.82946,0.83102,0.82944,0.83057,1520
1326837600,0.83057,0.832035,0.83042,0.831755,1275
1326852000,0.831755,0.833075,0.831705,0.832125,1357
1326866400,0.832125,0.83416,0.8305,0.83264,4196
1326880800,0.83264,0.835415,0.83232,0.83375,6783
1326895200,0.83375,0.834655,0.83157,0.83301,4804
1326909600,0.83301,0.83365,0.83202,0.83318,2017
1326924000,0.83318,0.833845,0.832525,0.833095,2396
1326938400,0.833095,0.833855,0.832825,0.832875,1399
1326952800,0.832875,0.83553,0.832865,0.83457,4167
1326967200,0.83457,0.8365,0.83369,0.83606,3689
1326981600,0.83606,0.83616,0.83264,0.83613,3656
1326996000,0.83613,0.83735,0.83605,0.83729,1652
1327010400,0.83729,0.8376,0.836495,0.836755,1512
1327024800,0.836755,0.837175,0.836465,0.836955,765
1327039200,0.836955,0.837845,0.83391,0.83459,3302
1327053600,0.83459,0.83637,0.83216,0.83233,3581
1327068000,0.83233,0.83329,0.83171,0.83205,3480
1327082400,0.83205,0.83233,0.83029,0.83033,964
1327269600,0.82781,0.830135,0.82781,0.82939,2507
1327284000,0.82939,0.82983,0.82873,0.82933,1423
1327298400,0.82933,0.83326,0.82914,0.83159,2939
1327312800,0.83159,0.83691,0.83089,0.83635,4348
1327327200,0.83635,0.83738,0.83494,0.83545,3499
1327341600,0.83545,0.83707,0.83537,0.83601,1801
