time,open,high,low,close,Volume
1325455200,1.6639,1.66602,1.66051,1.66246,481
1325469600,1.66246,1.66629,1.65924,1.66237,1055
1325484000,1.66237,1.66667,1.66056,1.66488,3293
1325498400,1.66488,1.6663,1.65989,1.66147,2219
1325512800,1.66147,1.67113,1.65906,1.66116,1526
1325527200,1.66116,1.66204,1.65949,1.66166,770
1325541600,1.66166,1.66188,1.65473,1.65814,3193
1325556000,1.65814,1.65955,1.65368,1.65517,2005
1325570400,1.65517,1.65791,1.65189,1.65368,4622
1325584800,1.65368,1.65694,1.65318,1.65629,5202
1325599200,1.65629,1.6576,1.65123,1.65349,4852
1325613600,1.65349,1.65651,1.65066,1.65305,2774
1325628000,1.65305,1.65444,1.65081,1.65362,2065
1325642400,1.65362,1.65486,1.65075,1.65088,1681
1325656800,1.65088,1.655675,1.65055,1.65267,4604
1325671200,1.65267,1.653075,1.644555,1.644895,7069
1325685600,1.644895,1.645285,1.640595,1.644035,6180
1325700000,1.644035,1.645145,1.642325,1.64309,3142
1325714400,1.64309,1.64587,1.64219,1.64297,2929
1325728800,1.64297,1.645,1.6418,1.64287,2089
1325743200,1.64287,1.64634,1.64191,1.64454,6037
1325757600,1.64454,1.64583,1.63547,1.636,7277
1325772000,1.636,1.64145,1.63527,1.63856,6905
1325786400,1.63856,1.63917,1.63535,1.63817,3689
1325800800,1.63817,1.64023,1.63636,1.63735,2450
1325815200,1.63735,1.642,1.63644,1.63837,2307
1325829600,1.63837,1.63985,1.63646,1.63711,4368
1325844000,1.63711,1.63884,1.62696,1.628775,5705
1325858400,1.628775,1.631465,1.626505,1.628305,7106
1325872800,1.628305,1.62982,1.627185,1.62942,1542
1326060000,1.62859,1.63008,1.62507,1.62881,3571
1326074400,1.62881,1.62943,1.62613,1.62834,2392
1326088800,1.62834,1.62939,1.62529,1.62678,5223
1326103200,1.62678,1.62966,1.62161,1.62266,4909
1326117600,1.62266,1.62478,1.6208,1.62216,5308
1326132000,1.62216,1.62336,1.61928,1.62176,2515
1326146400,1.62176,1.62283,1.61165,1.61176,2870
1326160800,1.61176,1.61238,1.60819,1.61105,2504
1326175200,1.61105,1.61284,1.60783,1.61087,5235
1326189600,1.61087,1.61208,1.60644,1.61146,5363
1326204000,1.61146,1.61187,1.60583,1.60995,5167
1326218400,1.60995,1.61163,1.60795,1.60834,2998
1326232800,1.60834,1.61035,1.60527,1.60659,3150
1326247200,1.60659,1.60742,1.60501,1.60538,1224
1326261600,1.60538,1.60745,1.60361,1.60662,4134
1326276000,1.60662,1.60684,1.59825,1.60046,7207
1326290400,1.60046,1.60156,1.5951,1.59707,6301
1326304800,1.59707,1.59803,1.5931,1.59439,3079
1326319200,1.59439,1.59801,1.59306,1.59694,2267
