time,open,high,low,close,Volume
1325455200,1.29405,1.29535,1.29358,1.29412,679
1325469600,1.29412,1.29482,1.29233,1.293165,1127
1325484000,1.293165,1.29707,1.29271,1.29558,3691
1325498400,1.29558,1.29621,1.29239,1.29275,3230
1325512800,1.29275,1.29421,1.2918,1.29321,2268
1325527200,1.29321,1.29353,1.29222,1.29345,1251
1325541600,1.29345,1.29729,1.29324,1.29718,2698
1325556000,1.29718,1.29895,1.29718,1.297715,2292
1325570400,1.297715,1.301795,1.297405,1.300935,8093
1325584800,1.300935,1.305915,1.300905,1.30326,8941
1325599200,1.30326,1.30681,1.30265,1.30484,7838
1325613600,1.30484,1.30768,1.30465,1.30501,4093
1325628000,1.30501,1.30596,1.304525,1.304705,2497
1325642400,1.304705,1.304785,1.302295,1.303455,2089
1325656800,1.303455,1.307255,1.302695,1.30385,6106
1325671200,1.30385,1.305045,1.29324,1.29327,10797
1325685600,1.29327,1.29613,1.289785,1.295345,8902
1325700000,1.295345,1.295345,1.293475,1.29428,3536
1325714400,1.29428,1.29467,1.291315,1.29229,3744
1325728800,1.29229,1.29345,1.291575,1.291625,2713
1325743200,1.291625,1.2944,1.28484,1.286325,9829
1325757600,1.286325,1.287785,1.280285,1.281315,12557
1325772000,1.281315,1.282075,1.27765,1.27948,10979
1325786400,1.27948,1.27975,1.27702,1.27886,4363
1325800800,1.27886,1.27977,1.27834,1.279415,2794
1325815200,1.279415,1.279925,1.27637,1.276915,2578
1325829600,1.276915,1.28125,1.276765,1.28019,6857
1325844000,1.28019,1.28104,1.27262,1.27352,9963
1325858400,1.27352,1.27607,1.26974,1.27217,9301
1325872800,1.27217,1.27314,1.27167,1.27195,2096
1326060000,1.26951,1.27063,1.26663,1.269095,4481
1326074400,1.269095,1.271555,1.268465,1.270585,3036
1326088800,1.270585,1.277995,1.270515,1.277715,9119
1326103200,1.277715,1.278575,1.27259,1.27592,8782
1326117600,1.27592,1.276745,1.272085,1.273785,7422
1326132000,1.273785,1.277735,1.273755,1.27649,2976
1326146400,1.27649,1.27814,1.27605,1.27734,2688
1326160800,1.27734,1.27955,1.27647,1.27861,2771
1326175200,1.27861,1.28034,1.27429,1.279145,7585
1326189600,1.279145,1.281825,1.276335,1.27995,8618
1326204000,1.27995,1.28022,1.27639,1.27782,7509
1326218400,1.27782,1.27929,1.2768,1.27778,3044
1326232800,1.27778,1.27792,1.27291,1.27488,4052
1326247200,1.27488,1.27541,1.27365,1.27439,1791
1326261600,1.27439,1.27898,1.27413,1.27835,6186
1326276000,1.27835,1.27857,1.26816,1.27096,11293
1326290400,1.27096,1.27146,1.26616,1.269795,10842
1326304800,1.269795,1.27118,1.26934,1.270685,3427
1326319200,1.270685,1.272245,1.270155,1.27138,2305
1326333600,1.27138,1.27281,1.27138,1.27178,1565
1326348000,1.27178,1.27475,1.26996,1.2747,6123
1326362400,1.2747,1.27776,1.271455,1.27524,10690
1326376800,1.27524,1.284465,1.27524,1.283385,11124
1326391200,1.283385,1.284515,1.28138,1.28142,3964
1326405600,1.28142,1.282305,1.28077,1.281675,2672
1326420000,1.281675,1.28507,1.281555,1.28395,2759
1326434400,1.28395,1.28783,1.28133,1.283,9268
1326448800,1.283,1.28429,1.272235,1.27294,11673
1326463200,1.27294,1.27294,1.262405,1.267775,16533
1326477600,1.267775,1.26881,1.264975,1.26811,4064
1326664800,1.26375,1.2658,1.262635,1.264055,4162
1326679200,1.264055,1.265295,1.26331,1.26357,2923
1326693600,1.26357,1.268135,1.2634,1.26642,7282
1326708000,1.26642,1.2682,1.26426,1.26721,6514
1326722400,1.26721,1.26875,1.26585,1.2673,3874
1326736800,1.2673,1.26786,1.26599,1.26671,1804
1326751200,1.26671,1.27144,1.26494,1.27144,3502
1326765600,1.27144,1.27366,1.269885,1.27333,4347
1326780000,1.27333,1.27773,1.27243,1.27731,7288
1326794400,1.27731,1.28088,1.27333,1.2735,9997
1326808800,1.2735,1.27532,1.27114,1.27329,8269
1326823200,1.27329,1.27458,1.27177,1.27363,3274
1326837600,1.27363,1.27627,1.27347,1.27603,2051
1326852000,1.27603,1.27872,1.27583,1.2769,3126
1326866400,1.2769,1.28159,1.27341,1.27936,9879
1326880800,1.27936,1.284645,1.27793,1.2804,12155
1326895200,1.2804,1.28637,1.28003,1.28497,11254
1326909600,1.28497,1.28682,1.28344,1.28635,3659
1326924000,1.28635,1.28702,1.284215,1.285455,3861
1326938400,1.285455,1.28783,1.2848,1.28522,3166
1326952800,1.28522,1.290845,1.28395,1.288295,9230
1326967200,1.288295,1.29267,1.286965,1.29074,9196
1326981600,1.29074,1.29396,1.28753,1.29315,8436
1326996000,1.29315,1.29714,1.29287,1.2968,4165
1327010400,1.2968,1.29723,1.29547,1.296295,2800
1327024800,1.296295,1.296785,1.29541,1.296275,1580
1327039200,1.296275,1.29862,1.28948,1.29004,7892
1327053600,1.29004,1.29322,1.28876,1.2919,8899
1327068000,1.2919,1.29505,1.29058,1.29308,7313
1327082400,1.29308,1.29404,1.29182,1.29328,2117
1327269600,1.28788,1.29085,1.287645,1.28954,2946
1327284000,1.28954,1.2907,1.28833,1.28938,1594
1327298400,1.28938,1.2943,1.28857,1.29285,6248
1327312800,1.29285,1.303175,1.29148,1.30217,11143
1327327200,1.30217,1.30525,1.30038,1.30107,8045
1327341600,1.30107,1.30373,1.30053,1.30162,3582
1327356000,1.30162,1.30293,1.3007,1.30124,4096
1327370400,1.30124,1.30138,1.2988,1.30077,2266
1327384800,1.30077,1.30627,1.29934,1.300895,9777
1327399200,1.300895,1.302775,1.29557,1.29606,9644
1327413600,1.29606,1.30253,1.29538,1.30219,7689
1327428000,1.30219,1.3037,1.30146,1.3036,2529
1327442400,1.3036,1.3047,1.30237,1.30243,3099
