time,open,high,low,close,Volume
1325455200,1.516865,1.518265,1.51523,1.517345,367
1325469600,1.517345,1.51858,1.515875,1.51784,233
1325484000,1.51784,1.522265,1.51528,1.51823,861
1325498400,1.51823,1.51844,1.51413,1.51497,449
1325512800,1.51497,1.5183,1.511895,1.51704,593
1325527200,1.51704,1.51713,1.514605,1.516015,633
1325541600,1.516015,1.516105,1.508785,1.509155,1792
1325556000,1.509155,1.511125,1.508855,1.510985,898
1325570400,1.510985,1.513415,1.509895,1.510605,3139
1325584800,1.510605,1.511725,1.504905,1.506825,3402
1325599200,1.506825,1.511135,1.503175,1.510295,3416
1325613600,1.510295,1.511895,1.506715,1.507955,1651
1325628000,1.507955,1.51277,1.507445,1.5127,1501
1325642400,1.5127,1.51427,1.508985,1.509365,1200
1325656800,1.509365,1.51329,1.508525,1.512075,3278
1325671200,1.512075,1.513175,1.509775,1.512065,3833
1325685600,1.512065,1.514635,1.507845,1.507955,3534
1325700000,1.507955,1.509045,1.505465,1.506435,1354
1325714400,1.506435,1.51353,1.505775,1.51081,2062
1325728800,1.51081,1.51258,1.51026,1.51086,1648
1325743200,1.51086,1.517335,1.509715,1.515975,4455
1325757600,1.515975,1.517165,1.506995,1.508225,5447
1325772000,1.508225,1.51305,1.508065,1.509655,4826
1325786400,1.509655,1.51138,1.507835,1.509725,2031
1325800800,1.509725,1.51324,1.509625,1.51067,1560
1325815200,1.51067,1.51659,1.51044,1.5141,1732
1325829600,1.5141,1.51516,1.510585,1.511325,3297
1325844000,1.511325,1.514605,1.50527,1.507185,4828
1325858400,1.507185,1.510505,1.505215,1.507385,4426
1325872800,1.507385,1.510045,1.505755,1.50808,1153
1326060000,1.511925,1.517485,1.50981,1.517285,2326
1326074400,1.517285,1.518325,1.514775,1.516565,1250
1326088800,1.516565,1.516565,1.508895,1.509465,3192
1326103200,1.509465,1.513555,1.508565,1.511515,2986
1326117600,1.511515,1.513665,1.508235,1.510695,3714
