time,open,high,low,close,Volume
1325455200,119.306,119.729,119.306,119.558,1673
1325469600,119.558,119.615,119.298,119.395,874
1325484000,119.395,119.577,119.181,119.406,1909
1325498400,119.406,119.418,119.065,119.119,1362
1325512800,119.119,119.312,119.003,119.3,1661
1325527200,119.3,119.353,119.072,119.306,1373
1325541600,119.306,119.4675,119.205,119.3635,2694
1325556000,119.3635,119.5135,119.2995,119.3645,1704
1325570400,119.3645,119.8705,119.3435,119.6525,7452
1325584800,119.6525,119.8425,119.5685,119.5755,7525
1325599200,119.5755,120.1745,119.5045,120.0015,7620
1325613600,120.0015,120.153,119.905,120.079,2600
1325628000,120.079,120.213,119.8575,119.9435,3824
1325642400,119.9435,119.9785,119.8055,119.9575,2318
1325656800,119.9575,120.1085,119.6945,119.9595,5381
1325671200,119.9595,120.0315,119.6155,119.7735,6895
1325685600,119.7735,119.9955,119.6855,119.8615,7439
1325700000,119.8615,119.8825,119.725,119.831,2503
1325714400,119.831,119.884,119.6585,119.6945,3658
1325728800,119.6945,119.8245,119.6525,119.6945,2250
1325743200,119.6945,119.9615,119.4205,119.5675,7416
1325757600,119.5675,119.6025,119.1865,119.3625,10270
1325772000,119.3625,119.6095,119.2655,119.5495,9399
1325786400,119.5495,119.737,119.452,119.494,2862
1325800800,119.494,119.6845,119.447,119.6505,3266
1325815200,119.6505,119.6935,119.5305,119.5615,3157
1325829600,119.5615,119.748,119.434,119.516,5948
1325844000,119.516,119.742,119.1655,119.2145,8002
1325858400,119.2145,119.2145,118.5555,118.8185,7569
1325872800,118.8185,118.9485,118.721,118.731,1829
1326060000,118.628,118.711,118.276,118.6165,3241
1326074400,118.6165,118.7015,118.5045,118.6575,1530
1326088800,118.6575,118.8755,118.5795,118.6775,4451
1326103200,118.6775,118.8785,118.5225,118.8645,4506
1326117600,118.8645,118.8785,118.5415,118.5985,4870
1326132000,118.5985,118.84,118.5415,118.773,1761
1326146400,118.773,118.9255,118.733,118.7905,2935
1326160800,118.7905,118.9335,118.7425,118.9025,3536
1326175200,118.9025,119.0775,118.7305,118.9685,5718
1326189600,118.9685,119.0155,118.7335,118.9345,7022
1326204000,118.9345,119.0695,118.8525,118.9195,6066
1326218400,118.9195,119.022,118.8715,118.992,1901
1326232800,118.992,119.056,118.8455,118.9185,2521
1326247200,118.9185,118.9395,118.8295,118.9125,1487
1326261600,118.9125,119.117,118.88,118.9915,4956
1326276000,118.9915,119.0365,118.2665,118.3675,9065
1326290400,118.3675,118.4385,117.7875,117.9035,7908
1326304800,117.9035,117.9035,117.7285,117.81,2419
1326319200,117.81,117.9035,117.7475,117.8115,2608
1326333600,117.8115,117.8615,117.6765,117.7995,2306
1326348000,117.7995,118.043,117.591,118.02,7381
1326362400,118.02,118.1225,117.703,117.8545,8183
1326376800,117.8545,117.9585,117.5285,117.6445,7769
1326391200,117.6445,117.826,117.6335,117.688,1973
1326405600,117.688,117.864,117.67,117.8305,2306
1326420000,117.8305,117.874,117.7085,117.864,2820
1326434400,117.864,118.198,117.621,117.785,7653
1326448800,117.785,117.858,117.547,117.629,7205
1326463200,117.629,117.855,117.285,117.5935,11011
1326477600,117.5935,117.946,117.5145,117.887,2892
1326664800,117.787,117.796,117.4945,117.6135,3308
1326679200,117.6135,117.6895,117.5495,117.5705,2574
1326693600,117.5705,117.7845,117.4345,117.6665,6424
1326708000,117.6665,117.6755,117.3805,117.5735,4321
1326722400,117.5735,117.7785,117.4445,117.6395,3153
1326736800,117.6395,117.728,117.5495,117.669,1720
1326751200,117.669,117.9,117.585,117.871,2702
1326765600,117.871,117.998,117.809,117.826,3557
1326780000,117.826,117.927,117.657,117.861,5678
1326794400,117.861,118.278,117.71,118.014,8179
1326808800,118.014,118.078,117.806,117.9525,5413
1326823200,117.9525,117.9605,117.7165,117.821,1938
1326837600,117.821,117.849,117.6935,117.7615,2190
1326852000,117.7615,117.8025,117.6185,117.6385,2015
1326866400,117.6385,117.968,117.5655,117.943,6381
1326880800,117.943,118.186,117.821,117.988,7848
1326895200,117.988,118.632,117.907,118.4425,7218
1326909600,118.4425,118.643,118.368,118.62,2491
1326924000,118.62,118.632,118.368,118.388,3292
1326938400,118.388,118.531,118.38,118.447,1686
1326952800,118.447,118.592,118.326,118.462,6357
1326967200,118.462,118.795,118.409,118.658,7749
1326981600,118.658,119.729,118.65,119.4485,9218
1326996000,119.4485,119.5345,119.3475,119.426,2605
1327010400,119.426,119.5555,119.3255,119.4715,3249
1327024800,119.4715,119.4985,119.3405,119.4985,2126
1327039200,119.4985,119.793,119.303,119.308,6805
1327053600,119.308,119.808,119.201,119.781,6456
1327068000,119.781,119.942,119.469,119.6215,6806
1327082400,119.6215,120.012,119.5745,119.977,1989
1327269600,119.712,119.849,119.5015,119.7705,3318
1327284000,119.7705,119.8795,119.7345,119.7925,2789
1327298400,119.7925,119.8235,119.5385,119.6935,5212
1327312800,119.6935,119.8335,119.5715,119.7515,7808
1327327200,119.7515,120.2125,119.5975,119.8685,6261
1327341600,119.8685,119.979,119.7265,119.904,1985
1327356000,119.904,119.9655,119.79,119.8435,2838
1327370400,119.8435,119.8475,119.6575,119.7895,2743
1327384800,119.7895,120.325,119.701,120.119,6768
1327399200,120.119,121.1705,120.115,121.1585,8905
1327413600,121.1585,121.3555,121.0435,121.2585,7076
1327428000,121.2585,121.4245,121.1935,121.367,2120
1327442400,121.367,121.621,121.2655,121.459,5096
1327456800,121.459,121.796,121.457,121.644,3353
1327471200,121.644,121.692,121.237,121.681,8233
1327485600,121.681,122.0525,121.35,121.69,8003
1327500000,121.69,121.992,121.2315,121.3435,8843
1327514400,121.3435,121.849,121.2555,121.792,8124
1327528800,121.792,121.828,121.6165,121.7965,2949
1327543200,121.7965,121.8015,121.5815,121.6085,2356
1327557600,121.6085,121.8695,121.4425,121.5985,6752
1327572000,121.5985,121.8785,121.5935,121.8255,7108
1327586400,121.8255,121.8425,121.3175,121.6715,8988
