time,open,high,low,close,Volume
1325455200,1.99562,1.996615,1.99002,1.992855,410
1325469600,1.992855,2.00077,1.98977,1.99433,612
1325484000,1.99433,1.998555,1.98865,1.994445,909
1325498400,1.994445,1.995395,1.98832,1.99012,516
1325512800,1.99012,2.000645,1.98665,1.99178,528
1325527200,1.99178,1.993665,1.98889,1.993165,358
1325541600,1.993165,1.993495,1.984065,1.985085,1949
1325556000,1.985085,1.985485,1.980875,1.9829,1179
1325570400,1.9829,1.98588,1.979785,1.979965,2773
1325584800,1.979965,1.984015,1.976945,1.980075,2941
1325599200,1.980075,1.984315,1.975525,1.982895,3162
1325613600,1.982895,1.984815,1.978875,1.98232,1568
1325628000,1.98232,1.983225,1.97836,1.982735,1382
1325642400,1.982735,1.985525,1.980355,1.980525,1070
1325656800,1.980525,1.98671,1.97876,1.984,2873
1325671200,1.984,1.985045,1.97935,1.984125,3942
1325685600,1.984125,1.987285,1.97921,1.983785,3894
1325700000,1.983785,1.984545,1.98132,1.983005,1816
1325714400,1.983005,1.98806,1.981865,1.98376,1709
1325728800,1.98376,1.98643,1.98172,1.98406,1351
1325743200,1.98406,1.99182,1.983205,1.99002,4005
1325757600,1.99002,1.99123,1.978355,1.978505,4789
1325772000,1.978505,1.986415,1.978315,1.984175,4441
1325786400,1.984175,1.985895,1.980775,1.98481,2259
1325800800,1.98481,1.986625,1.98285,1.98376,1475
1325815200,1.98376,1.990815,1.98276,1.98632,1466
1325829600,1.98632,1.98838,1.980965,1.981775,2800
1325844000,1.981775,1.985785,1.972375,1.973845,3878
1325858400,1.973845,1.976975,1.971505,1.973785,4141
1325872800,1.973785,1.97693,1.972295,1.97625,933
1326060000,1.978715,1.98039,1.97448,1.977585,1985
1326074400,1.977585,1.978415,1.97395,1.976475,1335
1326088800,1.976475,1.976475,1.96514,1.96595,3058
1326103200,1.96595,1.96967,1.96448,1.96715,2624
1326117600,1.96715,1.97052,1.96289,1.96442,3457
1326132000,1.96442,1.96503,1.959995,1.96374,1527
1326146400,1.96374,1.96464,1.951215,1.951325,1719
1326160800,1.951325,1.952795,1.94852,1.950315,1598
1326175200,1.950315,1.952275,1.948425,1.949825,2869
1326189600,1.949825,1.949995,1.94334,1.94835,3183
1326204000,1.94835,1.952315,1.944785,1.950445,3407
1326218400,1.950445,1.953325,1.948275,1.949035,1873
1326232800,1.949035,1.95155,1.94705,1.94883,1651
1326247200,1.94883,1.94956,1.94707,1.9472,634
1326261600,1.9472,1.94745,1.943275,1.944335,2310
1326276000,1.944335,1.944615,1.935685,1.936625,4321
1326290400,1.936625,1.939355,1.92628,1.92819,3830
1326304800,1.92819,1.92841,1.92161,1.923405,1967
1326319200,1.923405,1.925905,1.921125,1.924395,1481
1326333600,1.924395,1.925985,1.922655,1.925885,1059
1326348000,1.925885,1.928005,1.921625,1.925615,2641
1326362400,1.925615,1.931045,1.921365,1.930785,3934
1326376800,1.930785,1.936605,1.92652,1.9332,4095
1326391200,1.9332,1.93377,1.92954,1.93152,1333
1326405600,1.93152,1.93637,1.92943,1.93593,958
1326420000,1.93593,1.94195,1.93584,1.93912,1012
1326434400,1.93912,1.941535,1.930145,1.93166,3545
1326448800,1.93166,1.93435,1.928165,1.932475,3641
1326463200,1.932475,1.93962,1.92927,1.93063,6255
1326477600,1.93063,1.9332,1.927095,1.927515,1644
1326664800,1.9284,1.93138,1.925665,1.93018,1720
1326679200,1.93018,1.93057,1.928435,1.92985,947
1326693600,1.92985,1.93254,1.92665,1.93048,3117
1326708000,1.93048,1.9332,1.92821,1.931435,2611
1326722400,1.931435,1.932495,1.92408,1.926655,1818
1326736800,1.926655,1.932545,1.926465,1.931085,1039
1326751200,1.931085,1.931525,1.92644,1.927645,1305
1326765600,1.927645,1.927645,1.922315,1.923275,1799
1326780000,1.923275,1.925035,1.91444,1.91728,3120
1326794400,1.91728,1.92498,1.915595,1.92376,3418
1326808800,1.92376,1.92405,1.916955,1.9197,3451
1326823200,1.9197,1.92007,1.91486,1.91593,1981
1326837600,1.91593,1.917035,1.9145,1.91535,1053
1326852000,1.91535,1.91583,1.910965,1.911095,1250
1326866400,1.911095,1.91513,1.908225,1.91342,3718
1326880800,1.91342,1.91375,1.90427,1.90916,4764
1326895200,1.90916,1.91619,1.9076,1.91003,5071
1326909600,1.91003,1.92232,1.9098,1.918985,2011
1326924000,1.918985,1.924715,1.918675,1.923635,2574
1326938400,1.923635,1.926105,1.922225,1.925425,1379
1326952800,1.925425,1.92741,1.922825,1.92723,2923
1326967200,1.92723,1.9295,1.92413,1.92421,3266
1326981600,1.92421,1.932655,1.9236,1.92882,3610
1326996000,1.92882,1.930075,1.92626,1.92881,1717
1327010400,1.92881,1.932075,1.92721,1.929395,1525
1327024800,1.929395,1.93298,1.929025,1.93137,759
1327039200,1.93137,1.934595,1.928655,1.930405,2535
1327053600,1.930405,1.930485,1.924305,1.928535,3267
1327068000,1.928535,1.932035,1.925925,1.929465,3020
1327082400,1.929465,1.93243,1.927885,1.93135,866
1327269600,1.927605,1.9318,1.926875,1.92981,1447
1327284000,1.92981,1.93009,1.92574,1.92574,923
1327298400,1.92574,1.92812,1.91968,1.92291,2279
1327312800,1.92291,1.92436,1.913445,1.915485,3208
1327327200,1.915485,1.924265,1.91314,1.922435,2747
1327341600,1.922435,1.923925,1.91892,1.92142,1561
1327356000,1.92142,1.923015,1.91725,1.91926,1507
