time,open,high,low,close,Volume
1325455200,1.55043,1.55185,1.54924,1.55136,767
1325469600,1.55136,1.552,1.55061,1.55131,347
1325484000,1.55131,1.554515,1.548805,1.552135,1129
1325498400,1.552135,1.552345,1.547665,1.54833,672
1325512800,1.54833,1.55151,1.54693,1.55064,1334
1325527200,1.55064,1.55178,1.54855,1.55152,1008
1325541600,1.55152,1.553465,1.55023,1.552925,1659
1325556000,1.552925,1.555605,1.552185,1.554725,1050
1325570400,1.554725,1.560135,1.554465,1.557645,4442
1325584800,1.557645,1.562505,1.557575,1.558115,4582
1325599200,1.558115,1.566955,1.556965,1.564815,4900
1325613600,1.564815,1.566895,1.564245,1.564905,1796
1325628000,1.564905,1.565825,1.56368,1.56439,1355
1325642400,1.56439,1.56444,1.56277,1.56371,981
1325656800,1.56371,1.5669,1.5616,1.565295,3359
1325671200,1.565295,1.566625,1.55795,1.560075,4582
1325685600,1.560075,1.564685,1.559185,1.563045,4641
1325700000,1.563045,1.563095,1.560775,1.561995,1477
1325714400,1.561995,1.562065,1.56035,1.56035,1228
1325728800,1.56035,1.56169,1.55949,1.55988,1122
1325743200,1.55988,1.56292,1.555315,1.556615,5007
1325757600,1.556615,1.557245,1.549315,1.549605,6128
1325772000,1.549605,1.550625,1.546755,1.549425,5194
1325786400,1.549425,1.550255,1.548105,1.549505,2097
1325800800,1.549505,1.55047,1.549005,1.55011,1170
1325815200,1.55011,1.55082,1.54764,1.54811,1455
1325829600,1.54811,1.551875,1.54811,1.549765,3319
1325844000,1.549765,1.552555,1.54244,1.54327,5769
1325858400,1.54327,1.54572,1.53763,1.54199,5126
1325872800,1.54199,1.54342,1.54171,1.54264,1200
1326060000,1.54242,1.54306,1.53962,1.540865,1998
1326074400,1.540865,1.543015,1.540405,1.542315,983
1326088800,1.542315,1.545875,1.542155,1.544105,3379
1326103200,1.544105,1.546875,1.543155,1.546795,3620
1326117600,1.546795,1.546995,1.542015,1.542515,3726
1326132000,1.542515,1.546795,1.542275,1.545795,1338
