time,open,high,low,close,Volume
1325455200,0.79408,0.79485,0.79206,0.79416,586
1325469600,0.79416,0.79469,0.79066,0.7937,672
1325484000,0.7937,0.7955,0.79146,0.79333,2978
1325498400,0.79333,0.79522,0.79228,0.79358,2551
1325512800,0.79358,0.79516,0.78958,0.79319,1925
1325527200,0.79319,0.79515,0.79288,0.79308,895
1325541600,0.79308,0.7962,0.79263,0.79476,4899
1325556000,0.79476,0.79655,0.79449,0.79464,2933
1325570400,0.79464,0.79769,0.79431,0.7976,4171
1325584800,0.7976,0.79793,0.79477,0.79601,6748
1325599200,0.79601,0.7981,0.79448,0.79708,8333
1325613600,0.79708,0.7993,0.79702,0.79767,4985
1325628000,0.79767,0.7999,0.79764,0.79911,3382
1325642400,0.79911,0.7994,0.79792,0.79935,2481
1325656800,0.79935,0.80015,0.79816,0.79906,6369
1325671200,0.79906,0.79969,0.79724,0.79726,9406
1325685600,0.79726,0.79927,0.79648,0.79739,9822
1325700000,0.79739,0.79837,0.79673,0.79778,4853
1325714400,0.79778,0.79806,0.7965,0.79753,3877
1325728800,0.79753,0.79854,0.79675,0.79729,3289
1325743200,0.79729,0.79729,0.79498,0.79639,6068
1325757600,0.79639,0.79686,0.79485,0.79574,7684
1325772000,0.79574,0.79774,0.79479,0.79518,8598
1325786400,0.79518,0.79703,0.79493,0.79619,4705
1325800800,0.79619,0.797085,0.79506,0.79609,3189
1325815200,0.79609,0.7964,0.79393,0.7952,3598
1325829600,0.7952,0.796575,0.794745,0.796275,4619
1325844000,0.796275,0.79962,0.795375,0.79959,8158
1325858400,0.79959,0.80149,0.79783,0.80114,11447
1325872800,0.80114,0.80312,0.80112,0.80296,3298
1326060000,0.8014,0.80347,0.80114,0.803,4417
1326074400,0.803,0.80504,0.80274,0.80488,4045
1326088800,0.80488,0.807815,0.80463,0.807025,6538
1326103200,0.807025,0.808365,0.805845,0.806565,5228
1326117600,0.806565,0.807045,0.805075,0.805765,6468
1326132000,0.805765,0.807425,0.80553,0.80562,3257
1326146400,0.80562,0.80972,0.80537,0.8097,4097
1326160800,0.8097,0.81035,0.80888,0.80908,3774
1326175200,0.80908,0.810095,0.8082,0.809335,7190
1326189600,0.809335,0.810355,0.807195,0.807915,8008
1326204000,0.807915,0.810355,0.806375,0.807435,9239
1326218400,0.807435,0.807845,0.805905,0.8068,5085
1326232800,0.8068,0.80842,0.80612,0.80779,4280
1326247200,0.80779,0.80818,0.80729,0.80778,1962
1326261600,0.80778,0.80825,0.80676,0.80697,4747
1326276000,0.80697,0.80817,0.80616,0.80764,6643
1326290400,0.80764,0.81128,0.80742,0.81097,6712
1326304800,0.81097,0.81281,0.81032,0.81261,3950
1326319200,0.81261,0.81288,0.81076,0.81123,3720
1326333600,0.81123,0.81162,0.81017,0.81041,2700
1326348000,0.81041,0.81072,0.80939,0.81001,5635
1326362400,0.81001,0.81096,0.80827,0.80884,9566
1326376800,0.80884,0.80964,0.80726,0.80848,11101
1326391200,0.80848,0.80972,0.80824,0.80897,4751
1326405600,0.80897,0.80982,0.807,0.80706,2834
1326420000,0.80706,0.80711,0.80498,0.80586,2778
1326434400,0.80586,0.80943,0.80575,0.80857,5609
