time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,80.43,80.43,80.43,80.43,,
2004-06-01,80.43,82.25,79.66,81.61,,
2004-07-01,81.61,84.56,81.33,83.64,,
2004-08-02,83.585,84.8,83.11,83.16,,
2004-09-01,83.16,87.59,83.16,87.26,,
2004-10-01,87.26,88.45,86.11,86.89,,
2004-11-01,86.89,89.745,86.37,86.77,,
2004-12-01,86.77,86.77,83.95,85.37,,
2005-01-03,85.43,85.72,82.72,83.63,,
2005-02-01,83.63,86.08,82.93,84.8,,
2005-03-01,84.8,88.98,83.85,88.51,,
2005-04-01,88.51,89.14,83.12,83.25,,
2005-05-02,83.4,86.58,83.175,86.52,,
2005-06-01,86.52,90.64,85.27,90.54,,
2005-07-01,90.54,93.22,89.43,91.95,,
2005-08-01,92.1,93.825,90.385,93.145,,
2005-09-01,93.145,97.915,91.605,97.58,,
2005-10-03,97.57,99.315,95.705,98.465,,
2005-11-01,98.465,102.875,98.235,102.765,,
2005-12-01,102.765,105.065,99.185,101.32,,
2006-01-02,101.36,103.155,97.135,102.885,,
2006-02-01,102.885,104.12,100.58,101.825,,
2006-03-01,101.825,103.435,99.025,100.78,,
2006-04-03,100.82,103.775,100.025,101.92,,
2006-05-01,101.81,102.93,98.315,102.265,,
2006-06-01,102.265,104.485,101.155,102.51,,
2006-07-03,102.52,104.225,100.635,101.38,,
2006-08-01,101.38,106.385,101.025,106.375,,
2006-09-01,106.375,106.405,103.695,105.7,,-1
2006-10-02,105.71,106.255,103.775,104.235,,-1
2006-11-01,104.235,104.865,101.165,101.555,,-1
2006-12-01,101.555,103.325,100.005,102.11,,-1
2007-01-01,102.11,103.695,100.225,102.565,,-1
2007-02-01,102.565,104.805,100.725,101.345,,-1
2007-03-01,101.345,102.755,97.505,102.09,,-1
2007-04-02,102.025,108.163,101.711,107.708,,-1
2007-05-01,107.708,114.0705,107.15,113.8945,,
2007-06-01,113.8945,117.912,113.4405,115.618,,-1
2007-07-02,115.813,118.2385,110.5125,111.2165,,-1
2007-08-01,111.2165,114.3425,103.411,109.662,,-1
2007-09-03,109.585,116.0755,106.53,115.704,,-1
2007-10-01,115.518,122.4865,115.413,122.4185,,-1
2007-11-01,122.4185,125.5825,108.0945,111.401,,-1
2007-12-03,111.08,116.8745,107.8725,111.871,,-1
2008-01-01,111.871,113.2795,101.8405,106.119,,-1
2008-02-01,106.119,109.6505,104.7295,105.01,,
2008-03-03,105.11,105.728,95.698,97.233,,
2008-04-01,97.233,104.1135,97.0705,103.0575,,
2008-05-01,103.0575,107.1125,101.6065,106.215,,
2008-06-02,105.641,107.0955,102.523,103.9715,,
2008-07-01,103.9715,107.1655,103.1375,105.308,,
2008-08-01,105.308,105.469,101.5145,102.269,,
2008-09-01,102.074,103.455,96.498,99.687,1,
2008-10-01,99.687,100.675,70.9805,81.203,1,
2008-11-03,81.522,87.4945,72.15,77.05,1,
2008-12-01,77.193,77.29,70.5805,74.242,1,
2009-01-01,74.242,80.452,68.384,73.131,1,
2009-02-02,73.255,79.407,71.481,76.461,1,
2009-03-02,76.526,80.672,74.055,78.523,1,
2009-04-01,78.523,83.0725,77.4405,82.711,1,
2009-05-01,82.711,87.666,80.142,87.347,,
2009-06-01,87.276,89.419,82.0755,82.894,,
2009-07-01,82.894,88.959,78.5555,87.861,,
2009-08-03,88.021,90.3235,83.7965,85.144,,
2009-09-01,85.144,86.5605,80.663,83.89,,
2009-10-01,83.89,88.308,81.3235,83.049,,
2009-11-02,82.709,86.3565,79.928,81.8055,,
2009-12-01,81.8055,89.069,81.621,88.322,,
2010-01-01,88.322,90.6245,83.6655,84.328,,
2010-02-01,83.968,88.4595,82.3775,84.589,,
2010-03-01,84.245,92.1335,84.245,92.0585,,
2010-04-01,92.0585,94.4915,89.9675,92.207,,-1
2010-05-03,92.253,93.9345,82.1395,87.376,,-1
