time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,87.32,87.32,87.32,87.32,,
2004-06-01,87.32,89.685,85.485,87.11,,
2004-07-01,87.11,88.925,86.785,86.875,,
2004-08-02,87.095,89.405,85.485,86.215,,
2004-09-01,86.215,88.46,86.215,88.31,,
2004-10-01,88.31,89.2,87.365,88.56,,
2004-11-01,88.655,90.76,88.155,90.295,,
2004-12-01,90.295,91.65,89.65,89.885,,
2005-01-03,90.065,90.265,86.155,87.225,,
2005-02-01,87.225,90.605,85.545,89.96,,
2005-03-01,89.96,90.83,88.265,89.555,,
2005-04-01,89.555,91.115,87.585,87.665,,
2005-05-02,87.825,88.225,86.555,86.975,,
2005-06-01,86.975,87.065,84.815,86.56,,
2005-07-01,86.56,87.895,85.525,87.235,,
2005-08-01,87.325,89.155,86.015,88.305,,
2005-09-01,88.305,89.405,86.69,87.725,,
2005-10-03,87.725,90.705,87.455,90.325,,
2005-11-01,90.325,91.495,89.205,91.095,,
2005-12-01,91.095,93.155,88.33,89.635,,
2006-01-02,89.635,91.825,88.565,91.715,,
2006-02-01,91.715,92.245,87.69,88.265,,
2006-03-01,88.265,90.825,88.105,90.315,,
2006-04-03,90.295,92.75,89.885,91.865,,
2006-05-01,91.815,92.925,90.385,92.385,,
2006-06-01,92.385,93.735,92.075,93.575,,
2006-07-03,93.395,94.355,92.495,93.115,,
2006-08-01,93.115,95.69,92.735,95.415,,
2006-09-01,95.415,95.465,93.145,94.495,,-1
2006-10-02,94.495,94.895,93.325,94.035,,-1
2006-11-01,94.035,96.715,93.645,96.685,,-1
2006-12-01,96.685,97.725,95.915,97.665,,-1
2007-01-01,97.665,98.085,95.595,97.015,,-1
2007-02-01,97.015,98.385,96.155,97.205,,-1
2007-03-01,97.205,97.545,94.275,96.935,,-1
2007-04-02,96.84,99.253,96.724,98.965,,-1
2007-05-01,98.965,99.64,98.073,99.344,,
2007-06-01,99.344,100.914,97.72,100.842,,-1
2007-07-02,100.853,101.867,97.55,98.739,,-1
2007-08-01,98.739,100.27,92.177,95.795,,-1
2007-09-03,95.764,98.923,94.905,98.651,,-1
2007-10-01,98.72,99.98,96.453,99.683,,-1
2007-11-01,99.683,100.696,96.797,98.272,,-1
2007-12-03,98.187,100.364,97.462,98.568,,-1
2008-01-01,98.568,99.363,95.128,98.413,,-1
2008-02-01,98.413,100.534,96.328,99.638,,
2008-03-03,99.615,100.776,97.345,100.379,,
2008-04-01,100.379,102.785,99.581,100.397,,
2008-05-01,100.397,101.335,98.275,101.254,,
2008-06-02,100.965,104.692,100.269,104.023,,
2008-07-01,104.023,105.085,102.84,103.056,,
2008-08-01,103.056,103.793,98.513,98.794,,
2008-09-01,98.666,98.838,92.9645,94.569,1,
2008-10-01,94.569,95.263,78.763,84.996,1,
2008-11-03,85.211,86.722,76.246,78.733,1,
2008-12-01,78.728,87.062,74.728,84.764,1,
2009-01-01,84.764,86.07,75.415,77.505,1,
2009-02-02,77.405,84.7735,76.1715,83.4,1,
2009-03-02,83.462,87.762,81.333,86.839,1,
2009-04-01,86.839,89.995,82.687,86.479,1,
2009-05-01,86.479,89.7185,84.042,89.365,,
2009-06-01,89.17,91.5255,86.848,88.693,,
2009-07-01,88.693,89.995,83.956,88.621,,
2009-08-03,88.763,90.727,87.171,87.94,,
2009-09-01,87.94,89.371,85.934,86.583,,
2009-10-01,86.583,91.5585,85.4065,87.778,,
2009-11-02,87.437,89.9375,84.248,85.9495,,
2009-12-01,85.9495,90.091,85.2635,89.834,,
2010-01-01,89.665,91.04,85.018,85.096,,
2010-02-01,84.781,86.212,81.779,82.89,,
