time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,1.6596,1.6596,1.6596,1.6596,,
2004-06-01,1.6596,1.6759,1.6243,1.62585,,
2004-07-01,1.62585,1.6372,1.59555,1.60015,,
2004-08-02,1.601,1.63115,1.5766,1.5991,,
2004-09-01,1.5991,1.5991,1.5585,1.5683,,
2004-10-01,1.5683,1.5747,1.5468,1.55845,,
2004-11-01,1.56035,1.5768,1.53965,1.5768,,
2004-12-01,1.5768,1.66545,1.5768,1.62765,,
2005-01-03,1.62955,1.6353,1.5831,1.6166,,
2005-02-01,1.6166,1.6547,1.59015,1.6321,,
2005-03-01,1.6321,1.6405,1.5625,1.5692,,
2005-04-01,1.5692,1.6282,1.5637,1.61955,,
2005-05-02,1.61945,1.62435,1.54165,1.54385,,
2005-06-01,1.54385,1.54735,1.4773,1.48325,,
2005-07-01,1.48325,1.499,1.4516,1.48305,,
2005-08-01,1.48155,1.5142,1.4519,1.4665,,
2005-09-01,1.4665,1.495,1.39445,1.399,,
2005-10-03,1.3978,1.44065,1.38535,1.41745,,
2005-11-01,1.41745,1.42585,1.3653,1.374,,
2005-12-01,1.374,1.405,1.35465,1.377,,
2006-01-02,1.3765,1.4253,1.3727,1.38465,,
2006-02-01,1.38465,1.3874,1.35015,1.3554,,
2006-03-01,1.3554,1.4226,1.34955,1.4161,,
2006-04-03,1.4152,1.4366,1.3841,1.4111,,
2006-05-01,1.4099,1.4459,1.3916,1.411,,
2006-06-01,1.411,1.4325,1.3798,1.4279,,
2006-07-03,1.426,1.4474,1.4099,1.4442,,
2006-08-01,1.4442,1.45905,1.41025,1.414,,
2006-09-01,1.414,1.435,1.4062,1.4169,,-1
2006-10-02,1.4178,1.4358,1.4122,1.4322,,-1
2006-11-01,1.4322,1.5157,1.431,1.5101,,-1
2006-12-01,1.5101,1.54,1.5076,1.5387,,-1
2007-01-01,1.5387,1.5507,1.5083,1.5339,,-1
2007-02-01,1.5339,1.5501,1.5167,1.5478,,-1
2007-03-01,1.5478,1.5684,1.5308,1.5411,,-1
2007-04-02,1.54025,1.55044,1.5077,1.5144,,-1
2007-05-01,1.5144,1.5164,1.4356,1.4378,,
2007-06-01,1.4378,1.44435,1.40076,1.4425,,-1
2007-07-02,1.4397,1.46463,1.42355,1.45944,,-1
2007-08-01,1.45944,1.46304,1.4199,1.4389,,-1
2007-09-03,1.43945,1.45995,1.40137,1.41563,,-1
2007-10-01,1.41839,1.41954,1.36378,1.366,,-1
2007-11-01,1.366,1.48509,1.32895,1.46137,,-1
2007-12-03,1.4634,1.5034,1.41523,1.45695,,-1
2008-01-01,1.45695,1.52004,1.44501,1.49049,,-1
2008-02-01,1.49049,1.50748,1.44094,1.49941,,
2008-03-03,1.49765,1.63265,1.4931,1.61872,,
2008-04-01,1.61872,1.627155,1.56207,1.57495,,
2008-05-01,1.57495,1.5815,1.528075,1.54529,,
2008-06-02,1.54928,1.615,1.54293,1.60947,,
2008-07-01,1.60947,1.61847,1.58015,1.598795,,
2008-08-01,1.598795,1.62252,1.52625,1.56126,,
2008-09-01,1.56105,1.56507,1.486175,1.50011,1,
2008-10-01,1.50011,1.63757,1.47202,1.54277,1,
2008-11-03,1.5425,1.62258,1.4825,1.57343,1,
2008-12-01,1.57252,1.75154,1.55608,1.70554,1,
2009-01-01,1.70554,1.71642,1.56555,1.57541,1,
2009-02-02,1.56898,1.624425,1.56425,1.61698,1,
2009-03-02,1.61338,1.69768,1.60214,1.66983,1,
2009-04-01,1.66983,1.6835,1.57053,1.5776,1,
2009-05-01,1.5776,1.60083,1.54005,1.5455,,
2009-06-01,1.54223,1.63294,1.53452,1.63116,,
2009-07-01,1.63116,1.632805,1.51863,1.53628,,
2009-08-03,1.53609,1.58509,1.52541,1.56765,,
2009-09-01,1.56765,1.60969,1.5404,1.56608,,
2009-10-01,1.56608,1.59946,1.523215,1.59664,,
2009-11-02,1.59591,1.601005,1.55978,1.58487,,
2009-12-01,1.58487,1.59491,1.49287,1.50825,,
2010-01-01,1.50825,1.508965,1.46723,1.48393,,
2010-02-01,1.4844,1.490095,1.41011,1.43368,,
2010-03-01,1.4369,1.43697,1.35724,1.37152,,
2010-04-01,1.37152,1.37583,1.32388,1.3532,,-1
2010-05-03,1.35908,1.35951,1.26498,1.28534,,-1
2010-06-01,1.28534,1.30507,1.245195,1.30185,,-1
2010-07-01,1.30185,1.369335,1.295275,1.34385,,-1
2010-08-02,1.34385,1.369035,1.3156,1.3511,,-1
2010-09-01,1.3511,1.409985,1.30719,1.40344,,-1
2010-10-01,1.40344,1.43492,1.394825,1.42176,,-1
2010-11-01,1.42307,1.43356,1.32593,1.33249,,-1
2010-12-01,1.33249,1.357915,1.30895,1.33566,,
2011-01-03,1.32782,1.377875,1.27775,1.37073,,
2011-02-01,1.37073,1.37513,1.326395,1.34154,,
2011-03-01,1.34154,1.39855,1.338895,1.37415,,
2011-04-01,1.37415,1.41731,1.359225,1.39929,,
2011-05-02,1.40128,1.434,1.3633,1.39414,,
2011-06-01,1.39414,1.43796,1.382515,1.39711,,
2011-07-01,1.39711,1.399465,1.340875,1.37525,,
2011-08-01,1.37198,1.43132,1.35493,1.40494,,
2011-09-01,1.40494,1.41317,1.339795,1.40604,,
2011-10-03,1.39996,1.41764,1.37839,1.3869,,
2011-11-01,1.3869,1.41306,1.36583,1.36807,,
2011-12-01,1.36807,1.37639,1.315525,1.32461,,
2012-01-02,1.32141,1.3253,1.28778,1.31178,,-1
2012-02-01,1.31178,1.348105,1.29986,1.3191,,-1
2012-03-01,1.3191,1.333455,1.289435,1.33244,,-1
2012-04-02,1.33068,1.333045,1.29313,1.30708,,-1
2012-05-01,1.30708,1.31379,1.273015,1.27712,,-1
2012-06-01,1.27712,1.303465,1.274635,1.28743,,-1
2012-07-02,1.28857,1.28925,1.227045,1.234195,,-1
2012-08-01,1.234195,1.24996,1.21299,1.24034,,-1
2012-09-03,1.24184,1.280115,1.23535,1.26475,,
2012-10-01,1.26425,1.30231,1.25763,1.29526,,
2012-11-01,1.29526,1.297685,1.26484,1.29129,,
2012-12-03,1.29129,1.318655,1.271575,1.313015,,
