time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-01,0.62375,0.6411,0.62125,0.6411,,
2002-06-03,0.6408,0.64915,0.63835,0.6468,,
2002-07-01,0.6464,0.64655,0.62475,0.6249,,
2002-08-01,0.6249,0.6407,0.6249,0.6334,,
2002-09-02,0.6335,0.6371,0.6258,0.6294,,
2002-10-01,0.6294,0.6337,0.6254,0.6326,,
2002-11-01,0.6326,0.6411,0.631,0.6389,,
2002-12-02,0.6388,0.6507,0.63465,0.6502,,
2003-01-01,0.6502,0.66425,0.6471,0.6536,,
2003-02-03,0.6547,0.6862,0.6547,0.6862,,
2003-03-03,0.6853,0.69015,0.6735,0.69005,,
2003-04-01,0.69005,0.69935,0.68425,0.69935,,
2003-05-01,0.69935,0.72495,0.69745,0.7201,,
2003-06-02,0.7198,0.72055,0.68785,0.69515,,
2003-07-01,0.69515,0.71465,0.68615,0.69735,,
2003-08-01,0.69735,0.70615,0.68975,0.6962,,
2003-09-01,0.6963,0.70575,0.68965,0.70145,,
2003-10-01,0.70145,0.71045,0.6836,0.6836,,
2003-11-03,0.6834,0.7019,0.68325,0.6966,,
2003-12-01,0.6962,0.7063,0.6962,0.7063,,
2004-01-01,0.7063,0.7063,0.6834,0.6837,,
2004-02-02,0.6841,0.6878,0.6677,0.669,,
2004-03-01,0.6684,0.6809,0.66425,0.6674,,
2004-04-01,0.6674,0.6744,0.6566,0.6738,,
2004-05-03,0.6736,0.6796,0.665,0.6653,,
2004-06-01,0.6653,0.6701,0.6569,0.6701,1,
2004-07-01,0.6701,0.6728,0.6596,0.6606,1,
2004-08-02,0.6616,0.6769,0.6581,0.67589,1,
2004-09-01,0.67589,0.6867,0.67589,0.6863,1,
2004-10-01,0.6863,0.69641,0.6863,0.69641,1,
2004-11-01,0.6966,0.7017,0.69176,0.69563,1,
2004-12-01,0.69563,0.7094,0.6847,0.70725,1,
2005-01-03,0.7059,0.70947,0.68945,0.6925,1,
2005-02-01,0.6925,0.69637,0.68485,0.6887,,
2005-03-01,0.6887,0.69972,0.68518,0.68568,,-1
2005-04-01,0.68568,0.68879,0.6741,0.6744,,-1
2005-05-02,0.67435,0.6905,0.6738,0.67698,,-1
2005-06-01,0.67698,0.67769,0.66087,0.675775,,-1
2005-07-01,0.675775,0.69917,0.674475,0.6896,,-1
2005-08-01,0.6902,0.6972,0.676595,0.684355,,-1
2005-09-01,0.684355,0.684955,0.67005,0.6817,,-1
2005-10-03,0.68205,0.690005,0.675075,0.677405,,-1
2005-11-01,0.677405,0.68815,0.6706,0.6815,,
2005-12-01,0.6815,0.6907,0.672175,0.6876,,
2006-01-02,0.6881,0.691055,0.680985,0.6831,,
2006-02-01,0.6831,0.688695,0.678605,0.67975,,
2006-03-01,0.67975,0.698325,0.679435,0.6976,,
2006-04-03,0.69748,0.702185,0.689105,0.692,,
2006-05-01,0.69225,0.69275,0.67537,0.68517,,
2006-06-01,0.68517,0.694725,0.681135,0.69206,,
2006-07-03,0.69218,0.696235,0.681035,0.68346,,
2006-08-01,0.68346,0.68407,0.67187,0.67274,,
2006-09-01,0.67274,0.681895,0.668505,0.67689,,-1
2006-10-02,0.6761,0.678295,0.666965,0.66895,,-1
2006-11-01,0.66895,0.679525,0.667675,0.6736,,-1
2006-12-01,0.6736,0.678995,0.66829,0.67382,,-1
2007-01-01,0.67382,0.676195,0.65366,0.66317,,-1
