time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,1.9279,1.9279,1.9279,1.9279,,
2004-06-01,1.9279,1.98005,1.9009,1.9172,,
2004-07-01,1.9172,1.9217,1.8767,1.88715,,
2004-08-02,1.8895,1.8895,1.83175,1.85885,,
2004-09-01,1.85885,1.8768,1.83475,1.83475,,
2004-10-01,1.83475,1.86505,1.81075,1.86505,,
2004-11-01,1.86565,1.88615,1.8353,1.8593,,
2004-12-01,1.8593,1.905,1.8537,1.8894,,
2005-01-03,1.8854,1.9033,1.8147,1.8347,,
2005-02-01,1.8347,1.8391,1.7946,1.8204,,
2005-03-01,1.8204,1.83165,1.7803,1.821,,
2005-04-01,1.821,1.83385,1.75615,1.7594,,
2005-05-02,1.7612,1.7919,1.7418,1.7455,,
2005-06-01,1.7455,1.759,1.6878,1.7368,,
2005-07-01,1.7368,1.805,1.7329,1.78105,,
2005-08-01,1.78415,1.79605,1.7435,1.7741,,
2005-09-01,1.7741,1.78345,1.7236,1.73955,,
2005-10-03,1.73625,1.7518,1.6991,1.7118,,
2005-11-01,1.7118,1.7868,1.6706,1.6776,,
2005-12-01,1.6776,1.7685,1.6341,1.73445,,
2006-01-02,1.73385,1.8163,1.72755,1.76565,,
2006-02-01,1.76565,1.8135,1.74425,1.8009,,
2006-03-01,1.8009,2.00375,1.788,1.9698,,
2006-04-03,1.9673,2.02255,1.9333,1.97905,,
2006-05-01,1.97995,2.08365,1.9591,2.0191,,
2006-06-01,2.0191,2.11795,1.9899,2.1,,
2006-07-03,2.0991,2.11845,1.9924,2.06365,,
2006-08-01,2.06365,2.08015,1.9491,1.953,,
2006-09-01,1.953,1.9991,1.8918,1.94145,,-1
2006-10-02,1.94285,1.9527,1.8815,1.904,,-1
2006-11-01,1.904,1.9644,1.89085,1.93505,,-1
2006-12-01,1.93505,1.94935,1.8607,1.8736,,-1
2007-01-01,1.8736,1.90175,1.8453,1.88555,,-1
2007-02-01,1.88555,1.9226,1.8504,1.8868,,-1
2007-03-01,1.8868,1.9495,1.8507,1.86999,,-1
2007-04-02,1.86839,1.8752,1.81351,1.8432,,-1
2007-05-01,1.8432,1.85782,1.82418,1.82587,,
2007-06-01,1.82587,1.82767,1.7401,1.75241,,-1
2007-07-02,1.75388,1.81009,1.7035,1.79498,,-1
2007-08-01,1.79498,2.01602,1.77586,1.94241,,-1
2007-09-03,1.94848,2.01856,1.86826,1.88269,,-1
2007-10-01,1.87799,1.94218,1.82124,1.87325,,-1
2007-11-01,1.87325,1.98748,1.85589,1.9145,,-1
2007-12-03,1.92005,1.94693,1.85126,1.90499,,-1
