time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,2.49475,2.49475,2.49475,2.49475,,
2004-06-01,2.49475,2.517,2.4261,2.4261,,
2004-07-01,2.4261,2.45635,2.4066,2.42245,,
2004-08-02,2.42145,2.43455,2.342,2.366,,
2004-09-01,2.366,2.366,2.2823,2.285,,
2004-10-01,2.285,2.285,2.23715,2.23715,,
2004-11-01,2.23945,2.2666,2.2031,2.2666,,
2004-12-01,2.2666,2.3911,2.2666,2.30165,,
2005-01-03,2.30165,2.3455,2.2573,2.3346,,
2005-02-01,2.3346,2.3842,2.3069,2.3703,,
2005-03-01,2.3703,2.3889,2.2655,2.2883,,
2005-04-01,2.2883,2.4073,2.2809,2.40165,,
2005-05-02,2.40165,2.4077,2.2769,2.2803,,
2005-06-01,2.2803,2.2953,2.1937,2.1949,,
2005-07-01,2.1949,2.2016,2.1064,2.15045,,
2005-08-01,2.14665,2.19685,2.12115,2.1429,,
2005-09-01,2.1429,2.20135,2.04615,2.05225,,
2005-10-03,2.04935,2.10835,2.03935,2.09195,,
2005-11-01,2.09195,2.10085,1.99405,2.01595,,
2005-12-01,2.01595,2.07005,1.9947,2.00255,,
2006-01-02,2.00255,2.07485,1.99695,2.0269,,
2006-02-01,2.0269,2.0402,1.9819,1.99355,,
2006-03-01,1.99355,2.05045,1.97555,2.03035,,
2006-04-03,2.03035,2.05665,1.9916,2.03925,,
2006-05-01,2.03715,2.1235,2.0264,2.0595,,
2006-06-01,2.0595,2.08205,2.01625,2.06335,,
2006-07-03,2.06335,2.12285,2.03345,2.1129,,
2006-08-01,2.1129,2.1582,2.0868,2.1019,,
2006-09-01,2.1019,2.1342,2.06965,2.09305,,-1
2006-10-02,2.09695,2.14545,2.0887,2.1405,,-1
2006-11-01,2.1405,2.24875,2.1382,2.2419,,-1
2006-12-01,2.2419,2.28665,2.2375,2.28355,,-1
2007-01-01,2.28355,2.35675,2.26085,2.313,,-1
2007-02-01,2.313,2.33835,2.26025,2.2975,,-1
2007-03-01,2.2975,2.30665,2.25105,2.27105,,-1
2007-04-02,2.27105,2.29151,2.20957,2.21877,,-1
2007-05-01,2.21877,2.22492,2.1098,2.11599,,
2007-06-01,2.11599,2.14542,2.08375,2.13956,,-1
2007-07-02,2.13582,2.17061,2.10209,2.16643,,-1
2007-08-01,2.16643,2.16827,2.09333,2.12945,,-1
2007-09-03,2.12945,2.14952,1.99817,2.03163,,-1
2007-10-01,2.03311,2.04308,1.95734,1.96127,,-1
2007-11-01,1.96127,2.0686,1.90191,2.0539,,-1
2007-12-03,2.0539,2.09164,1.94383,1.98176,,-1
2008-01-01,1.98176,2.03549,1.93994,1.99302,,-1
2008-02-01,1.99302,2.00055,1.93072,1.96511,,
2008-03-03,1.96511,2.06097,1.94906,2.03386,,
2008-04-01,2.03386,2.03938,1.97132,2.00274,,
2008-05-01,2.00274,2.02868,1.92897,1.96923,,
2008-06-02,1.96316,2.03563,1.95054,2.03545,,
2008-07-01,2.03545,2.0443,1.99198,2.03319,,
2008-08-01,2.03319,2.05535,1.91471,1.93772,,
2008-09-01,1.92792,1.95512,1.86611,1.89543,1,
2008-10-01,1.89543,2.07383,1.87225,1.94936,1,
2008-11-03,1.94612,1.95816,1.79063,1.90549,1,
2008-12-01,1.90078,1.91041,1.74873,1.78294,1,
2009-01-01,1.78294,1.86003,1.6724,1.78786,1,
