time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-01,187.78,187.78,180.795,180.93,,
2002-06-03,180.93,185.415,180.865,183.17,,
2002-07-01,183.34,189.185,181.5,187.545,,
2002-08-01,187.545,187.545,180.24,183.49,,
2002-09-02,183.66,192.31,182.87,190.91,,
2002-10-01,190.91,194.735,190.91,191.72,,
2002-11-01,191.72,194.12,188.74,190.75,,
2002-12-02,190.88,196.21,190.88,192.305,,
2003-01-01,192.305,197.44,189.54,197.44,,
2003-02-03,197.2,197.63,184.63,185.88,,
2003-03-03,185.96,189.97,185.64,186.78,,
2003-04-01,186.78,191.48,186.21,190.19,,
2003-05-01,190.19,195.22,185.94,195.22,,
2003-06-02,194.69,198.95,193.74,198.195,,
2003-07-01,198.195,198.545,187.37,194.16,,
2003-08-01,194.16,194.16,184.06,184.49,,
2003-09-01,184.36,188.28,182.07,185.3,,
2003-10-01,185.3,186.26,180.56,186.26,,
2003-11-03,186.28,188.71,181.08,188.71,,
2003-12-01,188.78,190.83,186.02,190.4,,
2004-01-01,190.4,197.03,190.4,193,,
2004-02-02,192.88,204.55,192.14,203.46,,
2004-03-01,203.8,207.01,191.89,192.48,,
2004-04-01,192.48,196.48,191.025,196.48,,
2004-05-03,196.42,203.725,194.895,200.65,,
2004-06-01,200.65,204.58,195.535,197.995,1,
2004-07-01,197.995,203.755,197.225,202.61,1,
2004-08-02,202.43,204.06,196.29,196.755,1,
2004-09-01,196.755,201.925,193.885,199.375,1,
2004-10-01,199.375,199.375,194.38,194.38,1,
2004-11-01,194.52,197.925,191.49,196.665,1,
2004-12-01,196.665,203.545,196.47,196.47,1,
2005-01-03,197.15,197.3,189.555,195.225,1,
2005-02-01,195.225,202.012,194.539,200.9775,,
2005-03-01,200.9775,202.768,197.5275,202.553,,-1
2005-04-01,202.553,205.355,199.76,199.905,,-1
2005-05-02,200.305,200.835,195.5885,197.288,,-1
2005-06-01,197.288,200.415,194.16,198.7455,,-1
2005-07-01,198.7455,198.9755,192.66,197.745,,-1
2005-08-01,197.73,200.2955,196.79,199.585,,-1
2005-09-01,199.585,203.495,198.695,200.235,,-1
2005-10-03,199.935,206.635,199.205,206.0105,,-1
2005-11-01,206.0105,208.155,203.485,207.1855,,
2005-12-01,207.1855,213.06,201.155,202.885,,
2006-01-02,202.995,209.0655,200.555,208.5555,,
2006-02-01,208.5555,211.175,201.675,202.9855,,
2006-03-01,202.9855,206.2005,202.515,204.59,,
2006-04-03,204.58,210.829,203.845,207.665,,
2006-05-01,207.41,211.492,205.429,210.6375,,
2006-06-01,210.6375,213.736,209.5915,211.514,,
2006-07-03,211.27,216.585,209.567,214.189,,
2006-08-01,214.189,223.846,213.601,223.613,,
2006-09-01,223.613,223.641,217.365,221.262,,-1
2006-10-02,221.662,224.4,220.481,223.123,,-1
2006-11-01,223.123,227.8405,222.358,227.651,,-1
2006-12-01,227.651,233.9245,225.685,233.21,,-1
2007-01-01,233.21,241.51,228.085,237.202,,-1
2007-02-01,237.202,238.893,230.7005,232.852,,-1
2007-03-01,232.852,233.549,221.123,231.874,,-1
2007-04-02,231.417,239.46,231.265,238.994,,-1
2007-05-01,238.994,241.8805,236.462,240.996,,
2007-06-01,240.996,247.9535,237.684,247.411,,-1
2007-07-02,247.34,251.115,238.295,240.943,,-1
2007-08-01,240.943,244.0905,219.328,233.53,,-1
2007-09-03,233.47,235.301,228.223,235.039,,-1
2007-10-01,234.775,240.697,230.315,240.079,,-1
2007-11-01,240.079,241.3935,221.3155,228.755,,-1
2007-12-03,228.137,230.3735,220.962,221.713,,-1
2008-01-01,221.713,222.768,204.6285,211.498,,-1
2008-02-01,211.498,213.8905,205.906,206.345,,
2008-03-03,206.075,207.998,192.527,197.75,,
2008-04-01,197.75,209.0175,197.015,206.395,,
2008-05-01,206.395,209.407,199.8135,209.154,,
2008-06-02,207.46,213.9305,203.9875,211.614,,
