time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,2.89815,2.89815,2.89815,2.89815,,
2004-06-01,2.89815,2.98045,2.85525,2.86095,,
2004-07-01,2.86095,2.90315,2.8179,2.85695,,
2004-08-02,2.85775,2.85775,2.70635,2.7502,,
2004-09-01,2.7502,2.76055,2.6732,2.6732,,
2004-10-01,2.6732,2.68595,2.61855,2.68595,,
2004-11-01,2.67765,2.70175,2.6169,2.67265,,
2004-12-01,2.67265,2.7247,2.6719,2.6719,,
2005-01-03,2.6703,2.70775,2.61455,2.64955,,
2005-02-01,2.64955,2.66545,2.60515,2.64355,,
2005-03-01,2.64355,2.65865,2.5643,2.65565,,
2005-04-01,2.65565,2.67185,2.59775,2.6091,,
2005-05-02,2.6118,2.61905,2.5474,2.57815,,
2005-06-01,2.57815,2.60415,2.53695,2.57,,
2005-07-01,2.57,2.62565,2.52725,2.58275,,
2005-08-01,2.58495,2.6068,2.5526,2.5923,,
2005-09-01,2.5923,2.61485,2.53865,2.55175,,
2005-10-03,2.54545,2.55725,2.49985,2.52635,,
2005-11-01,2.52635,2.6409,2.43755,2.46115,,
2005-12-01,2.46115,2.5961,2.4136,2.52245,,
2006-01-02,2.52015,2.6374,2.51755,2.5846,,
2006-02-01,2.5846,2.6563,2.5531,2.6488,,
2006-03-01,2.6488,2.90815,2.6154,2.8241,,
2006-04-03,2.8206,2.90145,2.79635,2.85995,,
2006-05-01,2.86075,3.06035,2.85295,2.9472,,
2006-06-01,2.9472,3.06805,2.9011,3.0344,,
2006-07-03,3.0331,3.04715,2.9046,3.01915,,
2006-08-01,3.01915,3.06915,2.8971,2.9032,,
2006-09-01,2.9032,2.9552,2.819,2.86815,,-1
2006-10-02,2.87375,2.8873,2.8047,2.8458,,-1
2006-11-01,2.8458,2.9001,2.827,2.8727,,-1
2006-12-01,2.8727,2.8972,2.77005,2.7806,,-1
2007-01-01,2.7806,2.86625,2.753,2.8433,,-1
2007-02-01,2.8433,2.9071,2.7569,2.80095,,-1
2007-03-01,2.80095,2.8551,2.7254,2.75567,,-1
2007-04-02,2.75096,2.76085,2.67637,2.70039,,-1
2007-05-01,2.70039,2.74372,2.67608,2.68679,,
2007-06-01,2.68679,2.69063,2.57555,2.59942,,-1
2007-07-02,2.60197,2.68048,2.54424,2.66446,,-1
2007-08-01,2.66446,2.96252,2.64027,2.87453,,-1
2007-09-03,2.88373,2.97173,2.66818,2.70162,,-1
2007-10-01,2.69158,2.77737,2.61342,2.6893,,-1
2007-11-01,2.6893,2.77868,2.65602,2.69021,,-1
2007-12-03,2.69489,2.71497,2.56331,2.59134,,-1
2008-01-01,2.59134,2.62246,2.46694,2.5227,,-1
2008-02-01,2.5227,2.53267,2.41235,2.49068,,
2008-03-03,2.48596,2.55739,2.44833,2.52427,,
2008-04-01,2.52427,2.55848,2.45854,2.54031,,
2008-05-01,2.54031,2.58281,2.48589,2.53159,,
2008-06-02,2.52011,2.63754,2.49228,2.61416,,
2008-07-01,2.61416,2.71143,2.58669,2.70181,,
2008-08-01,2.70181,2.77618,2.58954,2.59946,,
2008-09-01,2.59209,2.76662,2.5745,2.65846,1,
2008-10-01,2.65846,3.01545,2.61977,2.75954,1,
2008-11-03,2.74838,2.8613,2.57141,2.79955,1,
2008-12-01,2.81266,2.85746,2.45568,2.52578,1,
2009-01-01,2.52578,2.86038,2.44772,2.8573,1,
2009-02-02,2.84612,2.87179,2.71049,2.85787,1,
2009-03-02,2.85986,2.89238,2.4925,2.56028,1,
2009-04-01,2.56028,2.64894,2.49161,2.61638,1,
2009-05-01,2.61638,2.62817,2.48508,2.52941,,
2009-06-01,2.52521,2.61606,2.50883,2.54879,,
2009-07-01,2.54879,2.61014,2.48593,2.52568,,
2009-08-03,2.53234,2.54857,2.36206,2.37687,,
2009-09-01,2.37687,2.42339,2.19579,2.21019,,
2009-10-01,2.21019,2.29704,2.12979,2.29328,,
2009-11-02,2.29026,2.33115,2.23266,2.29631,,
2009-12-01,2.29631,2.30949,2.20648,2.23777,,
2010-01-01,2.23777,2.29871,2.16092,2.28057,,
2010-02-01,2.27679,2.29924,2.170155,2.18259,,
2010-03-01,2.16848,2.1959,2.091905,2.13679,,
2010-04-01,2.13679,2.179775,2.0856,2.100955,,-1
2010-05-03,2.10641,2.18217,2.03375,2.13646,,-1
2010-06-01,2.13646,2.203015,2.07441,2.182645,,-1
2010-07-01,2.182645,2.215785,2.098575,2.160825,,-1
2010-08-02,2.163525,2.22575,2.15157,2.195475,,-1
2010-09-01,2.195475,2.19878,2.098295,2.140305,,-1
2010-10-01,2.140305,2.14784,2.073965,2.092615,,-1
2010-11-01,2.09497,2.102945,2.02999,2.09584,,-1
2010-12-01,2.09584,2.123745,1.993145,2.000835,,
2011-01-03,2.005385,2.115585,1.986295,2.071705,,
2011-02-01,2.071705,2.181065,2.062055,2.16061,,
2011-03-01,2.16061,2.25321,2.098575,2.105155,,
2011-04-01,2.105155,2.124575,2.03721,2.06266,,
2011-05-02,2.06497,2.100785,1.992145,1.99642,,
2011-06-01,1.99642,2.02151,1.9272,1.936065,,
2011-07-01,1.936065,1.952045,1.86557,1.86793,,
2011-08-01,1.864815,2.042805,1.854685,1.90248,,
2011-09-01,1.90248,2.04783,1.895755,2.04678,,
2011-10-03,2.04267,2.059225,1.95165,1.994185,,
2011-11-01,1.994185,2.104735,1.98306,2.01197,,
2011-12-01,2.01197,2.07123,1.98707,1.99904,,
2012-01-02,1.99562,2.00077,1.90015,1.90618,,-1
2012-02-01,1.90618,1.914675,1.86365,1.907955,,-1
2012-03-01,1.907955,1.967375,1.898615,1.95682,,-1
2012-04-02,1.94548,1.99506,1.91695,1.98343,,-1
2012-05-01,1.98343,2.10555,1.9822,2.044415,,-1
2012-06-01,2.044415,2.05355,1.9505,1.95956,,-1
2012-07-02,1.96061,1.984005,1.928395,1.93881,,-1
2012-08-01,1.93881,1.983935,1.89628,1.97442,,-1
2012-09-03,1.98416,2.00702,1.93682,1.946965,,
2012-10-01,1.94783,1.98482,1.937,1.96094,,
2012-11-01,1.96094,1.96666,1.92708,1.951625,,
2012-12-03,1.951625,1.978505,1.90668,1.965555,,
2013-01-01,1.965555,1.965555,1.874445,1.890345,,
2013-02-01,1.890345,1.89766,1.795805,1.838295,,
2013-03-01,1.838295,1.84574,1.79911,1.8156,,
2013-04-01,1.8156,1.82791,1.770665,1.81402,,
2013-05-01,1.81402,1.914505,1.81,1.91448,,
2013-06-03,1.91448,2.005725,1.88993,1.96566,1,
