time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-01,1.5849,1.6145,1.56225,1.568,,
2002-06-03,1.5697,1.5697,1.4807,1.4807,,
2002-07-01,1.4814,1.5077,1.43935,1.4855,,
2002-08-01,1.4855,1.51945,1.4695,1.4973,,
2002-09-02,1.4979,1.5155,1.47085,1.4747,,
2002-10-01,1.4747,1.5119,1.4747,1.478,,
2002-11-01,1.478,1.4893,1.4432,1.483,,
2002-12-02,1.4833,1.4833,1.3904,1.3925,,
2003-01-01,1.3925,1.40235,1.3524,1.3642,,
2003-02-03,1.3612,1.3762,1.3469,1.3527,,
2003-03-03,1.3551,1.4029,1.325,1.3504,,
2003-04-01,1.3504,1.3941,1.3504,1.35555,,
2003-05-01,1.35555,1.35555,1.28355,1.2979,,
2003-06-02,1.30515,1.35135,1.29725,1.3513,,
2003-07-01,1.3513,1.3856,1.34315,1.37095,,
2003-08-01,1.37095,1.4205,1.3466,1.4002,,
2003-09-01,1.4,1.41885,1.3192,1.3192,,
2003-10-01,1.3192,1.3407,1.3119,1.3407,,
2003-11-03,1.3394,1.3777,1.2912,1.2912,,
2003-12-01,1.2926,1.2976,1.24045,1.24045,,
2004-01-01,1.24045,1.27015,1.2202,1.2573,,
2004-02-02,1.2566,1.26775,1.22715,1.2621,,
2004-03-01,1.2624,1.29535,1.2569,1.26525,,
2004-04-01,1.26525,1.3176,1.26345,1.2954,,
2004-05-03,1.2951,1.3027,1.24555,1.25405,,
2004-06-01,1.25405,1.26645,1.23705,1.24855,1,
2004-07-01,1.24855,1.2818,1.2229,1.2818,1,
2004-08-02,1.2759,1.2824,1.2384,1.26625,1,
2004-09-01,1.26625,1.27145,1.24615,1.24615,1,
2004-10-01,1.24615,1.26455,1.19655,1.2002,1,
2004-11-01,1.1933,1.20415,1.1389,1.13965,1,
2004-12-01,1.13965,1.1617,1.1306,1.1396,1,
2005-01-03,1.1405,1.19725,1.13695,1.18885,1,
2005-02-01,1.18885,1.22625,1.15725,1.16285,,
2005-03-01,1.16285,1.2085,1.1484,1.19645,,-1
2005-04-01,1.19645,1.21975,1.17445,1.1952,,-1
2005-05-02,1.1963,1.24955,1.1881,1.24825,,-1
2005-06-01,1.24825,1.28775,1.24125,1.28135,,-1
2005-07-01,1.28135,1.30815,1.27015,1.2895,,-1
2005-08-01,1.2891,1.2898,1.24345,1.25295,,-1
2005-09-01,1.25295,1.29975,1.22405,1.2939,,-1
2005-10-03,1.2928,1.30745,1.26745,1.28845,,-1
2005-11-01,1.28845,1.32875,1.27595,1.31515,,
2005-12-01,1.31515,1.3231,1.27775,1.3138,,
2006-01-02,1.3138,1.3159,1.25585,1.27815,,
2006-02-01,1.27815,1.32395,1.27735,1.31175,,
2006-03-01,1.31175,1.32295,1.28735,1.3043,,
2006-04-03,1.3044,1.31385,1.2376,1.2388,,
2006-05-01,1.2388,1.24495,1.1924,1.21905,,
2006-06-01,1.21905,1.25315,1.20175,1.223,,
2006-07-03,1.2247,1.25955,1.21855,1.23125,,
2006-08-01,1.23125,1.24445,1.21865,1.23055,,
2006-09-01,1.23055,1.26215,1.22785,1.2505,,-1
2006-10-02,1.2505,1.27715,1.24065,1.24415,,-1
2006-11-01,1.24415,1.25795,1.19595,1.19785,,-1
2006-12-01,1.19785,1.22735,1.18815,1.2193,,-1
2007-01-01,1.2193,1.2576,1.21115,1.24395,,-1
2007-02-01,1.24395,1.25515,1.21455,1.21965,,-1
2007-03-01,1.21965,1.23575,1.20305,1.21552,,-1
2007-04-02,1.21365,1.22863,1.1997,1.20742,,-1
2007-05-01,1.20742,1.233265,1.20515,1.22537,,
2007-06-01,1.22537,1.247015,1.214765,1.22149,,-1
2007-07-02,1.22095,1.223325,1.19617,1.20121,,-1
2007-08-01,1.20121,1.22146,1.18179,1.20842,,-1
2007-09-03,1.20832,1.215165,1.162665,1.16384,,-1
2007-10-01,1.16265,1.189435,1.155815,1.15822,,-1
2007-11-01,1.15822,1.164025,1.08864,1.13205,,-1
2007-12-03,1.1308,1.15953,1.11538,1.13351,,-1
2008-01-01,1.13351,1.1351,1.075895,1.08144,,-1
2008-02-01,1.08144,1.110655,1.04021,1.04103,,
2008-03-03,1.03974,1.045675,0.9637,0.99309,,
2008-04-01,0.99309,1.044405,0.988865,1.03451,,
2008-05-01,1.03451,1.06257,1.021555,1.04232,,
2008-06-02,1.04138,1.054115,1.013125,1.02096,,
2008-07-01,1.02096,1.052195,1.001165,1.047065,,
2008-08-01,1.047065,1.108635,1.043465,1.10142,,
2008-09-01,1.09881,1.14194,1.068925,1.12214,1,
2008-10-01,1.12214,1.17505,1.11281,1.15858,1,
2008-11-03,1.15768,1.22973,1.14749,1.2133,1,
2008-12-01,1.21293,1.22512,1.03703,1.06924,1,
2009-01-01,1.06924,1.171595,1.06114,1.16024,1,
2009-02-02,1.16286,1.188545,1.14008,1.17012,1,
2009-03-02,1.17107,1.196915,1.11595,1.13939,1,
2009-04-01,1.13939,1.17425,1.124155,1.14055,1,
2009-05-01,1.14055,1.14255,1.065645,1.06694,,
2009-06-01,1.06688,1.102265,1.059225,1.08636,,
2009-07-01,1.08636,1.0956,1.06232,1.06839,,
2009-08-03,1.06772,1.08836,1.053105,1.05896,,
2009-09-01,1.05896,1.07059,1.01867,1.036185,,
2009-10-01,1.036185,1.04526,1.00333,1.02637,,
2009-11-02,1.02573,1.03379,0.991245,1.00533,,
2009-12-01,1.00533,1.050835,0.99615,1.03519,,
2010-01-01,1.03699,1.06432,1.013135,1.06079,,
2010-02-01,1.060465,1.089835,1.04981,1.07338,,
2010-03-01,1.0739,1.08896,1.048905,1.05398,,
2010-04-01,1.05398,1.092455,1.043495,1.0776,,-1
2010-05-03,1.07361,1.169605,1.07317,1.15481,,-1
2010-06-01,1.15481,1.17315,1.07523,1.07738,,-1
2010-07-01,1.07738,1.07898,1.036195,1.04121,,-1
2010-08-02,1.04034,1.06273,1.0136,1.01508,,-1
2010-09-01,1.01508,1.0278,0.970865,0.98257,,-1
2010-10-01,0.98257,0.992945,0.94634,0.98235,,-1
2010-11-01,0.98243,1.00548,0.95482,1.00352,,-1
2010-12-01,1.00352,1.006605,0.93006,0.93452,,
2011-01-03,0.93475,0.978435,0.93212,0.94401,,
2011-02-01,0.94401,0.977525,0.92342,0.92883,,
2011-03-01,0.92883,0.93693,0.89193,0.91903,,
2011-04-01,0.91903,0.93404,0.862665,0.8653,,
2011-05-02,0.86524,0.894615,0.84648,0.853955,,
2011-06-01,0.853955,0.855115,0.82758,0.84049,,
2011-07-01,0.84049,0.852665,0.78513,0.78581,,
2011-08-01,0.79224,0.82416,0.70696,0.80595,,
2011-09-01,0.80595,0.91827,0.77121,0.9081,,
2011-10-03,0.91079,0.93155,0.856825,0.87691,,
2011-11-01,0.87691,0.933025,0.876095,0.91321,,
2011-12-01,0.91321,0.95477,0.907145,0.93802,,
2012-01-02,0.9389,0.95952,0.91152,0.92015,,-1
2012-02-01,0.92015,0.93005,0.893095,0.90449,,-1
2012-03-01,0.90449,0.93351,0.90094,0.9024,,-1
2012-04-02,0.90114,0.925175,0.900245,0.90747,,-1
2012-05-01,0.90747,0.973625,0.904335,0.97098,,-1
2012-06-01,0.97098,0.97718,0.94227,0.94847,,-1
2012-07-02,0.94762,0.99723,0.94755,0.97647,,-1
2012-08-01,0.97647,0.98987,0.950265,0.95498,,-1
2012-09-03,0.95527,0.960795,0.923875,0.93981,,
2012-10-01,0.94072,0.94383,0.92149,0.93151,,
2012-11-01,0.93151,0.95128,0.92458,0.92819,,
2012-12-03,0.92819,0.938325,0.908395,0.91471,,
2013-01-01,0.91471,0.938925,0.907585,0.90996,,
2013-02-01,0.90996,0.937385,0.90223,0.936755,,
2013-03-01,0.936755,0.956705,0.93518,0.949425,,
2013-04-01,0.949425,0.95271,0.920655,0.92943,,
2013-05-01,0.92943,0.983895,0.92473,0.95507,,
2013-06-03,0.95507,0.96248,0.913075,0.94486,1,
2013-07-01,0.94486,0.97514,0.922845,0.92621,1,
2013-08-01,0.92621,0.93967,0.91473,0.9299,1,
2013-09-02,0.9299,0.94555,0.902125,0.90488,1,
2013-10-01,0.90488,0.91782,0.889025,0.906935,1,
2013-11-01,0.906935,0.925,0.90288,0.90613,1,
2013-12-02,0.90613,0.91106,0.87995,0.88876,1,
2014-01-01,0.88876,0.91563,0.88876,0.90625,1,
