time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,1.15345,1.15345,1.13795,1.13795,NaN,NaN
2004-05-10,1.13795,1.1506,1.13795,1.14425,NaN,NaN
2004-05-17,1.14425,1.14745,1.14425,1.14745,NaN,NaN
2004-05-24,1.14745,1.14745,1.12995,1.12995,NaN,NaN
2004-05-31,1.12995,1.13145,1.1148,1.11805,NaN,NaN
2004-06-07,1.11805,1.11805,1.1003,1.10045,NaN,NaN
2004-06-14,1.10045,1.10115,1.0932,1.09885,NaN,NaN
2004-06-21,1.09885,1.1023,1.095,1.10195,NaN,NaN
2004-06-28,1.10195,1.10205,1.0912,1.10205,NaN,NaN
2004-07-05,1.10205,1.10205,1.09765,1.09915,NaN,NaN
2004-07-12,1.09915,1.11095,1.09915,1.11095,NaN,NaN
2004-07-19,1.11095,1.1168,1.11095,1.11645,NaN,NaN
2004-07-26,1.11645,1.11645,1.10355,1.10355,NaN,NaN
2004-08-02,1.10355,1.10355,1.0905,1.09395,NaN,NaN
2004-08-09,1.09395,1.0959,1.07605,1.07605,NaN,NaN
2004-08-16,1.07605,1.0801,1.07605,1.07665,NaN,NaN
2004-08-23,1.07665,1.0881,1.07625,1.07625,NaN,NaN
2004-08-30,1.07625,1.07625,1.07025,1.07025,NaN,NaN
2004-09-06,1.07025,1.0727,1.0548,1.06225,NaN,NaN
2004-09-13,1.06225,1.06225,1.05695,1.05695,NaN,NaN
2004-09-20,1.05695,1.07115,1.05695,1.06845,NaN,NaN
2004-09-27,1.06845,1.07635,1.06845,1.07635,NaN,NaN
2004-10-04,1.07635,1.07765,1.0718,1.07235,NaN,NaN
2004-10-11,1.07235,1.0764,1.06415,1.06415,NaN,NaN
2004-10-18,1.06415,1.06415,1.0591,1.0637,NaN,NaN
2004-10-25,1.0637,1.09435,1.0637,1.09435,NaN,NaN
2004-11-01,1.09435,1.09795,1.08945,1.09795,NaN,NaN
2004-11-08,1.09795,1.1117,1.0953,1.10975,NaN,NaN
2004-11-15,1.10975,1.10975,1.10175,1.10565,NaN,NaN
2004-11-22,1.10565,1.10895,1.1029,1.10295,NaN,NaN
2004-11-29,1.10295,1.10295,1.08,1.08415,NaN,NaN
2004-12-06,1.08415,1.08415,1.0597,1.06635,NaN,NaN
2004-12-13,1.06635,1.07005,1.0631,1.07005,NaN,-1
2004-12-20,1.07005,1.07695,1.06545,1.07155,NaN,-1
2004-12-27,1.07155,1.09015,1.07155,1.09015,NaN,-1
2005-01-03,1.09015,1.0955,1.08365,1.08995,NaN,-1
2005-01-10,1.08995,1.0955,1.0833,1.08585,NaN,-1
2005-01-17,1.08585,1.08985,1.0717,1.07695,NaN,-1
2005-01-24,1.07695,1.0892,1.0754,1.08735,NaN,-1
2005-01-31,1.08735,1.09225,1.08,1.08455,NaN,-1
2005-02-07,1.08455,1.10485,1.08285,1.10095,NaN,NaN
2005-02-14,1.10095,1.10435,1.0866,1.08985,NaN,-1
2005-02-21,1.08985,1.0919,1.0843,1.08865,NaN,-1
2005-02-28,1.08865,1.0917,1.0742,1.07915,NaN,-1
2005-03-07,1.07915,1.08365,1.0683,1.07225,NaN,-1
2005-03-14,1.07225,1.07325,1.0648,1.06745,NaN,-1
2005-03-21,1.06745,1.0839,1.0645,1.08065,NaN,-1
2005-03-28,1.08065,1.09065,1.08065,1.08755,NaN,-1
2005-04-04,1.08755,1.08865,1.07185,1.07675,NaN,-1
2005-04-11,1.07675,1.07795,1.0662,1.07395,NaN,NaN
2005-04-18,1.07395,1.07495,1.0638,1.06865,1,NaN
2005-04-25,1.06865,1.07815,1.0646,1.06815,1,NaN
2005-05-02,1.06815,1.07065,1.05605,1.05865,1,NaN
2005-05-09,1.05865,1.07035,1.0566,1.06945,1,NaN
2005-05-16,1.06945,1.07185,1.0637,1.06705,1,NaN
2005-05-23,1.06705,1.0711,1.06515,1.06695,1,NaN
2005-05-30,1.06695,1.08305,1.0656,1.08155,1,NaN
2005-06-06,1.08155,1.0825,1.07125,1.07955,1,NaN
2005-06-13,1.07955,1.08615,1.0757,1.08495,NaN,NaN
2005-06-20,1.08495,1.0956,1.08145,1.09085,NaN,NaN
2005-06-27,1.09085,1.10345,1.08365,1.09955,NaN,NaN
2005-07-04,1.09955,1.1071,1.09345,1.10325,NaN,NaN
2005-07-11,1.10325,1.11625,1.09855,1.11165,1,NaN
2005-07-18,1.11165,1.11995,1.10845,1.11335,1,NaN
2005-07-25,1.11335,1.11725,1.10825,1.11185,1,NaN
2005-08-01,1.11185,1.1196,1.10965,1.11225,1,NaN
2005-08-08,1.11225,1.11475,1.09005,1.09105,1,NaN
2005-08-15,1.09105,1.0944,1.07755,1.08215,1,NaN
2005-08-22,1.08215,1.091,1.0795,1.08715,1,NaN
2005-08-29,1.08715,1.08905,1.0785,1.08295,1,NaN
2005-09-05,1.08295,1.09675,1.0796,1.09525,NaN,NaN
2005-09-12,1.09525,1.09615,1.08515,1.08955,NaN,NaN
2005-09-19,1.08955,1.1057,1.08955,1.10045,NaN,NaN
2005-09-26,1.10045,1.11185,1.09675,1.10245,NaN,NaN
2005-10-03,1.10245,1.10415,1.08365,1.08835,NaN,NaN
2005-10-10,1.08835,1.08935,1.07835,1.08005,NaN,NaN
2005-10-17,1.08005,1.08285,1.06765,1.06975,NaN,NaN
2005-10-24,1.06975,1.0775,1.06485,1.06505,NaN,NaN
2005-10-31,1.06505,1.07525,1.06355,1.07285,NaN,NaN
2005-11-07,1.07285,1.08165,1.06255,1.06615,NaN,NaN
2005-11-14,1.06615,1.07295,1.06405,1.06685,NaN,NaN
2005-11-21,1.06685,1.07045,1.05365,1.05555,NaN,NaN
2005-11-28,1.05555,1.05675,1.04685,1.04955,NaN,NaN
2005-12-05,1.04955,1.0723,1.0432,1.06735,NaN,NaN
2005-12-12,1.06735,1.0851,1.06115,1.07665,NaN,NaN
2005-12-19,1.07665,1.08965,1.073,1.08135,NaN,NaN
2005-12-26,1.08135,1.0845,1.0663,1.07305,NaN,NaN
2006-01-02,1.07305,1.09265,1.07205,1.09055,NaN,NaN
2006-01-09,1.09055,1.09155,1.07695,1.08125,NaN,NaN
2006-01-16,1.08125,1.10375,1.07875,1.10115,NaN,NaN
2006-01-23,1.10115,1.11125,1.09395,1.09985,NaN,NaN
2006-01-30,1.09985,1.10585,1.08765,1.08915,NaN,NaN
2006-02-06,1.08915,1.0962,1.0852,1.08695,NaN,NaN
2006-02-13,1.08695,1.1104,1.08365,1.10635,NaN,NaN
2006-02-20,1.10635,1.12275,1.10405,1.11585,NaN,NaN
2006-02-27,1.11585,1.12405,1.1158,1.11965,NaN,NaN
2006-03-06,1.11965,1.145,1.11735,1.14135,NaN,NaN
2006-03-13,1.14135,1.1592,1.13785,1.14555,NaN,NaN
2006-03-20,1.14555,1.16605,1.1418,1.16505,NaN,NaN
2006-03-27,1.16505,1.1736,1.15925,1.16455,NaN,NaN
2006-04-03,1.16455,1.19585,1.1593,1.19405,NaN,NaN
2006-04-10,1.19405,1.20215,1.16685,1.17735,NaN,NaN
2006-04-17,1.17735,1.1847,1.16935,1.17585,NaN,NaN
2006-04-24,1.17585,1.19785,1.17275,1.18995,NaN,NaN
2006-05-01,1.18995,1.20745,1.18725,1.20475,NaN,NaN
2006-05-08,1.20475,1.2429,1.20055,1.23125,NaN,NaN
2006-05-15,1.23125,1.2373,1.21595,1.22245,NaN,NaN
2006-05-22,1.22245,1.22355,1.17845,1.19515,NaN,NaN
2006-05-29,1.19515,1.19965,1.1793,1.19295,NaN,NaN
2006-06-05,1.19295,1.19295,1.1765,1.18075,NaN,-1
2006-06-12,1.18075,1.1988,1.1799,1.19485,NaN,-1
2006-06-19,1.19485,1.20935,1.1866,1.20365,NaN,-1
2006-06-26,1.20365,1.2291,1.20095,1.21965,NaN,-1
2006-07-03,1.21965,1.2363,1.2179,1.23005,NaN,-1
2006-07-10,1.23005,1.23125,1.2109,1.21425,NaN,-1
2006-07-17,1.21425,1.21495,1.191,1.20635,NaN,-1
2006-07-24,1.20635,1.24345,1.20295,1.24265,NaN,-1
2006-07-31,1.24265,1.24525,1.222,1.22465,NaN,NaN
2006-08-07,1.22465,1.22685,1.2057,1.20975,NaN,NaN
2006-08-14,1.20975,1.21345,1.18335,1.18755,NaN,NaN
2006-08-21,1.18755,1.2015,1.1856,1.18925,NaN,NaN
2006-08-28,1.18925,1.19235,1.1606,1.17015,NaN,NaN
2006-09-04,1.17015,1.19615,1.16695,1.18255,NaN,NaN
2006-09-11,1.18255,1.18635,1.13175,1.13675,NaN,NaN
2006-09-18,1.13675,1.14965,1.12995,1.13415,NaN,NaN
2006-09-25,1.13415,1.14795,1.12145,1.14315,NaN,NaN
2006-10-02,1.14315,1.14775,1.12095,1.12775,NaN,NaN
2006-10-09,1.12775,1.14355,1.1239,1.14325,NaN,NaN
2006-10-16,1.14325,1.14625,1.13205,1.13505,NaN,NaN
2006-10-23,1.13505,1.16645,1.13385,1.16005,NaN,NaN
2006-10-30,1.16005,1.16445,1.14455,1.14935,NaN,NaN
2006-11-06,1.14935,1.1579,1.1478,1.15225,NaN,NaN
2006-11-13,1.15225,1.1624,1.15015,1.15635,NaN,NaN
2006-11-20,1.15635,1.16265,1.14575,1.15905,NaN,NaN
2006-11-27,1.15905,1.16505,1.14495,1.14615,NaN,NaN
2006-12-04,1.14615,1.15305,1.13745,1.14375,NaN,NaN
2006-12-11,1.14375,1.14635,1.13125,1.13365,NaN,NaN
2006-12-18,1.13365,1.13525,1.1171,1.11875,NaN,NaN
2006-12-25,1.11875,1.12375,1.1146,1.11975,NaN,NaN
2007-01-01,1.11975,1.13715,1.11715,1.13495,NaN,NaN
2007-01-08,1.13495,1.13945,1.1267,1.13485,NaN,NaN
2007-01-15,1.13485,1.13895,1.12365,1.13535,NaN,NaN
2007-01-22,1.13535,1.13715,1.10795,1.11135,NaN,NaN
2007-01-29,1.11135,1.14125,1.10575,1.13745,NaN,NaN
2007-02-05,1.13745,1.14625,1.12805,1.13595,NaN,NaN
2007-02-12,1.13595,1.13825,1.12565,1.12815,NaN,NaN
2007-02-19,1.12815,1.12815,1.1169,1.12055,NaN,NaN
2007-02-26,1.12055,1.14265,1.1151,1.13655,NaN,NaN
2007-03-05,1.13655,1.14755,1.12825,1.12965,NaN,NaN
2007-03-12,1.12965,1.14215,1.12445,1.14195,NaN,NaN
2007-03-19,1.14195,1.14325,1.12825,1.13205,NaN,NaN
2007-03-26,1.13205,1.1374,1.12335,1.13217,NaN,NaN
2007-04-02,1.13217,1.13731,1.12214,1.13336,NaN,NaN
2007-04-09,1.13336,1.13772,1.12764,1.1298,NaN,NaN
2007-04-16,1.1298,1.1298,1.11655,1.11979,NaN,NaN
2007-04-23,1.11979,1.12423,1.11194,1.11862,NaN,NaN
2007-04-30,1.11862,1.122,1.11264,1.11536,NaN,NaN
2007-05-07,1.11536,1.13835,1.11437,1.13277,NaN,NaN
2007-05-14,1.13277,1.13596,1.12321,1.12619,NaN,NaN
2007-05-21,1.12619,1.13295,1.12235,1.12693,NaN,NaN
2007-05-28,1.12693,1.13038,1.11629,1.11818,NaN,NaN
2007-06-04,1.11818,1.12366,1.10448,1.10646,NaN,NaN
2007-06-11,1.10646,1.12665,1.10542,1.11533,NaN,NaN
2007-06-18,1.11533,1.1202,1.10444,1.10805,NaN,NaN
2007-06-25,1.10805,1.11172,1.09716,1.09915,NaN,NaN
2007-07-02,1.09915,1.10215,1.0912,1.09691,NaN,NaN
2007-07-09,1.09691,1.11285,1.09515,1.10659,NaN,NaN
2007-07-16,1.10659,1.112,1.098,1.10417,NaN,NaN
2007-07-23,1.10417,1.11949,1.09152,1.11313,NaN,NaN
2007-07-30,1.11313,1.12572,1.11126,1.12413,NaN,NaN
2007-08-06,1.12413,1.13934,1.11861,1.13303,NaN,NaN
2007-08-13,1.13303,1.17684,1.13075,1.14396,NaN,NaN
2007-08-20,1.14396,1.159,1.14075,1.14651,NaN,NaN
2007-08-27,1.14651,1.1727,1.14105,1.16643,NaN,NaN
2007-09-03,1.16643,1.20345,1.16295,1.19606,NaN,NaN
2007-09-10,1.19606,1.2023,1.16917,1.18058,NaN,NaN
2007-09-17,1.18058,1.1854,1.15995,1.16452,NaN,NaN
2007-09-24,1.16452,1.17938,1.16,1.17153,NaN,NaN
2007-10-01,1.17153,1.18191,1.16085,1.17923,NaN,NaN
2007-10-08,1.17923,1.1808,1.16416,1.16458,NaN,NaN
2007-10-15,1.16458,1.19749,1.1644,1.19079,NaN,NaN
2007-10-22,1.19079,1.19961,1.18193,1.19867,NaN,NaN
2007-10-29,1.19867,1.21081,1.1944,1.20635,NaN,NaN
2007-11-05,1.20635,1.20673,1.187,1.19331,NaN,NaN
