time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-06,0.5397,0.5448,0.5395,0.5448,NaN,NaN
2002-05-13,0.5444,0.5528,0.5444,0.5528,NaN,NaN
2002-05-20,0.5526,0.55895,0.5526,0.5566,NaN,NaN
2002-05-27,0.5568,0.5674,0.5568,0.5674,NaN,NaN
2002-06-03,0.5674,0.5759,0.5674,0.5759,NaN,NaN
2002-06-10,0.5713,0.5713,0.5604,0.5604,NaN,NaN
2002-06-17,0.5608,0.5748,0.5588,0.5748,NaN,NaN
2002-06-24,0.5744,0.5744,0.55965,0.5638,NaN,NaN
2002-07-01,0.5644,0.5644,0.5562,0.5573,NaN,NaN
2002-07-08,0.5577,0.5674,0.5574,0.5587,NaN,NaN
2002-07-15,0.5587,0.5601,0.5513,0.5568,NaN,NaN
2002-07-22,0.5565,0.5565,0.5362,0.5362,NaN,NaN
2002-07-29,0.5364,0.54365,0.5364,0.5393,NaN,NaN
2002-08-05,0.5391,0.5391,0.5279,0.5356,NaN,NaN
2002-08-12,0.5347,0.5459,0.5347,0.5459,NaN,NaN
2002-08-19,0.5459,0.5465,0.5411,0.5432,NaN,NaN
2002-08-26,0.5448,0.5536,0.5447,0.5507,NaN,NaN
2002-09-02,0.55,0.5515,0.5428,0.5428,NaN,NaN
2002-09-09,0.5473,0.5523,0.5473,0.5498,NaN,NaN
2002-09-16,0.5504,0.5504,0.5459,0.5459,NaN,NaN
2002-09-23,0.5462,0.5462,0.5438,0.5438,NaN,NaN
2002-09-30,0.5433,0.5464,0.5429,0.5464,NaN,NaN
2002-10-07,0.5467,0.5499,0.5463,0.5495,NaN,NaN
2002-10-14,0.5473,0.5509,0.5467,0.5501,NaN,NaN
2002-10-21,0.5506,0.5556,0.5506,0.5556,NaN,NaN
2002-10-28,0.5558,0.5591,0.5533,0.5591,NaN,NaN
2002-11-04,0.5593,0.5665,0.5593,0.5646,NaN,NaN
2002-11-11,0.564,0.564,0.5599,0.5636,NaN,-1
2002-11-18,0.5635,0.5635,0.5588,0.5634,NaN,-1
2002-11-25,0.5636,0.5636,0.5565,0.5606,NaN,-1
2002-12-02,0.5607,0.5613,0.559,0.5607,NaN,-1
2002-12-09,0.5622,0.566,0.5593,0.5649,NaN,-1
2002-12-16,0.5655,0.5669,0.5628,0.5628,NaN,-1
2002-12-23,0.5636,0.56405,0.5609,0.5609,NaN,-1
2002-12-30,0.5611,0.5672,0.5611,0.5672,NaN,-1
2003-01-06,0.5671,0.5837,0.5671,0.5837,NaN,NaN
2003-01-13,0.5827,0.5918,0.5827,0.5918,NaN,-1
2003-01-20,0.5916,0.5926,0.5862,0.5926,NaN,-1
2003-01-27,0.5914,0.5914,0.587,0.587,NaN,-1
2003-02-03,0.5869,0.5917,0.5847,0.5904,NaN,-1
2003-02-10,0.5909,0.5957,0.5893,0.592,NaN,-1
2003-02-17,0.5913,0.5985,0.5897,0.5974,NaN,-1
2003-02-24,0.5972,0.6083,0.5972,0.6083,NaN,-1
2003-03-03,0.6078,0.6166,0.6078,0.6138,NaN,-1
2003-03-10,0.6126,0.6147,0.5947,0.5983,NaN,NaN
2003-03-17,0.5971,0.5971,0.5897,0.5908,NaN,-1
2003-03-24,0.5919,0.6014,0.5919,0.6009,NaN,-1
2003-03-31,0.6008,0.6045,0.6008,0.6009,NaN,-1
2003-04-07,0.5989,0.6062,0.5989,0.6054,NaN,-1
2003-04-14,0.6047,0.6146,0.6047,0.6146,NaN,-1
2003-04-21,0.6147,0.6212,0.61435,0.6166,NaN,-1
2003-04-28,0.6163,0.6316,0.6163,0.6316,NaN,-1
2003-05-05,0.6306,0.6443,0.6306,0.6443,NaN,-1
2003-05-12,0.6459,0.6531,0.6408,0.6531,NaN,NaN
2003-05-19,0.6593,0.6604,0.6543,0.6604,NaN,NaN
2003-05-26,0.659,0.65995,0.6511,0.6528,NaN,NaN
2003-06-02,0.6507,0.6651,0.6507,0.6585,NaN,NaN
2003-06-09,0.6587,0.6684,0.65665,0.6684,NaN,NaN
2003-06-16,0.6683,0.67335,0.66775,0.6684,NaN,NaN
2003-06-23,0.6678,0.6687,0.66375,0.6665,NaN,NaN
2003-06-30,0.6668,0.68135,0.6668,0.6791,NaN,NaN
2003-07-07,0.6792,0.6792,0.6574,0.6593,NaN,NaN
2003-07-14,0.6574,0.65925,0.648,0.648,1,NaN
2003-07-21,0.6468,0.66615,0.6468,0.6632,1,NaN
2003-07-28,0.6631,0.66325,0.64875,0.6516,1,NaN
2003-08-04,0.652,0.6526,0.64615,0.6526,1,NaN
2003-08-11,0.6519,0.6601,0.6519,0.6601,1,NaN
2003-08-18,0.6603,0.66065,0.6526,0.6526,1,NaN
2003-08-25,0.6514,0.6514,0.63935,0.6472,1,NaN
2003-09-01,0.6481,0.6481,0.63665,0.6478,1,NaN
2003-09-08,0.6482,0.6635,0.6482,0.6635,NaN,NaN
2003-09-15,0.6632,0.6727,0.6631,0.6727,1,NaN
2003-09-22,0.6756,0.6791,0.6738,0.6738,1,NaN
2003-09-29,0.6751,0.68635,0.6751,0.6792,1,NaN
2003-10-06,0.6778,0.6917,0.6778,0.6917,1,NaN
2003-10-13,0.6921,0.6926,0.6882,0.6926,1,NaN
2003-10-20,0.6951,0.70485,0.69135,0.6995,1,NaN
2003-10-27,0.6992,0.7079,0.6992,0.7079,1,NaN
2003-11-03,0.7075,0.7091,0.6985,0.7091,1,NaN
2003-11-10,0.7092,0.7205,0.7092,0.7204,NaN,NaN
2003-11-17,0.7204,0.7237,0.7117,0.7237,NaN,NaN
2003-11-24,0.7233,0.7242,0.718,0.7242,NaN,-1
2003-12-01,0.7235,0.7366,0.7235,0.7366,NaN,-1
2003-12-08,0.7365,0.7426,0.7365,0.7426,NaN,-1
2003-12-15,0.73815,0.7437,0.7369,0.7369,NaN,-1
2003-12-22,0.7386,0.7419,0.7336,0.741,NaN,-1
2003-12-29,0.7422,0.7586,0.7422,0.7586,NaN,-1
2004-01-05,0.7579,0.7768,0.7579,0.7768,NaN,-1
2004-01-12,0.7769,0.7785,0.7637,0.7637,NaN,-1
2004-01-19,0.7634,0.7779,0.7552,0.7727,NaN,NaN
2004-01-26,0.7708,0.779,0.7609,0.7641,NaN,NaN
2004-02-02,0.7647,0.7702,0.7582,0.7702,NaN,NaN
2004-02-09,0.7673,0.79,0.7673,0.79,NaN,NaN
2004-02-16,0.7893,0.7983,0.7703,0.7703,NaN,NaN
2004-02-23,0.7691,0.7801,0.7691,0.774,NaN,-1
2004-03-01,0.773,0.773,0.7499,0.7609,NaN,-1
2004-03-08,0.7607,0.7607,0.7321,0.7321,NaN,-1
2004-03-15,0.7377,0.7515,0.7372,0.7484,NaN,-1
2004-03-22,0.7482,0.7535,0.7384,0.7467,NaN,-1
2004-03-29,0.7462,0.7681,0.7462,0.7571,NaN,-1
2004-04-05,0.7557,0.7662,0.7541,0.7634,NaN,-1
2004-04-12,0.7631,0.76615,0.7348,0.7441,NaN,-1
2004-04-19,0.7449,0.7467,0.7305,0.7338,NaN,NaN
2004-04-26,0.7313,0.735,0.7209,0.7209,1,NaN
2004-05-03,0.7218,0.7328,0.7036,0.7036,1,NaN
2004-05-10,0.7018,0.7018,0.6886,0.6916,1,NaN
2004-05-17,0.6917,0.6979,0.6858,0.6979,1,NaN
2004-05-24,0.6974,0.71705,0.6971,0.7146,1,NaN
2004-05-31,0.7146,0.71525,0.6887,0.6956,1,NaN
