time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-31,1.7039,1.7752,1.7039,1.7659,NaN,NaN
2004-06-07,1.7651,1.7651,1.7351,1.7351,NaN,NaN
2004-06-14,1.733,1.76695,1.733,1.7622,NaN,NaN
2004-06-21,1.7609,1.7609,1.7381,1.7381,NaN,NaN
2004-06-28,1.7387,1.75055,1.7249,1.7264,NaN,NaN
2004-07-05,1.7279,1.7279,1.71085,1.7193,NaN,NaN
2004-07-12,1.7163,1.7163,1.70045,1.7005,NaN,NaN
2004-07-19,1.6994,1.7146,1.6945,1.7046,NaN,NaN
2004-07-26,1.7068,1.7242,1.7068,1.7102,NaN,NaN
2004-08-02,1.7135,1.7207,1.70575,1.7207,NaN,NaN
2004-08-09,1.7198,1.7259,1.70845,1.7259,NaN,NaN
2004-08-16,1.7293,1.7293,1.7021,1.7021,NaN,NaN
2004-08-23,1.7017,1.7201,1.7017,1.7098,NaN,NaN
2004-08-30,1.7127,1.7454,1.7127,1.7444,NaN,NaN
2004-09-06,1.7432,1.7739,1.7422,1.7635,NaN,NaN
2004-09-13,1.7617,1.7617,1.7428,1.7461,NaN,NaN
2004-09-20,1.7451,1.7536,1.7179,1.7179,NaN,NaN
2004-09-27,1.7183,1.7226,1.70895,1.71,NaN,NaN
2004-10-04,1.7133,1.7133,1.6872,1.6885,NaN,NaN
2004-10-11,1.6844,1.7047,1.6844,1.7047,NaN,NaN
2004-10-18,1.7065,1.7226,1.7065,1.71105,NaN,NaN
2004-10-25,1.7109,1.7151,1.70675,1.70675,NaN,NaN
2004-11-01,1.7112,1.7112,1.6969,1.6998,NaN,NaN
2004-11-08,1.6988,1.7057,1.6863,1.6863,NaN,NaN
2004-11-15,1.6876,1.6876,1.6623,1.6623,NaN,NaN
2004-11-22,1.6632,1.6814,1.6632,1.6814,NaN,NaN
2004-11-29,1.6804,1.7221,1.6804,1.7215,NaN,NaN
2004-12-06,1.7199,1.7654,1.7199,1.7608,NaN,NaN
2004-12-13,1.7632,1.7632,1.7396,1.7396,NaN,NaN
2004-12-20,1.7459,1.7619,1.7459,1.7599,NaN,NaN
2004-12-27,1.7581,1.7581,1.7339,1.7339,NaN,NaN
2005-01-03,1.7359,1.74335,1.71915,1.7234,NaN,NaN
2005-01-10,1.7251,1.73615,1.71625,1.728,NaN,NaN
2005-01-17,1.725,1.73405,1.69105,1.6947,NaN,NaN
2005-01-24,1.6958,1.70155,1.67395,1.6822,NaN,NaN
2005-01-31,1.6844,1.69355,1.66935,1.6705,NaN,NaN
2005-02-07,1.673,1.6772,1.6359,1.6369,1,NaN
2005-02-14,1.6386,1.66885,1.6361,1.6582,1,NaN
