time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-31,1.6596,1.6759,1.65935,1.65935,NaN,NaN
2004-06-07,1.66165,1.66165,1.63725,1.63725,NaN,NaN
2004-06-14,1.63705,1.6644,1.63705,1.65415,NaN,NaN
2004-06-21,1.65515,1.65515,1.637,1.64355,NaN,NaN
2004-06-28,1.64295,1.6433,1.6206,1.63065,NaN,NaN
2004-07-05,1.63115,1.63625,1.62975,1.63625,NaN,NaN
2004-07-12,1.63595,1.6372,1.6254,1.63285,NaN,NaN
2004-07-19,1.62945,1.62945,1.59725,1.59725,NaN,NaN
2004-07-26,1.59935,1.6185,1.59555,1.60015,NaN,NaN
2004-08-02,1.601,1.61185,1.5859,1.61185,NaN,NaN
2004-08-09,1.61135,1.63115,1.61135,1.62015,NaN,NaN
2004-08-16,1.61935,1.61935,1.59925,1.59925,NaN,NaN
2004-08-23,1.59895,1.59895,1.5766,1.57735,NaN,NaN
2004-08-30,1.57815,1.5991,1.56805,1.56805,NaN,NaN
2004-09-06,1.56765,1.58375,1.5585,1.58375,NaN,NaN
2004-09-13,1.58385,1.5958,1.5723,1.58135,NaN,NaN
2004-09-20,1.58075,1.5881,1.56395,1.56395,NaN,NaN
2004-09-27,1.56625,1.5683,1.5644,1.56605,NaN,NaN
2004-10-04,1.56565,1.56565,1.5468,1.55325,NaN,NaN
2004-10-11,1.55365,1.56215,1.5475,1.56215,NaN,NaN
2004-10-18,1.56315,1.5747,1.56315,1.56495,NaN,NaN
2004-10-25,1.56475,1.56475,1.5582,1.55845,NaN,NaN
2004-11-01,1.56035,1.56035,1.55,1.55295,NaN,NaN
2004-11-08,1.54955,1.54955,1.53965,1.54775,NaN,NaN
2004-11-15,1.55005,1.5633,1.5495,1.55405,NaN,NaN
2004-11-22,1.55575,1.56335,1.5476,1.56335,NaN,NaN
2004-11-29,1.56405,1.60395,1.56405,1.60395,NaN,NaN
2004-12-06,1.60175,1.6253,1.60175,1.62055,NaN,NaN
2004-12-13,1.61895,1.6436,1.61895,1.63045,NaN,NaN
2004-12-20,1.63685,1.66505,1.63685,1.66505,NaN,NaN
2004-12-27,1.66545,1.66545,1.62765,1.62765,NaN,NaN
2005-01-03,1.62955,1.6353,1.60625,1.60775,NaN,NaN
2005-01-10,1.61085,1.61125,1.5831,1.59625,NaN,NaN
2005-01-17,1.59505,1.6018,1.5873,1.59375,NaN,NaN
2005-01-24,1.59305,1.6222,1.589,1.61515,NaN,NaN
2005-01-31,1.61555,1.6206,1.60535,1.60815,NaN,NaN
2005-02-07,1.60695,1.6134,1.5903,1.59065,NaN,NaN
2005-02-14,1.59215,1.617,1.59015,1.60965,NaN,NaN
2005-02-21,1.60715,1.6547,1.6035,1.64045,NaN,NaN
2005-02-28,1.64115,1.64265,1.6256,1.63015,NaN,NaN
2005-03-07,1.63045,1.6328,1.6093,1.62355,NaN,NaN
2005-03-14,1.62295,1.62375,1.5977,1.60255,NaN,NaN
2005-03-21,1.60245,1.6038,1.5704,1.57865,NaN,NaN
2005-03-28,1.57945,1.57945,1.5625,1.56805,NaN,NaN
2005-04-04,1.56665,1.58985,1.5637,1.58935,NaN,NaN
2005-04-11,1.58915,1.61215,1.5849,1.61085,NaN,NaN
2005-04-18,1.60815,1.6282,1.6058,1.61325,NaN,NaN
2005-04-25,1.61115,1.6253,1.6044,1.61955,NaN,NaN
2005-05-02,1.61945,1.62435,1.5893,1.59265,NaN,NaN
2005-05-09,1.59195,1.6041,1.5827,1.59845,NaN,NaN
2005-05-16,1.59805,1.60795,1.5843,1.59005,NaN,NaN
2005-05-23,1.58925,1.5955,1.5746,1.57845,NaN,NaN
2005-05-30,1.57485,1.5778,1.51855,1.52555,NaN,NaN
2005-06-06,1.52515,1.5398,1.512,1.51695,NaN,NaN
2005-06-13,1.51495,1.5261,1.493,1.51035,NaN,NaN
2005-06-20,1.5049,1.50795,1.4773,1.49175,NaN,NaN
2005-06-27,1.49245,1.5076,1.4776,1.48545,NaN,NaN
2005-07-04,1.48585,1.4891,1.4534,1.45865,NaN,NaN
2005-07-11,1.45945,1.4792,1.4516,1.46915,NaN,NaN
2005-07-18,1.46915,1.48935,1.4599,1.47125,NaN,NaN
2005-07-25,1.47045,1.499,1.4646,1.48305,NaN,NaN
2005-08-01,1.48155,1.5142,1.4752,1.50325,NaN,NaN
2005-08-08,1.50185,1.50925,1.4829,1.48955,NaN,NaN
2005-08-15,1.49185,1.49205,1.47175,1.47205,NaN,NaN
2005-08-22,1.47305,1.4788,1.458,1.47465,NaN,NaN
2005-08-29,1.47195,1.492,1.4519,1.48865,NaN,NaN
2005-09-05,1.4902,1.495,1.4576,1.4618,NaN,NaN
2005-09-12,1.4604,1.46175,1.4414,1.443,NaN,NaN
2005-09-19,1.4369,1.438,1.4079,1.4088,NaN,NaN
2005-09-26,1.4107,1.42075,1.39445,1.399,NaN,NaN
2005-10-03,1.3978,1.44065,1.38535,1.4241,NaN,NaN
2005-10-10,1.4233,1.43525,1.40265,1.4332,NaN,NaN
2005-10-17,1.4329,1.4354,1.40105,1.4199,NaN,NaN
2005-10-24,1.4184,1.42835,1.40925,1.4208,NaN,NaN
2005-10-31,1.4205,1.42585,1.38975,1.398,NaN,NaN
2005-11-07,1.3993,1.42475,1.38835,1.396,NaN,NaN
2005-11-14,1.3944,1.40345,1.38675,1.3995,NaN,NaN
2005-11-21,1.3991,1.40695,1.36805,1.3714,NaN,NaN
2005-11-28,1.3693,1.38795,1.35755,1.3618,NaN,NaN
2005-12-05,1.3601,1.37305,1.35465,1.3671,NaN,NaN
2005-12-12,1.3641,1.3938,1.3639,1.3925,NaN,NaN
2005-12-19,1.3945,1.405,1.37765,1.3835,NaN,NaN
2005-12-26,1.3835,1.39665,1.37115,1.377,NaN,NaN
2006-01-02,1.3765,1.4213,1.3727,1.4163,NaN,NaN
2006-01-09,1.4161,1.41925,1.3961,1.4092,NaN,NaN
2006-01-16,1.4081,1.4253,1.3927,1.3987,NaN,NaN
2006-01-23,1.3999,1.42215,1.38775,1.3904,NaN,NaN
2006-01-30,1.3905,1.3933,1.37415,1.376,NaN,NaN
2006-02-06,1.3769,1.38435,1.36825,1.3723,NaN,NaN
2006-02-13,1.3726,1.37985,1.3684,1.3733,NaN,NaN
2006-02-20,1.3727,1.3779,1.3623,1.3642,NaN,NaN
2006-02-27,1.3648,1.3674,1.34955,1.3662,NaN,NaN
2006-03-06,1.3663,1.3874,1.3601,1.3822,NaN,NaN
2006-03-13,1.382,1.4142,1.3817,1.4123,NaN,NaN
