time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-06,0.91825,0.91825,0.90435,0.914,NaN,NaN
2002-05-13,0.9141,0.9209,0.90275,0.9209,NaN,NaN
2002-05-20,0.9201,0.92575,0.91985,0.921,NaN,NaN
2002-05-27,0.9211,0.93705,0.9209,0.9339,NaN,NaN
2002-06-03,0.9329,0.94765,0.9329,0.944,NaN,NaN
2002-06-10,0.9432,0.94825,0.9432,0.9456,NaN,NaN
2002-06-17,0.9453,0.9711,0.94445,0.9711,NaN,NaN
2002-06-24,0.9706,0.9919,0.97045,0.9919,NaN,NaN
2002-07-01,0.9915,0.9915,0.9731,0.9731,NaN,NaN
2002-07-08,0.9746,0.99355,0.9746,0.9915,NaN,NaN
2002-07-15,0.9912,1.01195,0.9912,1.0117,NaN,NaN
2002-07-22,1.0112,1.0112,0.9871,0.9871,NaN,NaN
2002-07-29,0.9867,0.9867,0.9775,0.9866,NaN,NaN
2002-08-05,0.9864,0.9864,0.96635,0.9704,NaN,NaN
2002-08-12,0.9698,0.9851,0.9698,0.9851,NaN,NaN
2002-08-19,0.984,0.984,0.96915,0.973,NaN,NaN
2002-08-26,0.973,0.98485,0.97195,0.9822,NaN,NaN
2002-09-02,0.9823,0.99695,0.9823,0.9916,NaN,NaN
2002-09-09,0.9816,0.98195,0.9717,0.9717,NaN,NaN
2002-09-16,0.9708,0.98665,0.9692,0.9823,NaN,NaN
2002-09-23,0.9811,0.9815,0.9762,0.9805,NaN,NaN
2002-09-30,0.981,0.9879,0.9793,0.9793,NaN,NaN
2002-10-07,0.9797,0.98975,0.9788,0.9873,NaN,NaN
2002-10-14,0.9872,0.9872,0.9709,0.9723,NaN,NaN
2002-10-21,0.9724,0.978,0.9724,0.9761,NaN,NaN
2002-10-28,0.9765,0.9967,0.9765,0.9967,1,NaN
2002-11-04,0.9971,1.013,0.9971,1.013,1,NaN
2002-11-11,1.01285,1.01285,1.0043,1.0093,1,NaN
2002-11-18,1.0093,1.0093,0.9972,0.9972,1,NaN
2002-11-25,0.9968,0.9968,0.9905,0.9944,1,NaN
2002-12-02,0.9945,1.0098,0.9945,1.0098,1,NaN
2002-12-09,1.011,1.0229,1.0083,1.0229,1,NaN
2002-12-16,1.0237,1.02845,1.0229,1.0268,1,NaN
2002-12-23,1.0276,1.0439,1.0263,1.0439,NaN,NaN
2002-12-30,1.0426,1.0493,1.03615,1.0415,NaN,-1
2003-01-06,1.0422,1.0579,1.0418,1.0579,NaN,-1
2003-01-13,1.0577,1.0669,1.0545,1.0669,NaN,-1
2003-01-20,1.0656,1.083,1.0656,1.083,NaN,-1
2003-01-27,1.0844,1.0856,1.0765,1.0765,NaN,-1
2003-02-03,1.0789,1.0883,1.0781,1.0827,NaN,-1
2003-02-10,1.0809,1.0835,1.0718,1.0794,NaN,-1
2003-02-17,1.0764,1.0818,1.0691,1.0762,NaN,-1
2003-02-24,1.0735,1.08,1.0735,1.08,NaN,NaN
2003-03-03,1.0785,1.1005,1.0785,1.1005,NaN,NaN
2003-03-10,1.1007,1.1058,1.0742,1.0742,NaN,NaN
2003-03-17,1.0764,1.0764,1.0525,1.0525,NaN,NaN
2003-03-24,1.0587,1.0781,1.0587,1.0781,NaN,NaN
2003-03-31,1.08,1.0926,1.0731,1.0731,NaN,NaN
2003-04-07,1.0688,1.079,1.0688,1.0757,NaN,NaN
2003-04-14,1.0744,1.0915,1.0744,1.08805,NaN,NaN
2003-04-21,1.08875,1.1036,1.087,1.1036,NaN,NaN
2003-04-28,1.1037,1.12375,1.0986,1.123,NaN,NaN
2003-05-05,1.1231,1.14985,1.1231,1.1487,NaN,NaN
2003-05-12,1.1525,1.1582,1.1385,1.1582,NaN,NaN
2003-05-19,1.1679,1.1834,1.1636,1.1834,NaN,NaN
2003-05-26,1.1829,1.19065,1.1763,1.1783,NaN,NaN
2003-06-02,1.1715,1.1837,1.1642,1.1699,NaN,NaN
2003-06-09,1.1704,1.1861,1.1673,1.1861,NaN,NaN
2003-06-16,1.1877,1.1877,1.1602,1.1602,NaN,NaN
2003-06-23,1.15765,1.15765,1.1425,1.1433,NaN,NaN
2003-06-30,1.1437,1.1562,1.1437,1.1489,NaN,NaN
2003-07-07,1.1482,1.1482,1.1297,1.1297,NaN,NaN
2003-07-14,1.1295,1.1295,1.1174,1.1275,NaN,NaN
2003-07-21,1.1264,1.1512,1.1264,1.1512,1,NaN
2003-07-28,1.1473,1.1495,1.1232,1.1275,1,NaN
2003-08-04,1.1283,1.1387,1.1283,1.1309,1,NaN
2003-08-11,1.1301,1.1359,1.1262,1.1266,1,NaN
2003-08-18,1.1259,1.1259,1.0877,1.0877,1,NaN
2003-08-25,1.0855,1.0984,1.0855,1.0984,1,NaN
2003-09-01,1.0995,1.1105,1.0809,1.1105,1,NaN
2003-09-08,1.1102,1.1291,1.1068,1.1291,1,NaN
2003-09-15,1.1274,1.1371,1.1177,1.1371,NaN,NaN
2003-09-22,1.1435,1.1496,1.1435,1.1463,NaN,NaN
2003-09-29,1.1459,1.1716,1.1459,1.158,NaN,NaN
2003-10-06,1.1563,1.1811,1.1563,1.1798,NaN,NaN
2003-10-13,1.181,1.181,1.1585,1.1679,NaN,NaN
2003-10-20,1.1705,1.1804,1.1636,1.1781,NaN,-1
2003-10-27,1.1768,1.1768,1.1583,1.1583,NaN,-1
2003-11-03,1.159,1.159,1.1408,1.1535,NaN,-1
2003-11-10,1.1514,1.1782,1.1492,1.1782,NaN,-1
2003-11-17,1.1786,1.1949,1.1753,1.1917,NaN,-1
2003-11-24,1.1918,1.1993,1.1761,1.1993,NaN,-1
2003-12-01,1.1984,1.2166,1.1976,1.2166,NaN,-1
2003-12-08,1.2166,1.2294,1.2166,1.2294,NaN,-1
2003-12-15,1.21615,1.2435,1.21615,1.2378,NaN,NaN
2003-12-22,1.2406,1.2453,1.2393,1.243,NaN,NaN
2003-12-29,1.2445,1.2593,1.2445,1.2593,NaN,NaN
2004-01-05,1.2585,1.2841,1.2585,1.2841,NaN,NaN
2004-01-12,1.2832,1.2832,1.2373,1.2373,NaN,NaN
2004-01-19,1.2382,1.271,1.2352,1.2588,NaN,NaN
2004-01-26,1.2583,1.2639,1.2414,1.2475,NaN,NaN
2004-02-02,1.2479,1.2702,1.2427,1.2702,NaN,NaN
2004-02-09,1.26275,1.2826,1.26275,1.2742,NaN,NaN
2004-02-16,1.2751,1.2837,1.2527,1.2527,NaN,NaN
2004-02-23,1.2507,1.2685,1.2433,1.2494,NaN,NaN
2004-03-01,1.2485,1.2485,1.2192,1.2375,NaN,NaN
2004-03-08,1.2384,1.2408,1.2222,1.2222,NaN,NaN
2004-03-15,1.2236,1.239,1.2236,1.2276,1,NaN
2004-03-22,1.2282,1.2333,1.2127,1.2127,1,NaN
2004-03-29,1.2121,1.2363,1.2121,1.2136,1,NaN
2004-04-05,1.2118,1.2173,1.2018,1.2093,1,NaN
2004-04-12,1.2091,1.2091,1.1946,1.1994,1,NaN
2004-04-19,1.202,1.2024,1.1842,1.1847,1,NaN
2004-04-26,1.1823,1.1981,1.1823,1.1981,1,NaN
2004-05-03,1.1985,1.2175,1.1881,1.1881,1,NaN
2004-05-10,1.1878,1.1901,1.182,1.1887,NaN,NaN
2004-05-17,1.1889,1.2027,1.1889,1.1979,NaN,NaN
2004-05-24,1.1988,1.2263,1.1988,1.2221,NaN,NaN
2004-05-31,1.2243,1.228,1.21875,1.228,NaN,NaN
2004-06-07,1.2295,1.2321,1.2005,1.2005,NaN,NaN
2004-06-14,1.2005,1.2162,1.2005,1.2137,NaN,NaN
2004-06-21,1.214,1.2177,1.2093,1.2177,NaN,NaN
2004-06-28,1.2172,1.2316,1.2081,1.2316,NaN,NaN
2004-07-05,1.23235,1.24135,1.2283,1.24135,NaN,NaN
2004-07-12,1.24165,1.2451,1.2327,1.2451,NaN,NaN
2004-07-19,1.24415,1.2443,1.209,1.209,NaN,-1
2004-07-26,1.2104,1.2142,1.20195,1.20195,NaN,-1
2004-08-02,1.2051,1.228,1.20262,1.228,NaN,-1
2004-08-09,1.22895,1.2374,1.2219,1.2374,NaN,-1
2004-08-16,1.23725,1.23725,1.232,1.232,NaN,-1
2004-08-23,1.23165,1.23165,1.2013,1.2013,NaN,-1
2004-08-30,1.20175,1.2189,1.20175,1.2059,NaN,-1
2004-09-06,1.2058,1.2263,1.2058,1.2263,NaN,-1
2004-09-13,1.22665,1.22665,1.21505,1.2188,NaN,NaN
2004-09-20,1.2185,1.23361,1.21765,1.2275,NaN,NaN
2004-09-27,1.2282,1.2434,1.2282,1.2416,NaN,NaN
2004-10-04,1.23975,1.2409,1.22845,1.2409,NaN,NaN
2004-10-11,1.24215,1.2467,1.23278,1.2467,NaN,-1
2004-10-18,1.24745,1.2683,1.24745,1.2683,NaN,-1
2004-10-25,1.26915,1.28067,1.26915,1.2744,NaN,-1
2004-11-01,1.28095,1.2966,1.2727,1.2966,NaN,-1
2004-11-08,1.2972,1.2977,1.2894,1.2977,NaN,-1
2004-11-15,1.29865,1.30325,1.2945,1.3026,NaN,-1
2004-11-22,1.3035,1.3295,1.3035,1.3295,NaN,-1
2004-11-29,1.32785,1.3457,1.327,1.3457,NaN,-1
2004-12-06,1.34475,1.34475,1.3226,1.3226,NaN,NaN
2004-12-13,1.32125,1.34054,1.32125,1.3287,NaN,NaN
2004-12-20,1.33325,1.35315,1.33325,1.35315,NaN,NaN
2004-12-27,1.35335,1.3642,1.35335,1.3568,NaN,NaN
2005-01-03,1.35525,1.35815,1.302475,1.3054,NaN,NaN
2005-01-10,1.3062,1.32935,1.3052,1.3111,NaN,NaN
2005-01-17,1.3105,1.312805,1.291975,1.3039,NaN,NaN
2005-01-24,1.3041,1.312375,1.294375,1.3037,NaN,NaN
2005-01-31,1.3032,1.309375,1.2865,1.2869,1,NaN
2005-02-07,1.286,1.290505,1.273325,1.2866,1,NaN
2005-02-14,1.2878,1.308835,1.2878,1.3072,1,NaN
2005-02-21,1.3047,1.327315,1.303225,1.32453,1,NaN
2005-02-28,1.32413,1.327905,1.308935,1.3236,1,NaN
2005-03-07,1.3236,1.348055,1.318035,1.3457,1,NaN
2005-03-14,1.3461,1.3478,1.326525,1.3325,1,NaN
2005-03-21,1.3313,1.3317,1.292955,1.29575,1,NaN
2005-03-28,1.2963,1.30582,1.285805,1.2913,NaN,NaN
2005-04-04,1.28935,1.293925,1.280125,1.2933,NaN,NaN
2005-04-11,1.29325,1.30157,1.276665,1.2922,1,NaN
2005-04-18,1.29125,1.312505,1.287765,1.3065,1,NaN
2005-04-25,1.30645,1.307,1.285405,1.2872,1,NaN
2005-05-02,1.2862,1.298925,1.281105,1.2819,1,NaN
2005-05-09,1.28175,1.291225,1.261005,1.2633,1,NaN
2005-05-16,1.2629,1.269105,1.253605,1.2559,1,NaN
2005-05-23,1.25515,1.262725,1.249605,1.2585,1,NaN
2005-05-30,1.2524,1.2546,1.216105,1.2236,1,NaN
2005-06-06,1.2225,1.235255,1.210805,1.2119,NaN,NaN
2005-06-13,1.2111,1.2289,1.201725,1.2286,NaN,NaN
2005-06-20,1.2222,1.223975,1.198305,1.2091,1,NaN
2005-06-27,1.20915,1.218575,1.1939,1.1958,1,NaN
2005-07-04,1.19425,1.204225,1.186925,1.1966,1,NaN
2005-07-11,1.19705,1.225505,1.1958,1.2035,1,NaN
2005-07-18,1.20295,1.2255,1.195375,1.2065,1,NaN
2005-07-25,1.2064,1.216005,1.1965,1.2122,1,NaN
2005-08-01,1.2123,1.240275,1.2119,1.2359,1,NaN
2005-08-08,1.23465,1.248655,1.2316,1.2443,1,NaN
2005-08-15,1.246,1.2463,1.212575,1.2153,NaN,NaN
2005-08-22,1.2166,1.234235,1.2157,1.22897,NaN,NaN
2005-08-29,1.22978,1.258925,1.217175,1.2531,NaN,NaN
2005-09-05,1.25395,1.258455,1.237655,1.2409,NaN,NaN
2005-09-12,1.24075,1.2416,1.21935,1.2237,NaN,NaN
2005-09-19,1.2169,1.226905,1.2039,1.2039,NaN,NaN
2005-09-26,1.20275,1.209025,1.197955,1.2027,NaN,NaN
2005-10-03,1.2025,1.220375,1.190205,1.2128,NaN,NaN
2005-10-10,1.2115,1.215325,1.191475,1.2075,NaN,NaN
2005-10-17,1.2082,1.2121,1.187565,1.1953,NaN,NaN
2005-10-24,1.19365,1.217315,1.19235,1.207,NaN,NaN
2005-10-31,1.2061,1.208925,1.18035,1.18125,NaN,NaN
2005-11-07,1.1814,1.197755,1.167105,1.1734,NaN,NaN
2005-11-14,1.17215,1.179525,1.164025,1.1774,NaN,NaN
2005-11-21,1.1771,1.186605,1.168585,1.1724,NaN,NaN
2005-11-28,1.1715,1.190205,1.166075,1.1718,NaN,NaN
2005-12-05,1.17,1.184875,1.168925,1.1812,NaN,NaN
2005-12-12,1.1783,1.20615,1.178,1.2013,NaN,NaN
2005-12-19,1.2024,1.2039,1.18011,1.1868,NaN,NaN
2005-12-26,1.1868,1.19321,1.17785,1.1848,NaN,NaN
2006-01-02,1.1844,1.21808,1.18015,1.2152,NaN,NaN
2006-01-09,1.2149,1.216325,1.20072,1.2143,NaN,NaN
2006-01-16,1.2148,1.2175,1.204075,1.2134,NaN,NaN
2006-01-23,1.2141,1.232325,1.208755,1.2094,NaN,-1
2006-01-30,1.21065,1.218805,1.19685,1.2024,NaN,-1
2006-02-06,1.2038,1.2047,1.189365,1.1906,NaN,-1
2006-02-13,1.19,1.19542,1.185025,1.1939,NaN,-1
2006-02-20,1.193,1.1974,1.18622,1.18768,NaN,-1
2006-02-27,1.1873,1.205275,1.1827,1.2045,NaN,-1
2006-03-06,1.2047,1.2094,1.186135,1.1909,NaN,-1
2006-03-13,1.1914,1.220655,1.1911,1.2191,NaN,-1
2006-03-20,1.21823,1.219625,1.195175,1.2034,NaN,NaN
2006-03-27,1.2039,1.217505,1.198075,1.2118,NaN,NaN
2006-04-03,1.21145,1.233195,1.203425,1.2093,NaN,NaN
2006-04-10,1.21065,1.216905,1.206675,1.211,NaN,NaN
2006-04-17,1.2124,1.239405,1.2123,1.234,NaN,-1
2006-04-24,1.237,1.2641,1.233415,1.2634,NaN,-1
2006-05-01,1.2626,1.2766,1.2557,1.27272,NaN,-1
2006-05-08,1.2735,1.295785,1.266215,1.29275,NaN,-1
2006-05-15,1.29435,1.29697,1.269435,1.2778,NaN,-1
2006-05-22,1.27615,1.289085,1.269455,1.27379,NaN,-1
2006-05-29,1.27359,1.29404,1.27179,1.29177,NaN,-1
2006-06-05,1.2934,1.297905,1.259675,1.26387,NaN,-1
2006-06-12,1.262,1.267195,1.253085,1.26425,NaN,NaN
2006-06-19,1.26475,1.267885,1.247895,1.25065,NaN,NaN
2006-06-26,1.25155,1.27943,1.25045,1.2791,NaN,NaN
2006-07-03,1.27835,1.286755,1.270775,1.28105,NaN,NaN
2006-07-10,1.28175,1.28214,1.26266,1.26515,NaN,NaN
2006-07-17,1.265,1.26965,1.245765,1.2695,NaN,NaN
2006-07-24,1.2711,1.277155,1.255905,1.27585,NaN,NaN
2006-07-31,1.27655,1.29085,1.272105,1.28745,NaN,NaN
2006-08-07,1.28725,1.291285,1.271675,1.27193,NaN,NaN
2006-08-14,1.27245,1.288755,1.269455,1.28245,NaN,NaN
2006-08-21,1.28255,1.293805,1.272675,1.27525,NaN,NaN
2006-08-28,1.2766,1.287985,1.275125,1.2834,NaN,NaN
2006-09-04,1.28425,1.287405,1.265205,1.26732,NaN,NaN
2006-09-11,1.26725,1.27527,1.26316,1.2664,NaN,NaN
2006-09-18,1.26435,1.283045,1.26315,1.2784,NaN,NaN
2006-09-25,1.27875,1.281955,1.263945,1.26735,NaN,NaN
2006-10-02,1.2685,1.276505,1.257305,1.26009,NaN,NaN
2006-10-09,1.2595,1.261435,1.248305,1.25135,NaN,NaN
2006-10-16,1.25055,1.264155,1.248995,1.26179,1,NaN
2006-10-23,1.26175,1.275005,1.252525,1.27409,1,NaN
2006-10-30,1.2734,1.279905,1.267905,1.27175,1,NaN
2006-11-06,1.2717,1.290075,1.269025,1.28406,1,NaN
2006-11-13,1.2846,1.287805,1.276305,1.28275,1,NaN
2006-11-20,1.2829,1.310995,1.279885,1.3094,1,NaN
2006-11-27,1.3166,1.334775,1.308565,1.33385,1,NaN
2006-12-04,1.3334,1.3367,1.31926,1.32025,1,NaN
