time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-31,69.235,69.535,68.29,69.135,NaN,NaN
2004-06-07,69.16,69.445,68.235,69.215,NaN,NaN
2004-06-14,69.275,69.88,68.195,68.235,NaN,NaN
2004-06-21,68.225,68.64,67.73,68.375,NaN,NaN
2004-06-28,68.435,70.115,68.275,70.115,NaN,NaN
2004-07-05,70.185,71.51,70.185,71.065,NaN,NaN
2004-07-12,70.925,71.645,70.925,71.645,NaN,NaN
2004-07-19,71.785,71.785,70.005,70.005,NaN,NaN
2004-07-26,69.975,70.965,69.61,70.915,NaN,NaN
2004-08-02,70.82,72.045,70.82,72.045,NaN,NaN
2004-08-09,72.105,73.775,72.105,73.775,NaN,NaN
2004-08-16,73.295,73.46,72.64,73.375,NaN,NaN
2004-08-23,73.415,73.415,71.02,71.645,NaN,NaN
2004-08-30,71.595,71.81,71.015,71.375,NaN,NaN
2004-09-06,71.435,71.815,70.8,71.815,NaN,NaN
2004-09-13,71.855,72.57,71.855,72.545,NaN,NaN
2004-09-20,72.585,73.975,72.585,73.975,NaN,NaN
2004-09-27,73.875,74.585,73.875,74.585,NaN,NaN
2004-10-04,74.425,75.285,74.31,75.055,NaN,NaN
2004-10-11,74.905,75.155,74.27,75.155,NaN,NaN
2004-10-18,74.935,74.935,74.29,74.49,NaN,NaN
2004-10-25,74.755,74.76,72.635,72.635,NaN,NaN
2004-11-01,72.665,73.395,72.665,73.395,NaN,NaN
2004-11-08,73.37,73.37,72.91,73.185,NaN,NaN
2004-11-15,73.295,73.77,73.085,73.085,NaN,NaN
2004-11-22,73.205,73.59,73.085,73.545,NaN,NaN
2004-11-29,73.585,73.89,73.58,73.635,NaN,NaN
2004-12-06,73.695,74.395,73.695,74.095,NaN,NaN
2004-12-13,73.935,74.89,73.935,74.435,1,NaN
2004-12-20,74.285,74.59,73.825,74.395,1,NaN
2004-12-27,74.345,74.43,73.545,73.545,1,NaN
2005-01-03,73.835,73.845,72.63,72.815,1,NaN
2005-01-10,72.805,72.96,71.075,71.355,1,NaN
2005-01-17,71.335,73.815,70.795,73.415,1,NaN
2005-01-24,73.305,74.295,73.145,73.615,1,NaN
2005-01-31,73.605,74.445,73.5,73.945,1,NaN
2005-02-07,74.005,75.57,73.34,75.495,NaN,NaN
2005-02-14,75.275,76.705,74.605,76.405,NaN,NaN
2005-02-21,76.425,76.865,75.565,76.015,NaN,NaN
2005-02-28,75.945,77.125,75.585,76.805,NaN,NaN
2005-03-07,76.815,77.595,76.01,76.935,NaN,NaN
2005-03-14,76.775,78.065,76.745,78.015,NaN,NaN
2005-03-21,77.825,77.945,75.665,75.995,NaN,NaN
2005-03-28,75.955,76.615,75.52,76.205,NaN,-1
2005-04-04,76.255,77.83,76.035,77.545,NaN,-1
2005-04-11,77.555,78.425,77.035,77.185,NaN,-1
2005-04-18,77.135,78.205,76.695,77.605,NaN,-1
2005-04-25,77.135,77.635,76.08,76.625,NaN,-1
2005-05-02,76.685,77.26,76.085,77.035,NaN,-1
2005-05-09,76.975,77.455,76.25,76.385,NaN,-1
2005-05-16,76.415,76.785,75.35,76.695,NaN,-1
2005-05-23,76.585,77.295,76.235,77.235,NaN,NaN
2005-05-30,77.065,77.16,75.235,75.395,NaN,-1
2005-06-06,75.315,76.785,75.275,76.715,NaN,-1
2005-06-13,76.705,78.175,76.635,77.855,NaN,-1
2005-06-20,77.96,78.4,76.65,76.925,NaN,-1
2005-06-27,77.055,77.625,76.015,76.455,NaN,-1
2005-07-04,76.335,76.395,75.115,75.535,NaN,-1
2005-07-11,75.675,76.21,75.12,75.625,NaN,-1
2005-07-18,75.495,76.815,75.38,76.335,NaN,-1
2005-07-25,76.135,76.865,76.015,76.565,NaN,NaN
2005-08-01,76.485,77.395,76.395,77.335,NaN,-1
