time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-06,127.15,128.92,127.15,127.63,NaN,NaN
2002-05-13,127.62,128.54,125.93,125.93,NaN,NaN
2002-05-20,125.94,125.94,124.17,124.72,NaN,NaN
2002-05-27,124.85,124.85,123.4,124.2,NaN,NaN
2002-06-03,124.25,124.4,123.61,124.38,NaN,NaN
2002-06-10,124.41,125.7,124.15,124.15,NaN,NaN
2002-06-17,124.09,124.37,121.39,121.39,NaN,NaN
2002-06-24,121.39,121.875,119.48,119.48,NaN,NaN
2002-07-01,119.61,120.39,119.61,120.39,NaN,NaN
2002-07-08,120.05,120.05,116.85,116.85,NaN,NaN
2002-07-15,116.88,116.88,115.88,115.88,NaN,NaN
2002-07-22,115.84,118.81,115.84,118.81,NaN,NaN
2002-07-29,118.8,120.19,118.8,118.9,NaN,NaN
2002-08-05,118.85,121,118.85,120.1,NaN,NaN
2002-08-12,120.16,120.16,117.32,117.72,NaN,NaN
2002-08-19,117.7,119.94,117.7,119.61,NaN,NaN
2002-08-26,119.59,119.74,118.16,118.33,NaN,NaN
2002-09-02,118.45,118.45,117.095,118.36,NaN,NaN
2002-09-09,118.57,121.74,118.57,121.74,NaN,NaN
2002-09-16,121.88,123.29,121.44,123.29,NaN,NaN
2002-09-23,123.4,123.95,122.255,122.54,NaN,NaN
2002-09-30,122.58,123.18,121.66,123.18,NaN,NaN
2002-10-07,123.18,124.355,123.18,124.03,NaN,NaN
2002-10-14,124.14,125.53,124.14,125.53,NaN,NaN
2002-10-21,125.41,125.41,124.31,124.31,NaN,NaN
2002-10-28,124.2,124.2,122.21,122.21,NaN,-1
2002-11-04,122.12,122.22,119.82,119.82,NaN,-1
2002-11-11,119.85,120.485,119.535,120.46,NaN,-1
2002-11-18,120.45,122.8,120.45,122.8,NaN,-1
2002-11-25,122.9,122.9,121.625,122.54,NaN,-1
2002-12-02,122.59,124.845,122.59,123.56,NaN,-1
2002-12-09,123.35,123.795,120.56,120.56,NaN,-1
2002-12-16,120.48,121.35,120.46,120.48,NaN,-1
2002-12-23,120.3,120.44,119.89,119.89,NaN,NaN
2002-12-30,119.87,120.03,118.73,119.74,NaN,NaN
2003-01-06,119.73,120.435,119.105,119.15,NaN,NaN
2003-01-13,119.18,119.18,117.7,117.7,NaN,NaN
2003-01-20,117.82,118.255,117.82,117.83,NaN,NaN
2003-01-27,117.85,119.88,117.85,119.88,NaN,NaN
2003-02-03,119.67,120.28,119.67,120.28,NaN,NaN
2003-02-10,120.41,121.285,120.32,120.32,NaN,NaN
2003-02-17,120.45,120.45,118.305,118.74,NaN,NaN
2003-02-24,118.82,118.82,117.085,118.11,NaN,NaN
2003-03-03,118.19,118.19,117.07,117.07,NaN,NaN
2003-03-10,117.08,118.535,116.825,118.32,NaN,NaN
2003-03-17,118.23,121.5,118.23,121.5,NaN,NaN
2003-03-24,121.17,121.17,119.74,119.74,NaN,NaN
2003-03-31,119.84,119.96,117.975,119.96,NaN,NaN
2003-04-07,120.39,120.52,119.665,120.52,NaN,NaN
2003-04-14,120.54,120.54,119.555,119.77,NaN,NaN
2003-04-21,119.69,120.47,119.69,120.19,NaN,NaN
2003-04-28,120.23,120.465,118.545,119.05,NaN,NaN
2003-05-05,119.03,119.03,116.45,117.42,NaN,NaN
2003-05-12,117.27,117.27,116.06,116.06,NaN,NaN
2003-05-19,115.45,117.495,115.45,116.87,NaN,NaN
2003-05-26,116.83,119.32,116.83,119.32,NaN,NaN
2003-06-02,119.64,119.64,117.745,118.66,NaN,NaN
2003-06-09,118.75,118.75,117.43,117.43,NaN,NaN
2003-06-16,117.4,118.39,117.4,118.39,NaN,NaN
2003-06-23,118.5,119.57,117.785,119.57,NaN,NaN
2003-06-30,119.62,119.755,118.06,118.06,NaN,NaN
2003-07-07,118.06,118.205,117.68,117.87,NaN,NaN
2003-07-14,117.76,118.8,117.76,118.45,NaN,NaN
2003-07-21,118.56,119.155,118.415,118.77,NaN,NaN
2003-07-28,119.01,120.545,119.01,120.14,NaN,NaN
2003-08-04,120.19,120.325,118.945,119.08,NaN,NaN
2003-08-11,119.13,119.165,118.595,119.13,NaN,NaN
2003-08-18,119.22,119.455,117.56,117.56,NaN,NaN
2003-08-25,117.66,117.66,116.93,116.93,NaN,NaN
2003-09-01,116.76,116.82,115.885,116.82,NaN,NaN
2003-09-08,116.83,117.29,116.83,117.29,NaN,NaN
2003-09-15,117.28,117.475,113.94,113.94,NaN,NaN
2003-09-22,112.62,112.62,111.73,111.73,NaN,NaN
2003-09-29,111.77,111.77,110.675,110.88,NaN,NaN
2003-10-06,110.99,110.99,108.68,108.68,NaN,NaN
2003-10-13,108.49,109.955,108.49,109.37,NaN,NaN
2003-10-20,109.08,110.385,108.985,109.25,NaN,NaN
2003-10-27,109.26,109.93,108.255,109.93,NaN,NaN
2003-11-03,109.86,111.175,109.3,109.3,NaN,NaN
2003-11-10,109.29,109.29,108.155,108.31,NaN,NaN
2003-11-17,108.27,109.275,108.075,108.77,NaN,NaN
2003-11-24,108.79,109.61,108.79,109.61,NaN,NaN
2003-12-01,109.69,109.69,107.69,107.69,NaN,NaN
2003-12-08,107.75,108.265,107.025,107.74,NaN,NaN
2003-12-15,108.305,108.305,107.415,107.84,NaN,NaN
2003-12-22,107.66,107.66,107.28,107.48,1,NaN
2003-12-29,107.33,107.39,106.915,106.94,1,NaN
2004-01-05,107.06,107.06,106.185,106.37,1,NaN
2004-01-12,106.72,106.72,106.215,106.72,1,NaN
2004-01-19,106.68,107.255,106.005,106.52,1,NaN
2004-01-26,106.57,106.57,105.635,105.76,1,NaN
2004-02-02,105.68,105.905,105.455,105.455,1,NaN
2004-02-09,105.71,105.71,105.375,105.46,1,NaN
2004-02-16,105.51,109.07,105.475,109.07,NaN,NaN
2004-02-23,109.04,109.645,108.165,108.96,NaN,NaN
2004-03-01,109.07,112.06,108.955,112.06,NaN,NaN
2004-03-08,112.04,112.04,110.775,110.88,NaN,NaN
2004-03-15,110.73,110.73,106.76,106.76,NaN,NaN
2004-03-22,106.81,106.81,105.95,105.95,NaN,-1
2004-03-29,105.85,105.85,103.715,104.54,NaN,-1
2004-04-05,104.52,106.45,104.52,106.45,NaN,-1
2004-04-12,106.31,108.655,105.385,107.82,NaN,-1
2004-04-19,107.74,109.415,107.74,108.97,NaN,-1
2004-04-26,108.96,110.52,108.595,110.52,NaN,-1
2004-05-03,110.43,112.22,108.695,112.22,NaN,-1
2004-05-10,112.3,114.505,112.3,114.25,NaN,-1
2004-05-17,114.195,114.325,112.29,112.29,NaN,NaN
2004-05-24,112.09,112.935,110.21,110.21,NaN,NaN
2004-05-31,110.4,111.15,109.525,111.15,NaN,NaN
2004-06-07,110.96,110.96,109.335,110.08,NaN,NaN
