time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2008-09-08,0.875805,0.882895,0.86476,0.86929,,
2008-09-09,0.86929,0.87064,0.856655,0.859615,,
2008-09-10,0.859615,0.868235,0.855145,0.858545,,
2008-09-11,0.858545,0.868365,0.84994,0.86775,,
2008-09-12,0.86775,0.87604,0.860215,0.8732,,
2008-09-15,0.87055,0.87437,0.85875,0.863605,,
2008-09-16,0.863605,0.864685,0.839175,0.85464,,
2008-09-17,0.85464,0.86154,0.84134,0.84871,,
2008-09-18,0.84871,0.860505,0.840275,0.853425,,
2008-09-19,0.853425,0.881385,0.848335,0.87233,,
2008-09-22,0.875865,0.881105,0.86883,0.874345,,
2008-09-23,0.874345,0.875675,0.86049,0.864875,,
2008-09-24,0.864875,0.87053,0.859365,0.86641,,
2008-09-25,0.86641,0.87174,0.86126,0.864285,,
2008-09-26,0.864285,0.86566,0.854005,0.858945,,
2008-09-29,0.85581,0.863155,0.834385,0.84119,,
2008-09-30,0.84119,0.849915,0.83008,0.843535,,
2008-10-01,0.843535,0.849395,0.83499,0.83674,,
2008-10-02,0.83674,0.84494,0.828805,0.8335,,
2008-10-03,0.8335,0.84434,0.83242,0.83804,,
2008-10-06,0.83562,0.83786,0.770115,0.794175,,
2008-10-07,0.794175,0.80678,0.77129,0.780505,,
2008-10-08,0.780505,0.790115,0.716895,0.74969,,
2008-10-09,0.74969,0.809735,0.74723,0.78697,,
2008-10-10,0.78697,0.79439,0.753035,0.755015,,
2008-10-14,0.755,0.75505,0.755,0.755,,
2008-10-15,0.755,0.8029,0.755,0.7883,,
2008-10-16,0.7883,0.8174,0.7791,0.8141,,
2008-10-17,0.8141,0.8295,0.7982,0.8192,,
2008-10-20,0.8219,0.8413,0.8153,0.8385,,
2008-10-21,0.8385,0.8405,0.8135,0.8146,,
2008-10-22,0.8146,0.8493,0.8143,0.8439,,
2008-10-23,0.8439,0.8475,0.8217,0.8352,,
2008-10-24,0.8352,0.8398,0.7618,0.7886,,
2008-10-27,0.7886,0.79675,0.7765,0.7791,,
2008-10-28,0.7791,0.82625,0.7788,0.8165,,
2008-10-29,0.8165,0.8293,0.8093,0.81735,,
2008-10-30,0.81735,0.8322,0.80695,0.81905,,
2008-10-31,0.81905,0.82025,0.7941,0.8097,,
2008-11-03,0.808,0.8192,0.79575,0.7991,,
2008-11-04,0.7991,0.8109,0.7835,0.8038,,
2008-11-05,0.8038,0.8132,0.7919,0.7971,,
2008-11-06,0.7971,0.80895,0.7859,0.7975,,
2008-11-07,0.7975,0.8066,0.7855,0.80185,,
2008-11-10,0.80785,0.82245,0.79525,0.7998,,
2008-11-11,0.7998,0.8068,0.782,0.7934,,
2008-11-12,0.7934,0.8025,0.7847,0.793,,
2008-11-13,0.793,0.8109,0.78525,0.8068,,
2008-11-14,0.8068,0.8138,0.78915,0.80235,,
2008-11-17,0.78903,0.80538,0.78834,0.7953,,
2008-11-18,0.7953,0.80713,0.78903,0.80328,,
2008-11-19,0.80328,0.81192,0.79233,0.79859,,
2008-11-20,0.79859,0.80473,0.78432,0.79285,,
2008-11-21,0.79285,0.80905,0.78783,0.80112,,
2008-11-24,0.80308,0.810105,0.794125,0.8059,,
2008-11-25,0.8059,0.80706,0.785685,0.7951,,
2008-11-26,0.7951,0.80609,0.78881,0.80347,,
2008-11-27,0.80347,0.8154,0.79621,0.80889,,
2008-11-28,0.80889,0.81507,0.80433,0.81175,,
