time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2008-08-18,104.285,104.4585,103.3245,103.4455,,
2008-08-19,103.4455,103.5485,102.9035,103.3765,,
2008-08-20,103.3765,104.125,103.1225,103.6515,,
2008-08-21,103.6515,104.0405,102.603,103.9655,,
2008-08-22,103.9655,105.3105,103.7925,105.12,,
2008-08-25,104.912,105.2485,103.8775,103.9645,,
2008-08-26,103.9645,105.4175,103.7225,104.528,,
2008-08-27,104.528,104.9975,104.0505,104.6755,,
2008-08-28,104.6755,104.922,103.8865,104.159,,
2008-08-29,104.159,104.303,102.095,102.269,,
2008-09-01,102.074,102.262,100.8635,101.3715,,
2008-09-02,101.3715,102.1085,100.8645,101.7615,,
2008-09-03,101.7615,102.6355,100.7065,101.9015,,
2008-09-04,101.9015,102.8815,100.0685,100.0935,,
2008-09-05,100.0935,101.436,98.5945,101.397,,
2008-09-08,102.679,103.268,100.6905,101.6775,,
2008-09-09,101.6775,101.9805,99.5535,99.6935,,
2008-09-10,99.6935,100.9495,99.4665,100.5215,,
2008-09-11,100.5215,100.6445,98.3825,99.6535,,
2008-09-12,99.6535,101.897,99.4095,101.821,,
2008-09-15,99.447,100.393,97.711,97.772,,
2008-09-16,97.772,99.68,96.498,98.903,,
2008-09-17,98.903,99.934,96.807,97.525,,
2008-09-18,97.525,99.766,97.035,99.446,,
2008-09-19,99.446,102.803,99.297,102.71,,
2008-09-22,102.027,103.126,101.1795,101.863,,
2008-09-23,101.863,102.586,101.41,101.66,,
2008-09-24,101.66,102.904,101.548,102.17,,
2008-09-25,102.17,103.455,101.813,102.971,,
2008-09-26,102.971,103.109,101.5175,102.57,,
2008-09-29,102.618,103.132,99.617,99.622,,
2008-09-30,99.622,100.839,98.701,99.687,,
2008-10-01,99.687,100.675,99.1,99.4795,,
2008-10-02,99.4795,99.8405,97.3625,97.608,,
2008-10-03,97.608,98.68,96.857,97.271,,
2008-10-06,96.929,97.199,90.608,92.614,,
2008-10-07,92.614,94.158,91.241,91.753,,
2008-10-08,91.753,92.169,87.88,87.88,,
2008-10-09,87.88,90.641,86.608,86.799,,
2008-10-10,86.799,87.028,82.124,85.813,,
2008-10-13,86.293,88.978,84.438,88.902,,
2008-10-14,88.902,91.0455,87.4405,87.8145,,
2008-10-15,87.8145,88.18,83.888,83.888,,
2008-10-16,83.888,86.216,83.258,86.205,,
2008-10-17,86.205,86.494,84.331,85.98,,
2008-10-20,85.968,87.145,84.812,85.5345,,
2008-10-21,85.5345,85.71,82.167,82.467,,
2008-10-22,82.467,83.054,77.235,77.889,,
2008-10-23,77.889,78.251,76.123,78.064,,
2008-10-24,78.064,78.85,70.9805,73.816,,
2008-10-27,73.277,74.266,71.1105,71.631,,
2008-10-28,71.631,77.035,71.25,76.995,,
2008-10-29,76.995,80.6935,74.771,79.604,,
2008-10-30,79.604,83.02,79.389,82.141,,
2008-10-31,82.141,82.63,78.174,81.203,,
2008-11-03,81.522,84.0575,81.066,83.9005,,
2008-11-04,83.9005,87.4945,82.8695,86.684,,
2008-11-05,86.684,86.958,83.68,83.728,,
2008-11-06,83.728,84.332,81.434,81.584,,
2008-11-07,81.584,84.2005,80.54,82.585,,
2008-11-10,84.347,85.258,81.44,82.06,,
2008-11-11,82.06,82.386,80.454,80.898,,
2008-11-12,80.898,81.83,76.443,76.733,,
2008-11-13,76.733,81.0575,76.165,80.668,,
2008-11-14,80.668,80.975,78.25,78.444,,
2008-11-17,77.412,80.2455,77.243,78.66,,
2008-11-18,78.66,79.603,77.795,78.813,,
2008-11-19,78.813,79.009,76.259,76.293,,
2008-11-20,76.293,76.668,72.15,72.235,,
2008-11-21,72.235,75.756,72.198,75.754,,
2008-11-24,75.625,79.04,74.37,79,,
2008-11-25,79,79.391,76.703,77.752,,
2008-11-26,77.752,78.298,76.475,77.626,,
2008-11-27,77.626,77.982,77.0175,77.254,,
2008-11-28,77.254,77.583,76.387,77.05,,
2008-12-01,77.193,77.29,74.643,74.65,,
2008-12-02,74.65,75.5075,73.9355,74.747,,
2008-12-03,74.747,75.085,73.177,74.51,,
2008-12-04,74.51,74.628,72.034,72.29,,
2008-12-05,72.29,73.4635,70.5805,73.045,,
2008-12-08,73.063,74.9685,72.7,74.23,,
2008-12-09,74.23,74.356,72.5315,72.96,,
2008-12-10,72.96,74.244,72.94,73.798,,
2008-12-11,73.798,75.6305,73.1175,73.977,,
2008-12-12,73.977,74.502,70.958,73.071,,
2008-12-15,73.3,74.128,72.684,73.479,,-1
2008-12-16,73.479,74.437,72.727,74.105,,-1
2008-12-17,74.105,74.254,72.3765,73.208,,-1
2008-12-18,73.208,75.513,73.096,74.216,,-1
2008-12-19,74.216,74.569,71.513,73.503,,-1
2008-12-22,73.29,75.008,73.278,73.853,,-1
2008-12-23,73.853,74.995,73.543,74.602,,-1
2008-12-24,74.602,75.057,74.018,74.524,,-1
2008-12-25,74.524,74.582,74.143,74.353,,
2008-12-26,74.353,74.75,74.05,74.341,,
2008-12-29,74.353,74.974,73.653,74.275,,
2008-12-30,74.275,74.808,73.076,74.254,,
2008-12-31,74.254,74.978,73.217,74.242,,
2009-01-01,74.242,74.442,74.168,74.353,,
2009-01-02,74.353,76.258,74.118,76.223,,
2009-01-05,76.238,78.692,75.689,78.565,,
