time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2009-08-28,88.272,88.922,88.2,88.322,,-1
2009-08-31,88.069,88.265,87.214,87.94,,-1
2009-09-01,87.94,88.44,86.962,87.218,,-1
2009-09-02,87.218,87.354,86.419,86.916,,-1
2009-09-03,86.916,87.5825,86.6815,87.182,,-1
2009-09-04,87.182,87.9235,86.7875,87.685,,-1
2009-09-07,87.682,88.294,87.547,87.818,,-1
2009-09-08,87.818,88.326,87.426,88.164,,-1
2009-09-09,88.164,88.6025,88.0675,88.402,,
2009-09-10,88.402,88.6835,87.9045,88.338,1,
2009-09-11,88.338,88.392,86.948,87.35,1,
2009-09-14,87.151,87.978,86.8865,87.9,1,
2009-09-15,87.9,88.252,87.605,87.975,1,
2009-09-16,87.975,88.3065,87.1925,88.1065,1,
2009-09-17,88.1065,88.776,87.8195,88.576,1,
2009-09-18,88.576,88.884,88.189,88.676,1,
2009-09-21,88.679,89.281,88.586,89.038,1,
2009-09-22,89.038,89.371,88.819,89.002,,
2009-09-23,89.002,89.365,88.54,88.903,,
2009-09-24,88.903,89.058,88.197,88.635,,
2009-09-25,88.635,88.781,87.138,87.242,,
2009-09-28,87.192,87.307,85.934,86.817,,
2009-09-29,86.817,87.257,86.453,86.9435,,
2009-09-30,86.9435,87.3185,85.939,86.583,,
2009-10-01,86.583,86.93,85.8255,86.1135,,
2009-10-02,86.1135,86.9155,85.4065,86.754,,
2009-10-05,86.527,87.157,86.456,86.749,,
2009-10-06,86.749,87.104,86.377,86.5005,,
2009-10-07,86.5005,86.5615,85.577,85.79,,
2009-10-08,85.79,86.334,85.67,86.1735,,
2009-10-09,86.1735,87.114,86.1035,87.05,,
2009-10-12,86.803,87.83,86.798,87.464,,
2009-10-13,87.464,87.963,87.3595,87.81,,
2009-10-14,87.81,88.211,87.142,88.127,,
2009-10-15,88.127,89.3175,88.021,89.249,,
2009-10-16,89.249,89.683,88.988,89.265,,
2009-10-19,89.357,89.703,88.808,89.532,,
2009-10-20,89.532,89.751,89.124,89.7265,,
2009-10-21,89.7265,90.713,89.4345,90.435,,
2009-10-22,90.435,90.9425,90.1995,90.874,,
2009-10-23,90.874,91.442,90.836,91.256,,
2009-10-26,91.323,91.5585,90.3335,90.545,1,
2009-10-27,90.545,90.678,89.652,89.833,1,
2009-10-28,89.833,89.9,88.183,88.356,1,
2009-10-29,88.356,90.0095,87.9335,89.684,1,
2009-10-30,89.684,89.97,87.657,87.778,1,
2009-11-02,87.437,89.1395,86.788,88.303,1,
2009-11-03,88.303,88.7485,87.121,88.0745,1,
2009-11-04,88.0745,89.9375,87.661,89.293,1,
2009-11-05,89.293,89.54,88.3125,89.267,,
2009-11-06,89.267,89.425,88.1725,88.346,,-1
2009-11-09,88.701,89.422,88.271,89.234,,-1
2009-11-10,89.234,89.5875,88.7695,89.114,,-1
2009-11-11,89.114,89.6235,88.608,89.186,,-1
2009-11-12,89.186,89.414,88.642,88.8235,,-1
2009-11-13,88.8235,88.9675,87.9985,88.537,,-1
2009-11-16,88.51,89.012,88.27,88.393,,-1
2009-11-17,88.393,88.542,87.6125,87.8435,,-1
2009-11-18,87.8435,88.693,87.7075,88.4415,,
2009-11-19,88.4415,88.521,87.1025,87.8335,,
2009-11-20,87.8335,87.936,87.096,87.31,,
2009-11-23,87.222,88.4205,87.138,88.084,,
2009-11-24,88.084,88.196,87.337,87.7315,,
2009-11-25,87.7315,87.913,87.147,87.6585,,
2009-11-26,87.6585,87.839,85.9565,86.363,,
2009-11-27,86.363,86.415,84.248,86.021,,
2009-11-30,86.25,86.781,85.5465,85.9495,,
2009-12-01,85.9495,87.06,85.727,86.7285,,
2009-12-02,86.7285,87.536,86.675,87.2045,,
2009-12-03,87.2045,88.55,87.1775,88.1615,,
2009-12-04,88.1615,89.157,87.964,89.069,,
2009-12-07,88.696,88.98,87.5985,87.7895,1,
2009-12-08,87.7895,87.8005,85.8615,86.1055,1,
2009-12-09,86.1055,86.384,85.2635,85.5705,1,
2009-12-10,85.5705,86.236,85.322,85.9645,1,
2009-12-11,85.9645,87.02,85.951,86.132,1,
2009-12-14,86.007,86.3685,85.3865,85.9105,1,
2009-12-15,85.9105,86.419,85.646,86.1355,1,
2009-12-16,86.1355,86.603,85.869,86.4565,1,
2009-12-17,86.4565,86.585,85.567,85.8765,,
2009-12-18,85.8765,86.9005,85.317,86.776,,
2009-12-21,86.823,87.2555,86.3775,87.1565,,
2009-12-22,87.1565,87.6175,86.994,87.552,,
2009-12-23,87.552,88.27,87.333,88.202,,
2009-12-24,88.202,88.5935,87.8,88.241,,
2009-12-25,88.241,88.461,88.03,88.287,,
2009-12-28,88.299,88.663,88.133,88.5535,,
2009-12-29,88.5535,89.213,88.486,88.7455,,
2009-12-30,88.7455,89.353,88.556,89.1705,,
2009-12-31,89.1705,90.091,89.1275,89.834,,
2010-01-04,89.665,90.066,89.323,89.8175,,
2010-01-05,89.8175,89.906,88.4315,88.7325,,
2010-01-06,88.7325,90.116,88.433,89.8335,,
2010-01-07,89.8335,90.3515,89.444,90.2855,,
2010-01-08,90.2855,90.6235,89.301,90.489,,
2010-01-11,90.564,91.04,90.368,90.5855,,
2010-01-12,90.5855,90.6875,89.191,89.3125,,
2010-01-13,89.3125,90.0565,89.186,89.7435,,
2010-01-14,89.7435,90.338,89.0915,89.5505,,
2010-01-15,89.5505,89.633,88.2045,88.528,,
2010-01-18,88.328,88.7805,88.1975,88.598,,
2010-01-19,88.598,88.667,87.818,88.2725,,
2010-01-20,88.2725,88.332,86.9845,87.3975,,
2010-01-21,87.3975,87.978,86.459,86.7235,,
2010-01-22,86.7235,87.173,86.139,86.254,,
2010-01-25,86.765,87.06,86.27,86.8385,,
2010-01-26,86.8385,87.23,85.3065,85.6825,,
2010-01-27,85.6825,85.8345,85.0795,85.7075,,
2010-01-28,85.7075,86.305,85.07,85.4615,,
2010-01-29,85.4615,86.457,85.018,85.096,,
2010-02-01,84.781,85.9215,84.757,85.7725,,
2010-02-02,85.7725,86.057,85.456,85.6795,,
2010-02-03,85.6795,86.212,85.468,85.8675,,
2010-02-04,85.8675,85.9875,82.9595,83.4575,,
2010-02-05,83.4575,84.215,82.337,83.221,,
2010-02-08,83.287,83.682,82.865,83.1495,,
