time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2009-07-28,1.53868,1.54208,1.53193,1.53206,,
2009-07-29,1.53206,1.54011,1.52594,1.53069,,
2009-07-30,1.53069,1.53347,1.51863,1.525,,
2009-07-31,1.525,1.54085,1.522265,1.53628,,
2009-08-03,1.53609,1.54004,1.52541,1.53603,,
2009-08-04,1.53603,1.54942,1.53243,1.54541,,
2009-08-05,1.54541,1.551955,1.53901,1.54204,,
2009-08-06,1.54204,1.54854,1.5383,1.54599,,
2009-08-07,1.54599,1.559355,1.531995,1.5337,,
2009-08-10,1.53583,1.54221,1.53146,1.53946,,
2009-08-11,1.53946,1.56059,1.53707,1.55894,,
2009-08-12,1.55894,1.56448,1.54303,1.54533,,
2009-08-13,1.54533,1.55696,1.54058,1.55398,,
2009-08-14,1.55398,1.56191,1.54297,1.55978,,
2009-08-17,1.5599,1.567505,1.55483,1.56117,,-1
2009-08-18,1.56117,1.563435,1.55525,1.55627,,-1
2009-08-19,1.55627,1.5701,1.55604,1.55802,,-1
2009-08-20,1.55802,1.56337,1.54763,1.5493,,-1
2009-08-21,1.5493,1.556,1.5435,1.54887,,-1
2009-08-24,1.55009,1.55063,1.53658,1.53936,,-1
2009-08-25,1.53936,1.555345,1.537265,1.55384,,-1
2009-08-26,1.55384,1.56537,1.5507,1.56413,,-1
2009-08-27,1.56413,1.568375,1.554435,1.55966,,
2009-08-28,1.55966,1.56385,1.55003,1.56117,,-1
2009-08-31,1.56215,1.58509,1.5583,1.56765,,-1
2009-09-01,1.56765,1.57155,1.561645,1.5707,,-1
2009-09-02,1.5707,1.58017,1.56514,1.57635,,-1
2009-09-03,1.57635,1.5794,1.57049,1.57049,,-1
2009-09-04,1.57049,1.57333,1.54936,1.55637,,-1
2009-09-07,1.55437,1.55689,1.5404,1.54521,,-1
2009-09-08,1.54521,1.56866,1.542745,1.56107,,-1
2009-09-09,1.56107,1.57613,1.55954,1.56985,,
2009-09-10,1.56985,1.58418,1.56955,1.57073,1,
2009-09-11,1.57073,1.57422,1.56567,1.56882,1,
2009-09-14,1.57319,1.59072,1.5711,1.58288,1,
2009-09-15,1.58288,1.58806,1.571165,1.571835,1,
2009-09-16,1.571835,1.574795,1.5648,1.567855,1,
2009-09-17,1.567855,1.572115,1.562265,1.569495,1,
2009-09-18,1.569495,1.580115,1.569085,1.57287,1,
2009-09-21,1.57283,1.58951,1.57035,1.58387,1,
2009-09-22,1.58387,1.58676,1.5768,1.58136,,
2009-09-23,1.58136,1.58746,1.57708,1.58322,,
2009-09-24,1.58322,1.60178,1.58047,1.59748,,
2009-09-25,1.59748,1.60702,1.59566,1.60251,,
2009-09-28,1.60418,1.60969,1.58554,1.58589,,
2009-09-29,1.58589,1.58942,1.578465,1.58216,,
2009-09-30,1.58216,1.582985,1.56387,1.56608,,
2009-10-01,1.56608,1.576645,1.556115,1.57656,,
2009-10-02,1.57656,1.58843,1.57336,1.57382,,
2009-10-05,1.57717,1.5801,1.56604,1.56654,,
2009-10-06,1.56654,1.5743,1.55516,1.55961,,
2009-10-07,1.55961,1.56148,1.55059,1.55903,,
2009-10-08,1.55903,1.56589,1.55314,1.55612,,
2009-10-09,1.55612,1.55742,1.532085,1.53543,,
2009-10-12,1.53636,1.53723,1.523215,1.5288,,
2009-10-13,1.5288,1.53843,1.52494,1.53287,,
2009-10-14,1.53287,1.53593,1.52734,1.52793,,
2009-10-15,1.52793,1.546925,1.52587,1.54541,,
2009-10-16,1.54541,1.55056,1.53614,1.54563,,
2009-10-19,1.54665,1.54911,1.53671,1.53887,,
2009-10-20,1.53887,1.568755,1.53714,1.5684,,
2009-10-21,1.5684,1.57845,1.56014,1.56602,,
2009-10-22,1.56602,1.578345,1.56446,1.57477,,
2009-10-23,1.57477,1.58427,1.571765,1.58147,,
2009-10-26,1.57782,1.59123,1.57612,1.59038,1,
2009-10-27,1.59038,1.59468,1.57317,1.57626,1,
2009-10-28,1.57626,1.59075,1.57527,1.58971,1,
2009-10-29,1.58971,1.591945,1.58055,1.58085,1,
2009-10-30,1.58085,1.59946,1.58057,1.59664,1,
2009-11-02,1.59591,1.60029,1.58777,1.59107,1,
2009-11-03,1.59107,1.594805,1.56675,1.56977,1,
2009-11-04,1.56977,1.58276,1.56417,1.57945,1,
2009-11-05,1.57945,1.58644,1.57739,1.58385,,
2009-11-06,1.58385,1.59921,1.58046,1.59658,,-1
2009-11-09,1.59552,1.59818,1.5809,1.58313,,-1
2009-11-10,1.58313,1.58869,1.57055,1.57356,,-1
2009-11-11,1.57356,1.57509,1.56515,1.566,,-1
2009-11-12,1.566,1.57333,1.55978,1.56766,,-1
2009-11-13,1.56766,1.569905,1.561115,1.567,,-1
2009-11-16,1.57243,1.57332,1.56111,1.56818,,-1
2009-11-17,1.56818,1.579095,1.561835,1.56342,,-1
2009-11-18,1.56342,1.581185,1.56225,1.57819,,
2009-11-19,1.57819,1.59014,1.575335,1.58755,,
2009-11-20,1.58755,1.59347,1.58463,1.59111,,
2009-11-23,1.59046,1.59184,1.57873,1.57929,,
2009-11-24,1.57929,1.58794,1.57895,1.58363,,
2009-11-25,1.58363,1.58546,1.57559,1.58195,,
2009-11-26,1.58195,1.59371,1.58122,1.59066,,
2009-11-27,1.59066,1.601005,1.58471,1.59152,,
2009-11-30,1.58812,1.59434,1.58152,1.58487,,
2009-12-01,1.58487,1.5867,1.57259,1.57781,,
2009-12-02,1.57781,1.58221,1.57508,1.58134,,
2009-12-03,1.58134,1.59491,1.58064,1.59175,,
2009-12-04,1.59175,1.59322,1.561025,1.57195,,
2009-12-07,1.56921,1.5731,1.55702,1.55876,1,
2009-12-08,1.55876,1.56719,1.55693,1.56425,1,
2009-12-09,1.56425,1.568775,1.549725,1.55282,1,
2009-12-10,1.55282,1.5579,1.5449,1.54928,1,
2009-12-11,1.54928,1.552705,1.539625,1.54928,1,
2009-12-14,1.55104,1.560025,1.54596,1.55181,1,
2009-12-15,1.55181,1.5532,1.54002,1.5427,1,
2009-12-16,1.5427,1.54753,1.53992,1.54209,1,
2009-12-17,1.54209,1.54325,1.532465,1.5357,,
2009-12-18,1.5357,1.53961,1.523255,1.52895,,
2009-12-21,1.52654,1.53168,1.512025,1.51656,,
2009-12-22,1.51656,1.51947,1.502925,1.50673,,
2009-12-23,1.50673,1.50767,1.497575,1.5036,,
2009-12-24,1.5036,1.510435,1.50197,1.50973,,
