time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2011-03-30,1.29855,1.303885,1.296055,1.29742,1,
2011-03-31,1.29742,1.302425,1.293295,1.30114,,
2011-04-01,1.30114,1.317,1.301045,1.31536,1,
2011-04-04,1.31526,1.31855,1.308515,1.312725,1,
2011-04-05,1.312725,1.316695,1.305475,1.31615,1,
2011-04-06,1.31615,1.324325,1.3068,1.317035,1,
2011-04-07,1.317035,1.317045,1.30703,1.31127,1,
2011-04-08,1.31127,1.31883,1.30951,1.3128,1,
2011-04-11,1.31308,1.31666,1.306825,1.30875,1,
2011-04-12,1.30875,1.3097,1.296065,1.29869,1,
2011-04-13,1.29869,1.30439,1.29169,1.29455,,
2011-04-14,1.29455,1.29582,1.28449,1.293105,,
2011-04-15,1.293105,1.295005,1.28662,1.28766,,
2011-04-18,1.2868,1.288765,1.273,1.276045,,
2011-04-19,1.276045,1.291595,1.273005,1.28989,,
2011-04-20,1.28989,1.297305,1.28875,1.28977,,
2011-04-21,1.28977,1.2964,1.280085,1.28953,,
2011-04-22,1.28953,1.29269,1.28735,1.29067,,
2011-04-25,1.28951,1.291395,1.282215,1.284765,,
2011-04-26,1.284765,1.288015,1.279665,1.28166,,
2011-04-27,1.28166,1.293685,1.27502,1.2933,,
2011-04-28,1.2933,1.296515,1.290985,1.29491,,
2011-04-29,1.29491,1.29598,1.28106,1.28125,,
2011-05-02,1.28199,1.28799,1.27997,1.28328,,
2011-05-03,1.28328,1.28385,1.276325,1.2769,,
2011-05-04,1.2769,1.282965,1.273035,1.277795,,
2011-05-05,1.277795,1.2795,1.262935,1.26551,,
2011-05-06,1.26551,1.274825,1.25764,1.25859,,
2011-05-09,1.26192,1.262825,1.248415,1.25228,1,
2011-05-10,1.25228,1.268815,1.24887,1.26761,1,
2011-05-11,1.26761,1.27016,1.25891,1.25983,1,
2011-05-12,1.25983,1.26162,1.255085,1.25937,1,
2011-05-13,1.25937,1.26937,1.25777,1.26054,1,
2011-05-16,1.25821,1.26145,1.25182,1.25192,1,
2011-05-17,1.25192,1.25949,1.250575,1.25345,1,
2011-05-18,1.25345,1.25792,1.252045,1.25499,1,
2011-05-19,1.25499,1.264125,1.25335,1.26015,,
2011-05-20,1.26015,1.2646,1.24031,1.24266,,
2011-05-23,1.24238,1.24273,1.232335,1.24145,,
2011-05-24,1.24145,1.24686,1.23785,1.24137,,
2011-05-25,1.24137,1.2416,1.227085,1.22918,,
2011-05-26,1.22918,1.235995,1.22025,1.22412,,
2011-05-27,1.22412,1.22563,1.21013,1.21576,,
2011-05-30,1.21613,1.21838,1.21358,1.21725,,
2011-05-31,1.21725,1.23127,1.215335,1.2296,,
2011-06-01,1.2296,1.23184,1.20576,1.20639,,
2011-06-02,1.20639,1.22261,1.20546,1.22095,,
2011-06-03,1.22095,1.225155,1.210785,1.22038,,
2011-06-06,1.22048,1.22584,1.21593,1.21686,,
2011-06-07,1.21686,1.231245,1.21648,1.22875,,
2011-06-08,1.22875,1.22952,1.21755,1.21895,,
2011-06-09,1.21895,1.230355,1.21895,1.22069,,
2011-06-10,1.22069,1.223505,1.205935,1.20972,,
2011-06-13,1.20809,1.213885,1.20037,1.20662,,
2011-06-14,1.20662,1.22551,1.201195,1.22073,,
2011-06-15,1.22073,1.224575,1.208235,1.20941,,
2011-06-16,1.20941,1.21258,1.194695,1.20419,,
2011-06-17,1.20419,1.21458,1.198415,1.21417,,
2011-06-20,1.21258,1.21399,1.20175,1.21038,,
2011-06-21,1.21038,1.214805,1.206905,1.21135,,
2011-06-22,1.21135,1.21485,1.202715,1.20469,,
2011-06-23,1.20469,1.2073,1.184625,1.195775,,
2011-06-24,1.195775,1.19645,1.1806,1.18286,,
2011-06-27,1.18182,1.19573,1.18069,1.19301,,
2011-06-28,1.19301,1.195995,1.186365,1.195755,,
2011-06-29,1.195755,1.20593,1.19252,1.20423,,
2011-06-30,1.20423,1.224475,1.20304,1.218645,,
2011-07-01,1.218645,1.23339,1.218435,1.23178,,
2011-07-04,1.23334,1.234535,1.230255,1.23287,,
2011-07-05,1.23287,1.23391,1.20998,1.21312,,
2011-07-06,1.21312,1.217215,1.1967,1.20158,,
2011-07-07,1.20158,1.214365,1.19768,1.21281,,
2011-07-08,1.21281,1.21695,1.19089,1.1934,,
2011-07-11,1.19121,1.192265,1.16722,1.17269,,-1
2011-07-12,1.17269,1.17522,1.155275,1.16065,,-1
2011-07-13,1.16065,1.172235,1.15625,1.15824,,-1
2011-07-14,1.15824,1.164955,1.14929,1.15422,,-1
2011-07-15,1.15422,1.15984,1.14949,1.15392,,-1
2011-07-18,1.14178,1.15482,1.1405,1.15377,,-1
2011-07-19,1.15377,1.16886,1.15154,1.16646,,-1
2011-07-20,1.16646,1.169355,1.16067,1.16517,,-1
2011-07-21,1.16517,1.180185,1.160995,1.17541,,
2011-07-22,1.17541,1.18917,1.169285,1.17609,,
2011-07-25,1.16809,1.17166,1.15191,1.15872,,
2011-07-26,1.15872,1.166265,1.15396,1.16269,,
2011-07-27,1.16269,1.16473,1.150155,1.15175,,
2011-07-28,1.15175,1.153645,1.142305,1.14852,,
2011-07-29,1.14852,1.14919,1.12982,1.13133,,
2011-08-01,1.13809,1.14516,1.102635,1.11654,,
2011-08-02,1.11654,1.120545,1.08202,1.08272,,
2011-08-03,1.08272,1.11494,1.07959,1.10337,,
2011-08-04,1.10337,1.11395,1.075575,1.07654,,
2011-08-05,1.07654,1.0983,1.07093,1.09652,,
2011-08-08,1.09441,1.099275,1.061795,1.070555,,-1
2011-08-09,1.070555,1.08435,1.00707,1.03651,,-1
2011-08-10,1.03651,1.05246,1.025825,1.030085,,-1
2011-08-11,1.030085,1.09218,1.02565,1.084325,,-1
2011-08-12,1.084325,1.109465,1.06866,1.10829,,-1
2011-08-15,1.11758,1.14586,1.11513,1.13282,,-1
2011-08-16,1.13282,1.148355,1.11641,1.14697,,-1
2011-08-17,1.14697,1.155525,1.12219,1.13984,,-1
2011-08-18,1.13984,1.151615,1.124045,1.13811,,
2011-08-19,1.13811,1.13937,1.125375,1.13035,,
2011-08-22,1.13745,1.138265,1.126675,1.134725,,
2011-08-23,1.134725,1.1453,1.13145,1.14428,,
2011-08-24,1.14428,1.147505,1.137195,1.1472,,
2011-08-25,1.1472,1.151865,1.140055,1.14038,,
2011-08-26,1.14038,1.17359,1.13964,1.16899,,
2011-08-29,1.17055,1.19733,1.16917,1.183875,,
2011-08-30,1.183875,1.18972,1.175355,1.18433,,
2011-08-31,1.18433,1.185235,1.152555,1.158245,,
2011-09-01,1.158245,1.16202,1.132075,1.13435,,
2011-09-02,1.13435,1.13538,1.10025,1.1199,,
2011-09-05,1.11482,1.12003,1.101665,1.109755,,
2011-09-06,1.109755,1.21609,1.101935,1.20681,,
2011-09-07,1.20681,1.210965,1.20353,1.2089,,
2011-09-08,1.2089,1.21808,1.207405,1.2153,,
2011-09-09,1.2153,1.218685,1.2056,1.20752,,
2011-09-12,1.20623,1.20786,1.20319,1.2041,,
2011-09-13,1.2041,1.20516,1.20297,1.2042,,
2011-09-14,1.2042,1.20508,1.20234,1.20482,,
2011-09-15,1.20482,1.20923,1.20363,1.20647,,
2011-09-16,1.20647,1.209745,1.205285,1.20859,,
2011-09-19,1.20623,1.208,1.20507,1.20712,,
2011-09-20,1.20712,1.22146,1.20501,1.21599,,
2011-09-21,1.21599,1.23277,1.214765,1.22142,,
2011-09-22,1.22142,1.234445,1.21707,1.223305,,
2011-09-23,1.223305,1.22835,1.21848,1.22187,,
2011-09-26,1.22228,1.22534,1.21527,1.21987,,
2011-09-27,1.21987,1.2237,1.21682,1.21691,,
2011-09-28,1.21691,1.22256,1.21676,1.21913,,
2011-09-29,1.21913,1.22193,1.21832,1.21967,,
2011-09-30,1.21967,1.220285,1.212575,1.21576,,
2011-10-03,1.21528,1.21668,1.212235,1.21424,,
2011-10-04,1.21424,1.22825,1.21275,1.223095,,
2011-10-05,1.223095,1.235575,1.22177,1.23211,,
2011-10-06,1.23211,1.242835,1.22897,1.23702,,
2011-10-07,1.23702,1.2423,1.23376,1.24065,,
2011-10-10,1.24169,1.243555,1.23036,1.23286,,
2011-10-11,1.23286,1.241495,1.23151,1.239385,,
2011-10-12,1.239385,1.24185,1.23219,1.23433,,
2011-10-13,1.23433,1.23768,1.23275,1.23738,,
2011-10-14,1.23738,1.241305,1.23535,1.23772,,
2011-10-17,1.23752,1.239685,1.234475,1.235395,,
2011-10-18,1.235395,1.237975,1.233055,1.23604,,
2011-10-19,1.23604,1.247375,1.23507,1.24224,,
2011-10-20,1.24224,1.244145,1.228075,1.23168,,
2011-10-21,1.23168,1.233325,1.220785,1.22624,,
2011-10-24,1.22484,1.23066,1.223125,1.22692,,
2011-10-25,1.22692,1.228475,1.22061,1.22105,,
2011-10-26,1.22105,1.22726,1.21573,1.22525,,
2011-10-27,1.22525,1.22882,1.218005,1.22029,,
2011-10-28,1.22029,1.224555,1.219115,1.22111,,
2011-10-31,1.22049,1.22297,1.21416,1.21528,,
2011-11-01,1.21528,1.22116,1.21402,1.21561,,
2011-11-02,1.21561,1.21835,1.214095,1.21539,,
2011-11-03,1.21539,1.21716,1.21304,1.21347,,
2011-11-04,1.21347,1.224725,1.21332,1.21998,,
2011-11-07,1.22699,1.24186,1.22643,1.24075,,
2011-11-08,1.24075,1.245675,1.2321,1.2379,,
2011-11-09,1.2379,1.24027,1.22812,1.23174,,
2011-11-10,1.23174,1.238515,1.229445,1.23289,,
2011-11-11,1.23289,1.2417,1.23213,1.23773,,
2011-11-14,1.2411,1.24167,1.232885,1.23836,,
2011-11-15,1.23836,1.2428,1.23721,1.23893,,
2011-11-16,1.23893,1.24133,1.23622,1.23784,,
2011-11-17,1.23784,1.2441,1.23669,1.24077,,
2011-11-18,1.24077,1.24153,1.23426,1.23978,,
2011-11-21,1.23964,1.24162,1.235395,1.23735,,-1
2011-11-22,1.23735,1.23875,1.233885,1.234635,,-1
2011-11-23,1.234635,1.235445,1.226205,1.22756,,-1
2011-11-24,1.22756,1.231735,1.225565,1.2273,,-1
2011-11-25,1.2273,1.238085,1.225085,1.23174,,-1
2011-11-28,1.23605,1.23691,1.22795,1.22865,,-1
2011-11-29,1.22865,1.23142,1.225835,1.22619,,-1
2011-11-30,1.22619,1.22926,1.22251,1.227895,,-1
2011-12-01,1.227895,1.239345,1.22529,1.232715,,
2011-12-02,1.232715,1.23735,1.232175,1.23397,,-1
2011-12-05,1.236305,1.239865,1.23262,1.23378,,-1
2011-12-06,1.23378,1.242925,1.23305,1.24092,,-1
2011-12-07,1.24092,1.244375,1.237755,1.23867,,-1
2011-12-08,1.23867,1.24038,1.232775,1.23551,,-1
2011-12-09,1.23551,1.238055,1.231295,1.23577,,-1
2011-12-12,1.23846,1.23859,1.232455,1.23588,,-1
2011-12-13,1.23588,1.23763,1.229925,1.23273,,-1
2011-12-14,1.23273,1.238,1.22989,1.23756,,
2011-12-15,1.23756,1.23971,1.222435,1.22352,,-1
2011-12-16,1.22352,1.225375,1.2204,1.22102,,-1
