time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2011-06-22,0.88711,0.89529,0.88479,0.89314,,
2011-06-23,0.89314,0.89341,0.88495,0.89078,,
2011-06-24,0.89078,0.89264,0.886055,0.88909,,
2011-06-27,0.88939,0.89432,0.885885,0.893485,,
2011-06-28,0.893485,0.89837,0.89275,0.898155,,
2011-06-29,0.898155,0.9015,0.89673,0.898575,,
2011-06-30,0.898575,0.90689,0.898455,0.90341,,
2011-07-01,0.90341,0.90833,0.90161,0.90393,,
2011-07-04,0.90494,0.90678,0.900515,0.903865,,
2011-07-05,0.903865,0.90491,0.89727,0.89839,,
2011-07-06,0.89839,0.90184,0.89417,0.894665,,
2011-07-07,0.894665,0.8995,0.89037,0.899205,,
2011-07-08,0.899205,0.90011,0.886405,0.88834,,
2011-07-11,0.88706,0.88915,0.87958,0.88201,,-1
2011-07-12,0.88201,0.88393,0.87492,0.87831,,-1
2011-07-13,0.87831,0.88471,0.87606,0.87941,,-1
2011-07-14,0.87941,0.88313,0.875565,0.87622,,-1
2011-07-15,0.87622,0.87949,0.87458,0.87733,,-1
2011-07-18,0.87612,0.87965,0.87055,0.87887,,-1
2011-07-19,0.87887,0.88088,0.87568,0.87795,,-1
2011-07-20,0.87795,0.8829,0.87695,0.87993,,-1
2011-07-21,0.87993,0.88388,0.87631,0.88323,,
2011-07-22,0.88323,0.88547,0.8798,0.88066,,
2011-07-25,0.88065,0.88438,0.8798,0.88328,,
2011-07-26,0.88328,0.888375,0.88173,0.88431,,
2011-07-27,0.88431,0.88479,0.87726,0.87981,,
2011-07-28,0.87981,0.88051,0.87365,0.87547,,
2011-07-29,0.87547,0.87844,0.873435,0.87641,,
2011-08-01,0.87596,0.88052,0.87224,0.87457,,
2011-08-02,0.87457,0.877,0.869945,0.87145,,
2011-08-03,0.87145,0.875835,0.869515,0.87189,,
2011-08-04,0.87189,0.87501,0.86554,0.86703,,
2011-08-05,0.86703,0.87326,0.86433,0.87115,,
2011-08-08,0.87528,0.87589,0.86628,0.86889,,-1
2011-08-09,0.86889,0.881115,0.86773,0.881015,,-1
2011-08-10,0.881015,0.88862,0.87599,0.87876,,-1
2011-08-11,0.87876,0.88266,0.87375,0.87709,,-1
2011-08-12,0.87709,0.87787,0.87319,0.87534,,-1
2011-08-15,0.87646,0.88298,0.87502,0.88131,,-1
2011-08-16,0.88131,0.8825,0.87378,0.8755,,-1
2011-08-17,0.8755,0.88081,0.86997,0.87201,,-1
2011-08-18,0.87201,0.87461,0.86757,0.86783,,
2011-08-19,0.86783,0.87471,0.86538,0.87434,,
2011-08-22,0.87314,0.87517,0.86968,0.87264,,
2011-08-23,0.87264,0.87693,0.87016,0.87546,,
2011-08-24,0.87546,0.8813,0.8728,0.88029,,
2011-08-25,0.88029,0.883495,0.879505,0.88311,,
2011-08-26,0.88311,0.88674,0.882555,0.88576,,
2011-08-29,0.88678,0.887975,0.8834,0.88437,,
2011-08-30,0.88437,0.88764,0.88153,0.88599,,
2011-08-31,0.88599,0.88847,0.8828,0.88427,,
2011-09-01,0.88427,0.8857,0.87973,0.88132,,
2011-09-02,0.88132,0.88216,0.87475,0.87638,,
2011-09-05,0.87661,0.87954,0.8738,0.87467,,
2011-09-06,0.87467,0.88204,0.87334,0.87799,,
2011-09-07,0.87799,0.88283,0.877245,0.88166,,
2011-09-08,0.88166,0.88423,0.86937,0.86982,,
2011-09-09,0.86982,0.87195,0.85981,0.86031,,
2011-09-12,0.8581,0.863735,0.85293,0.86236,,
2011-09-13,0.86236,0.86864,0.85953,0.86686,,
2011-09-14,0.86686,0.872595,0.863925,0.87229,,
2011-09-15,0.87229,0.879005,0.869675,0.87822,,
2011-09-16,0.87822,0.87898,0.87131,0.87404,,
2011-09-19,0.87031,0.87269,0.86709,0.87154,,
2011-09-20,0.87154,0.87371,0.86785,0.87054,,
2011-09-21,0.87054,0.87952,0.86887,0.87571,,
2011-09-22,0.87571,0.878795,0.87097,0.87759,,
2011-09-23,0.87759,0.87926,0.871245,0.87329,,
2011-09-26,0.87334,0.874665,0.86519,0.86942,,
2011-09-27,0.86942,0.87179,0.86734,0.86884,,
2011-09-28,0.86884,0.87399,0.867135,0.8695,,
2011-09-29,0.8695,0.87262,0.8675,0.87011,,
2011-09-30,0.87011,0.871045,0.857895,0.85899,,
2011-10-03,0.85803,0.86342,0.85305,0.85385,,
2011-10-04,0.85385,0.86459,0.85339,0.86187,,
2011-10-05,0.86187,0.864885,0.85929,0.86335,,
2011-10-06,0.86335,0.87364,0.86208,0.86995,,
2011-10-07,0.86995,0.87048,0.85943,0.85991,,
2011-10-10,0.86063,0.873145,0.86038,0.87078,,
2011-10-11,0.87078,0.87649,0.86886,0.87557,,
2011-10-12,0.87557,0.87873,0.873535,0.8756,,
2011-10-13,0.8756,0.87809,0.870755,0.87381,,
2011-10-14,0.87381,0.87803,0.872135,0.87745,,
2011-10-17,0.87611,0.87968,0.87148,0.87252,,
2011-10-18,0.87252,0.87673,0.86902,0.87523,,
2011-10-19,0.87523,0.878825,0.87152,0.87232,,
2011-10-20,0.87232,0.876715,0.86889,0.87265,,
2011-10-21,0.87265,0.87328,0.86699,0.87106,,
2011-10-24,0.86886,0.872525,0.867415,0.87076,,
2011-10-25,0.87076,0.87249,0.86721,0.86915,,
2011-10-26,0.86915,0.8722,0.86742,0.87057,,
2011-10-27,0.87057,0.88308,0.868995,0.88137,,
2011-10-28,0.88137,0.882065,0.8774,0.87744,,
2011-10-31,0.87672,0.878435,0.85977,0.86147,,
2011-11-01,0.86147,0.862325,0.854845,0.85921,,
2011-11-02,0.85921,0.86417,0.856505,0.86192,,
2011-11-03,0.86192,0.864265,0.85632,0.86171,,
2011-11-04,0.86171,0.86569,0.85747,0.86004,,
2011-11-07,0.86063,0.86109,0.85588,0.85802,,
2011-11-08,0.85802,0.85999,0.85574,0.85976,,
2011-11-09,0.85976,0.85993,0.85008,0.85112,,
2011-11-10,0.85112,0.85579,0.84858,0.85391,,
2011-11-11,0.85391,0.858675,0.85286,0.85587,,
2011-11-14,0.85816,0.86023,0.8557,0.85686,,
2011-11-15,0.85686,0.85748,0.851875,0.85578,,
2011-11-16,0.85578,0.858465,0.852045,0.85583,,
2011-11-17,0.85583,0.85768,0.853715,0.85433,,
2011-11-18,0.85433,0.858635,0.851935,0.85583,,
2011-11-21,0.85568,0.86413,0.85547,0.86243,,-1
2011-11-22,0.86243,0.86649,0.86178,0.86393,,-1
2011-11-23,0.86393,0.86481,0.85887,0.85942,,-1
2011-11-24,0.85942,0.861955,0.858455,0.86115,,-1
2011-11-25,0.86115,0.861815,0.854555,0.85717,,-1
2011-11-28,0.86022,0.86091,0.856915,0.85877,,-1
2011-11-29,0.85877,0.86102,0.85289,0.85371,,-1
2011-11-30,0.85371,0.859065,0.852045,0.85619,,-1
2011-12-01,0.85619,0.85995,0.855795,0.85798,,
2011-12-02,0.85798,0.86189,0.85747,0.85872,,-1
2011-12-05,0.859095,0.860515,0.85574,0.85626,,-1
2011-12-06,0.85626,0.860345,0.85386,0.85904,,-1
