time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2009-09-04,2.10326,2.10553,2.07526,2.07982,,-1
2009-09-07,2.07755,2.08449,2.06696,2.06872,,-1
2009-09-08,2.06872,2.08522,2.06856,2.07964,,-1
2009-09-09,2.07964,2.09468,2.07556,2.09221,,
2009-09-10,2.09221,2.10588,2.07123,2.07123,1,
2009-09-11,2.07123,2.07834,2.05954,2.05954,1,
2009-09-14,2.06973,2.09259,2.06544,2.08491,1,
2009-09-15,2.08491,2.09018,2.07666,2.07909,1,
2009-09-16,2.07909,2.08232,2.05723,2.05996,1,
2009-09-17,2.05996,2.07831,2.05916,2.07415,1,
2009-09-18,2.07415,2.07769,2.06646,2.07412,1,
2009-09-21,2.0756,2.08411,2.0726,2.0766,1,
2009-09-22,2.0766,2.0786,2.04451,2.05748,,
2009-09-23,2.05748,2.05956,2.02926,2.04713,,
2009-09-24,2.04713,2.05139,2.032395,2.04873,,
2009-09-25,2.04873,2.05854,2.03733,2.0424,,
2009-09-28,2.04791,2.05864,2.03424,2.04095,,
2009-09-29,2.04095,2.04308,2.02417,2.04226,,
2009-09-30,2.04226,2.04235,2.01866,2.02495,,
2009-10-01,2.02495,2.03635,2.010745,2.03473,,
2009-10-02,2.03473,2.047745,2.02558,2.03417,,
2009-10-05,2.03742,2.04488,2.00359,2.00502,,
2009-10-06,2.00502,2.013655,1.998045,2.00483,,
2009-10-07,2.00483,2.00578,1.99015,1.99494,,
2009-10-08,1.99494,2.0001,1.98417,1.99158,,
2009-10-09,1.99158,2.01122,1.98919,2.00611,,
2009-10-12,2.00624,2.02584,2.00318,2.01494,,
2009-10-13,2.01494,2.02479,1.99803,2.00927,,
2009-10-14,2.00927,2.024305,2.003805,2.01793,,
2009-10-15,2.01793,2.01868,1.996135,2.00773,,
2009-10-16,2.00773,2.02085,1.99508,2.01296,,
2009-10-19,2.01965,2.02009,1.97382,1.97755,,
2009-10-20,1.97755,2.001635,1.97555,1.99392,,
2009-10-21,1.99392,1.99851,1.96995,1.97454,,
2009-10-22,1.97454,1.99669,1.97432,1.98399,,
2009-10-23,1.98399,1.99393,1.98052,1.98907,,
2009-10-26,1.99052,1.99847,1.98589,1.98972,1,
2009-10-27,1.98972,1.99631,1.98412,1.9894,1,
2009-10-28,1.9894,2.04367,1.98577,2.03951,1,
2009-10-29,2.03951,2.05342,2.01497,2.02232,1,
2009-10-30,2.02232,2.05635,2.02196,2.05192,1,
2009-11-02,2.05722,2.07551,2.04152,2.05751,1,
