time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2010-01-27,0.70821,0.71066,0.70312,0.70646,,
2010-01-28,0.70646,0.71383,0.70378,0.70489,,
2010-01-29,0.70489,0.70896,0.70086,0.701,,
2010-02-01,0.70024,0.70955,0.69956,0.70848,,
2010-02-02,0.70848,0.71276,0.7037,0.71219,,
2010-02-03,0.71219,0.71518,0.7007,0.70252,,
2010-02-04,0.70252,0.70262,0.6844,0.68723,,
2010-02-05,0.68723,0.6933,0.680875,0.68947,,
2010-02-08,0.68831,0.69222,0.68266,0.68297,,
2010-02-09,0.68297,0.69674,0.68177,0.69622,,
2010-02-10,0.69622,0.697,0.6895,0.69273,,
2010-02-11,0.69273,0.70253,0.69182,0.69886,,
2010-02-12,0.69886,0.69947,0.69,0.69756,,
2010-02-15,0.69756,0.699,0.69549,0.69658,,
2010-02-16,0.69658,0.70806,0.69652,0.70716,,
2010-02-17,0.70716,0.707945,0.70188,0.70384,,
2010-02-18,0.70384,0.7063,0.69665,0.69826,,
2010-02-19,0.69826,0.69974,0.69314,0.69947,,
2010-02-22,0.70099,0.7038,0.69932,0.70149,,
2010-02-23,0.70149,0.70586,0.68946,0.69209,,
2010-02-24,0.69209,0.69536,0.6872,0.69337,,
2010-02-25,0.69337,0.694625,0.684795,0.69179,,
2010-02-26,0.69179,0.70182,0.69048,0.69812,,
2010-03-01,0.69812,0.70176,0.69314,0.69966,,
2010-03-02,0.69966,0.70053,0.6924,0.69604,,
2010-03-03,0.69604,0.69866,0.689295,0.69449,,
2010-03-04,0.69449,0.69487,0.68522,0.68659,,
2010-03-05,0.68659,0.69774,0.68548,0.69689,,
2010-03-08,0.69689,0.703605,0.69639,0.70088,,-1
2010-03-09,0.70088,0.70358,0.69622,0.70279,,-1
2010-03-10,0.70279,0.70982,0.701,0.70208,,-1
2010-03-11,0.70208,0.70255,0.69644,0.70039,,-1
2010-03-12,0.70039,0.70502,0.698495,0.70176,,-1
2010-03-15,0.70176,0.70558,0.69877,0.70154,,-1
2010-03-16,0.70154,0.71041,0.70118,0.70989,,-1
2010-03-17,0.70989,0.71787,0.70962,0.7141,,-1
2010-03-18,0.7141,0.71743,0.711875,0.71459,,
2010-03-19,0.71459,0.715725,0.70656,0.70825,,
2010-03-22,0.70705,0.707305,0.70016,0.70639,,
2010-03-23,0.70639,0.708,0.70302,0.70747,,
2010-03-24,0.70747,0.70765,0.69943,0.70202,,
2010-03-25,0.70202,0.710205,0.70082,0.70357,,
2010-03-26,0.70357,0.70918,0.70154,0.70356,,
2010-03-29,0.70553,0.71179,0.7035,0.70952,,
2010-03-30,0.70952,0.713265,0.70829,0.71009,,
2010-03-31,0.71009,0.711625,0.7071,0.7106,,
2010-04-01,0.7106,0.71145,0.70352,0.70807,,
2010-04-02,0.70807,0.70844,0.7051,0.70598,,
2010-04-05,0.70687,0.7073,0.70206,0.70314,,
2010-04-06,0.70314,0.70744,0.69658,0.70665,,
2010-04-07,0.70665,0.709525,0.70274,0.70696,,
2010-04-08,0.70696,0.70756,0.70076,0.70721,,
2010-04-09,0.70721,0.71733,0.70666,0.71614,,
2010-04-12,0.71883,0.719445,0.71108,0.71224,,
2010-04-13,0.71224,0.714705,0.709675,0.71371,,
2010-04-14,0.71371,0.715385,0.70869,0.71455,,
2010-04-15,0.71455,0.716065,0.710375,0.71189,,
2010-04-16,0.71189,0.71566,0.706575,0.70838,,
2010-04-19,0.70838,0.71138,0.70536,0.71122,,-1
2010-04-20,0.71122,0.71446,0.70786,0.71166,,-1
2010-04-21,0.71166,0.713185,0.70754,0.70979,,-1
2010-04-22,0.70979,0.714,0.70704,0.71082,,-1
2010-04-23,0.71082,0.71781,0.70846,0.7173,,-1
2010-04-26,0.71683,0.72558,0.71636,0.72333,,-1
2010-04-27,0.72333,0.72359,0.70998,0.71138,,-1
2010-04-28,0.71138,0.72181,0.71034,0.72078,,-1
