time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2010-07-27,1.03225,1.03955,1.02569,1.03537,,
2010-07-28,1.03537,1.039105,1.029885,1.03885,,
2010-07-29,1.03885,1.039205,1.030365,1.03664,,
2010-07-30,1.03664,1.03761,1.02649,1.02969,,
2010-08-02,1.02875,1.03018,1.020495,1.02295,,
2010-08-03,1.02295,1.02741,1.02199,1.02346,,
2010-08-04,1.02346,1.02718,1.01631,1.01824,,
2010-08-05,1.01824,1.018755,1.01076,1.01679,,
2010-08-06,1.01679,1.03063,1.01473,1.02726,,
2010-08-09,1.02683,1.02998,1.02563,1.02701,,
2010-08-10,1.02701,1.038815,1.02682,1.03141,,
2010-08-11,1.03141,1.04741,1.0303,1.04628,,
2010-08-12,1.04628,1.049395,1.042125,1.04232,,
2010-08-13,1.04232,1.04392,1.03508,1.04185,,
2010-08-16,1.04143,1.04653,1.03713,1.04345,,-1
2010-08-17,1.04345,1.04393,1.03088,1.03208,,-1
2010-08-18,1.03208,1.034155,1.027095,1.02955,,-1
2010-08-19,1.02955,1.04164,1.024805,1.04039,,-1
2010-08-20,1.04039,1.0515,1.038265,1.04747,,-1
2010-08-23,1.0494,1.053,1.04448,1.05215,,-1
2010-08-24,1.05215,1.06643,1.05122,1.06144,,-1
2010-08-25,1.06144,1.0668,1.05744,1.05962,,-1
2010-08-26,1.05962,1.06055,1.05219,1.05789,,
2010-08-27,1.05789,1.06495,1.05061,1.05078,,
2010-08-30,1.04932,1.06047,1.047255,1.05996,,
2010-08-31,1.05996,1.067335,1.05753,1.06561,,
2010-09-01,1.06561,1.06569,1.048455,1.0497,,
2010-09-02,1.0497,1.055545,1.047155,1.05228,,
2010-09-03,1.05228,1.0569,1.0382,1.03877,,
2010-09-06,1.03983,1.040385,1.03407,1.03538,1,
2010-09-07,1.03538,1.0482,1.03497,1.04788,1,
2010-09-08,1.04788,1.05088,1.03463,1.03745,1,
2010-09-09,1.03745,1.039455,1.03019,1.03396,1,
2010-09-10,1.03396,1.03745,1.02875,1.03699,1,
2010-09-13,1.03352,1.034595,1.02659,1.02718,1,
2010-09-14,1.02718,1.030585,1.02168,1.02763,1,
2010-09-15,1.02763,1.032105,1.02519,1.0262,1,
2010-09-16,1.0262,1.029075,1.02399,1.0266,,
2010-09-17,1.0266,1.03504,1.02167,1.03296,,
2010-09-20,1.03225,1.034725,1.02619,1.02823,,
2010-09-21,1.02823,1.0331,1.02166,1.02682,,
2010-09-22,1.02682,1.03588,1.01917,1.03072,,
2010-09-23,1.03072,1.03798,1.028445,1.03422,,
2010-09-24,1.03422,1.035545,1.02263,1.0241,,
2010-09-27,1.02454,1.02984,1.02234,1.0292,,
2010-09-28,1.0292,1.03618,1.02831,1.02971,,
2010-09-29,1.02971,1.03417,1.02406,1.0326,,
2010-09-30,1.0326,1.034575,1.02312,1.02925,,
2010-10-01,1.02925,1.03139,1.01877,1.01966,,
2010-10-04,1.01907,1.02446,1.018055,1.02392,,
2010-10-05,1.02392,1.027305,1.01543,1.0158,,
2010-10-06,1.0158,1.016705,1.006265,1.01113,,
2010-10-07,1.01113,1.021145,1.00782,1.01749,,
2010-10-08,1.01749,1.02303,1.00919,1.01109,,
2010-10-11,1.01012,1.01503,1.009255,1.01372,,
2010-10-12,1.01372,1.01833,1.00898,1.01011,,
2010-10-13,1.01011,1.010575,1.00117,1.00334,,
2010-10-14,1.00334,1.00742,0.99807,1.004,,
2010-10-15,1.004,1.01393,1.00129,1.01035,,
2010-10-18,1.01199,1.02282,1.01183,1.01721,,-1
2010-10-19,1.01721,1.037365,1.016225,1.0336,,-1
2010-10-20,1.0336,1.034935,1.02075,1.02103,,-1
2010-10-21,1.02103,1.030225,1.01685,1.02672,,-1
2010-10-22,1.02672,1.030225,1.02235,1.02585,,-1
2010-10-25,1.02545,1.02687,1.015475,1.01995,,-1
2010-10-26,1.01995,1.026655,1.018165,1.02387,,-1
2010-10-27,1.02387,1.03395,1.022645,1.0281,,-1
2010-10-28,1.0281,1.028655,1.01817,1.0211,,
2010-10-29,1.0211,1.024855,1.01692,1.0194,,-1
2010-11-01,1.01926,1.02029,1.01269,1.01524,,-1
2010-11-02,1.01524,1.017345,1.00817,1.00817,,-1
2010-11-03,1.00817,1.015665,1.00471,1.00525,,-1
2010-11-04,1.00525,1.01278,1.00104,1.00215,,-1
2010-11-05,1.00215,1.0092,0.9992,1.00027,,-1
2010-11-08,1.00048,1.00551,0.999455,1.00354,,-1
2010-11-09,1.00354,1.009445,0.99801,1.00801,,-1
2010-11-10,1.00801,1.00921,0.999365,1.00093,,
2010-11-11,1.00093,1.007245,0.997775,1.00332,,
2010-11-12,1.00332,1.01461,1.002775,1.01235,,
2010-11-15,1.01089,1.013945,1.005705,1.00985,,
2010-11-16,1.00985,1.025415,1.006985,1.02232,,
2010-11-17,1.02232,1.02619,1.018145,1.0246,,
2010-11-18,1.0246,1.02476,1.01556,1.01898,,
2010-11-19,1.01898,1.0234,1.01644,1.01685,,
2010-11-22,1.01672,1.02172,1.01221,1.01872,,
2010-11-23,1.01872,1.026425,1.01631,1.02468,,
2010-11-24,1.02468,1.02468,1.009155,1.00989,,
2010-11-25,1.00989,1.01239,1.007765,1.00922,,
2010-11-26,1.00922,1.024735,1.008565,1.02125,,
2010-11-29,1.01674,1.02582,1.01674,1.01805,,
2010-11-30,1.01805,1.028675,1.017165,1.02644,,
2010-12-01,1.02644,1.027225,1.01432,1.01702,,
2010-12-02,1.01702,1.018995,1.0026,1.00268,,
2010-12-03,1.00268,1.00807,1.00031,1.00399,,
2010-12-06,1.00362,1.00833,1.00221,1.00565,,
2010-12-07,1.00565,1.01262,1.0012,1.01238,,
2010-12-08,1.01238,1.01409,1.00636,1.0112,,
2010-12-09,1.0112,1.01262,1.0067,1.01062,,
2010-12-10,1.01062,1.01167,1.00839,1.00903,,
2010-12-13,1.0102,1.01079,1.00277,1.00737,,
2010-12-14,1.00737,1.01115,1.00289,1.00617,,
2010-12-15,1.00617,1.009535,1.00015,1.00494,,
2010-12-16,1.00494,1.00753,1.00326,1.00621,,
2010-12-17,1.00621,1.014675,1.003865,1.01402,,
2010-12-20,1.01279,1.02084,1.01025,1.01675,,
2010-12-21,1.01675,1.02067,1.015145,1.01702,,
2010-12-22,1.01702,1.017845,1.011145,1.01325,,
2010-12-23,1.01325,1.016535,1.007145,1.00929,,
2010-12-24,1.00929,1.01153,1.00507,1.0084,,
2010-12-27,1.00815,1.011095,1.005855,1.00685,,
2010-12-28,1.00685,1.007225,0.99755,1.00103,,
2010-12-29,1.00103,1.005615,0.997525,1.0008,,
2010-12-30,1.0008,1.00226,0.99915,1.00003,,
2010-12-31,1.00003,1.00078,0.99259,0.99795,,
2011-01-03,0.99488,0.99534,0.988975,0.99389,,
2011-01-04,0.99389,1.003435,0.991755,0.99835,,
2011-01-05,0.99835,1.002355,0.99342,0.99569,,
2011-01-06,0.99569,0.9994,0.99259,0.99665,,
2011-01-07,0.99665,1.000435,0.989985,0.99355,,
2011-01-10,0.99324,0.998415,0.99117,0.99335,,
2011-01-11,0.99335,0.995025,0.989265,0.99039,,
2011-01-12,0.99039,0.99128,0.98488,0.98567,,
2011-01-13,0.98567,0.99092,0.98541,0.98916,,
2011-01-14,0.98916,0.99773,0.98861,0.9909,,
2011-01-17,0.98818,0.990155,0.985655,0.98705,,
2011-01-18,0.98705,0.9935,0.983785,0.99124,,
2011-01-19,0.99124,0.99665,0.98891,0.99576,,
2011-01-20,0.99576,1.00311,0.99498,0.99732,,
2011-01-21,0.99732,0.998815,0.99091,0.99318,,
2011-01-24,0.99353,0.99827,0.9919,0.99351,,
2011-01-25,0.99351,1.00043,0.991185,0.99685,,
2011-01-26,0.99685,0.998135,0.993685,0.99405,,
2011-01-27,0.99405,0.99867,0.99267,0.99345,,
2011-01-28,0.99345,1.001715,0.99345,1.00115,,
2011-01-31,1.00168,1.00578,0.99627,1.00095,,
2011-02-01,1.00095,1.001,0.99004,0.99059,,
2011-02-02,0.99059,0.991625,0.98607,0.98789,,
2011-02-03,0.98789,0.99221,0.98659,0.9911,,
2011-02-04,0.9911,0.997905,0.98319,0.9873,,
2011-02-07,0.98821,0.99124,0.98585,0.99083,,
2011-02-08,0.99083,0.99773,0.98691,0.99517,,
2011-02-09,0.99517,0.99561,0.991565,0.99379,,
2011-02-10,0.99379,0.99875,0.99327,0.99527,,
2011-02-11,0.99527,0.99864,0.98627,0.9874,,
2011-02-14,0.98943,0.99021,0.98165,0.98908,,
2011-02-15,0.98908,0.99024,0.98517,0.98977,,
2011-02-16,0.98977,0.99042,0.98466,0.98485,,
2011-02-17,0.98485,0.98591,0.98161,0.9843,,
2011-02-18,0.9843,0.98743,0.98188,0.98676,,
2011-02-21,0.98545,0.987225,0.98225,0.98301,,-1
2011-02-22,0.98301,0.99196,0.982385,0.99077,,-1
2011-02-23,0.99077,0.995915,0.98586,0.98951,,-1
2011-02-24,0.98951,0.99028,0.98166,0.98261,,-1
2011-02-25,0.98261,0.98324,0.97731,0.97747,,-1
2011-02-28,0.97869,0.978935,0.971015,0.97167,,-1
2011-03-01,0.97167,0.97553,0.96842,0.9747,,-1
2011-03-02,0.9747,0.977565,0.970845,0.9733,,-1
2011-03-03,0.9733,0.975295,0.971485,0.97206,,
2011-03-04,0.97206,0.97431,0.96999,0.97345,,
2011-03-07,0.97333,0.97434,0.97005,0.9733,,
2011-03-08,0.9733,0.974845,0.97077,0.97142,,
2011-03-09,0.97142,0.97153,0.96678,0.96848,,
2011-03-10,0.96848,0.97673,0.96835,0.97602,,
2011-03-11,0.97602,0.980235,0.97056,0.97315,,
2011-03-14,0.97332,0.97642,0.97107,0.9738,,
2011-03-15,0.9738,0.997425,0.97341,0.98595,,
2011-03-16,0.98595,0.99675,0.980715,0.99141,,
2011-03-17,0.99141,0.99519,0.98349,0.98477,,
2011-03-18,0.98477,0.986675,0.9803,0.98431,,
2011-03-21,0.984915,0.985605,0.97498,0.9779,1,
2011-03-22,0.9779,0.98134,0.97471,0.98063,1,
2011-03-23,0.98063,0.984375,0.979215,0.98154,1,
2011-03-24,0.98154,0.982475,0.97316,0.97516,1,
2011-03-25,0.97516,0.98274,0.97422,0.98032,1,
2011-03-28,0.98037,0.98247,0.97419,0.97797,1,
2011-03-29,0.97797,0.978535,0.97389,0.97443,1,
2011-03-30,0.97443,0.975375,0.968655,0.97086,1,
2011-03-31,0.97086,0.97293,0.96835,0.97056,,
2011-04-01,0.97056,0.97062,0.962655,0.96325,1,
2011-04-04,0.96388,0.96872,0.96165,0.96697,1,
2011-04-05,0.96697,0.96933,0.962765,0.96386,1,
2011-04-06,0.96386,0.96419,0.95689,0.96081,1,
2011-04-07,0.96081,0.96242,0.95706,0.9583,1,
2011-04-08,0.9583,0.959435,0.952695,0.95543,1,
2011-04-11,0.95522,0.95775,0.95426,0.95661,1,
2011-04-12,0.95661,0.965785,0.95566,0.96346,1,
2011-04-13,0.96346,0.96552,0.95857,0.96227,,
2011-04-14,0.96227,0.96695,0.95955,0.96113,,
2011-04-15,0.96113,0.96493,0.95917,0.95921,,
2011-04-18,0.95897,0.97216,0.9587,0.9642,,
2011-04-19,0.9642,0.96669,0.95487,0.95613,,
2011-04-20,0.95613,0.95651,0.94978,0.95258,,
2011-04-21,0.95258,0.95375,0.94546,0.95317,,
2011-04-22,0.95317,0.9548,0.95197,0.95445,,
2011-04-25,0.95251,0.956115,0.950375,0.95438,,
2011-04-26,0.95438,0.95623,0.9496,0.95155,,
2011-04-27,0.95155,0.95764,0.948775,0.94972,,
2011-04-28,0.94972,0.952075,0.946515,0.95064,,
2011-04-29,0.95064,0.95496,0.94456,0.94501,,
2011-05-02,0.94572,0.95187,0.94469,0.9506,,
2011-05-03,0.9506,0.9542,0.94593,0.95264,,
2011-05-04,0.95264,0.96039,0.950505,0.95934,,
2011-05-05,0.95934,0.971285,0.956905,0.96695,,
2011-05-06,0.96695,0.970295,0.957395,0.9666,,
2011-05-09,0.96672,0.969625,0.960465,0.96178,1,
2011-05-10,0.96178,0.96534,0.95678,0.95678,1,
2011-05-11,0.95678,0.96389,0.95131,0.96201,1,
2011-05-12,0.96201,0.969445,0.95979,0.9627,1,
2011-05-13,0.9627,0.974405,0.96048,0.96857,1,
2011-05-16,0.96887,0.97701,0.96839,0.97582,1,
2011-05-17,0.97582,0.979345,0.97174,0.97219,1,
2011-05-18,0.97219,0.975975,0.96973,0.97006,1,
2011-05-19,0.97006,0.97141,0.96539,0.96757,,
2011-05-20,0.96757,0.977175,0.96416,0.97409,,
2011-05-23,0.97407,0.98101,0.97348,0.97792,,
2011-05-24,0.97792,0.979305,0.97543,0.97675,,
2011-05-25,0.97675,0.98163,0.97438,0.97691,,
2011-05-26,0.97691,0.98157,0.975685,0.97773,,
2011-05-27,0.97773,0.97983,0.97534,0.97618,,
2011-05-30,0.97791,0.97872,0.97523,0.97706,,
2011-05-31,0.97706,0.9772,0.9655,0.96842,,
2011-06-01,0.96842,0.97749,0.96675,0.97739,,
2011-06-02,0.97739,0.980965,0.9745,0.97591,,
2011-06-03,0.97591,0.985215,0.974465,0.97829,,
2011-06-06,0.97832,0.98172,0.976835,0.98093,,
2011-06-07,0.98093,0.98108,0.97319,0.97454,,
2011-06-08,0.97454,0.98208,0.97383,0.97933,,
2011-06-09,0.97933,0.981345,0.97239,0.97295,,
2011-06-10,0.97295,0.97991,0.97137,0.97984,,
2011-06-13,0.97947,0.98008,0.975395,0.97603,,
2011-06-14,0.97603,0.97721,0.96755,0.96821,,
2011-06-15,0.96821,0.982905,0.9671,0.97912,,
2011-06-16,0.97912,0.98985,0.97728,0.98121,,
2011-06-17,0.98121,0.98696,0.97759,0.97942,,
2011-06-20,0.9818,0.98494,0.978215,0.97985,,
2011-06-21,0.97985,0.980555,0.97108,0.9711,,
2011-06-22,0.9711,0.97535,0.970115,0.97387,,
2011-06-23,0.97387,0.98243,0.97138,0.979,,
2011-06-24,0.979,0.98872,0.977065,0.98854,,
2011-06-27,0.98682,0.9913,0.9858,0.98609,,
2011-06-28,0.98609,0.98844,0.98114,0.98114,,
2011-06-29,0.98114,0.9825,0.969,0.96948,,
2011-06-30,0.96948,0.97055,0.962485,0.9634,,
2011-07-01,0.9634,0.965125,0.95806,0.95858,,
2011-07-04,0.95964,0.96181,0.957955,0.9611,,
2011-07-05,0.9611,0.96424,0.959415,0.96335,,
2011-07-06,0.96335,0.96947,0.96149,0.96532,,
2011-07-07,0.96532,0.96665,0.95695,0.95867,,
2011-07-08,0.95867,0.96657,0.95664,0.96213,,
2011-07-11,0.96161,0.969545,0.96156,0.96882,,-1
2011-07-12,0.96882,0.977885,0.962655,0.96658,,-1
2011-07-13,0.96658,0.96689,0.95783,0.95817,,-1
2011-07-14,0.95817,0.96169,0.95495,0.96055,,-1
2011-07-15,0.96055,0.962415,0.95207,0.95345,,-1
2011-07-18,0.95466,0.96356,0.95367,0.95973,,-1
2011-07-19,0.95973,0.960155,0.94826,0.95008,,-1
2011-07-20,0.95008,0.95132,0.94573,0.94744,,-1
2011-07-21,0.94744,0.94933,0.942355,0.94329,,
2011-07-22,0.94329,0.95303,0.94244,0.94787,,
2011-07-25,0.94898,0.952495,0.94346,0.94712,,
2011-07-26,0.94712,0.9475,0.94066,0.94431,,
2011-07-27,0.94431,0.95061,0.94108,0.94982,,
2011-07-28,0.94982,0.9523,0.94577,0.94927,,
2011-07-29,0.94927,0.959005,0.948665,0.9553,,
2011-08-01,0.9539,0.96054,0.94917,0.95709,,
2011-08-02,0.95709,0.96185,0.95479,0.96129,,
2011-08-03,0.96129,0.96471,0.95686,0.96213,,
2011-08-04,0.96213,0.98158,0.9603,0.98151,,
2011-08-05,0.98151,0.985395,0.974265,0.98201,,
2011-08-08,0.98154,0.99452,0.978275,0.99447,,-1
2011-08-09,0.99447,1.00097,0.97694,0.97722,,-1
2011-08-10,0.97722,0.995405,0.9767,0.99484,,-1
2011-08-11,0.99484,0.996855,0.98407,0.98419,,-1
2011-08-12,0.98419,0.991895,0.983425,0.98713,,-1
2011-08-15,0.98755,0.99062,0.97918,0.97918,,-1
2011-08-16,0.97918,0.98721,0.97908,0.98231,,-1
2011-08-17,0.98231,0.98465,0.977535,0.98069,,-1
2011-08-18,0.98069,0.993865,0.97996,0.99044,,
2011-08-19,0.99044,0.99268,0.982655,0.9901,,
2011-08-22,0.99073,0.99188,0.98293,0.99046,,
2011-08-23,0.99046,0.990985,0.984975,0.98738,,
2011-08-24,0.98738,0.99054,0.98401,0.98716,,
2011-08-25,0.98716,0.988735,0.979175,0.98831,,
2011-08-26,0.98831,0.99243,0.98097,0.98141,,
2011-08-29,0.97993,0.98334,0.974075,0.97699,,
2011-08-30,0.97699,0.981715,0.975805,0.97785,,
2011-08-31,0.97785,0.98016,0.972555,0.97769,,
2011-09-01,0.97769,0.979645,0.973665,0.97679,,
2011-09-02,0.97679,0.98578,0.97543,0.98505,,
2011-09-05,0.98644,0.993265,0.985365,0.99065,,
2011-09-06,0.99065,0.996645,0.986435,0.99051,,
2011-09-07,0.99051,0.99113,0.98316,0.9833,,
2011-09-08,0.9833,0.98973,0.983025,0.98943,,
2011-09-09,0.98943,0.99789,0.986915,0.99666,,
2011-09-12,0.99741,1.00266,0.99162,0.99274,,
2011-09-13,0.99274,0.997695,0.985075,0.98569,,
2011-09-14,0.98569,0.994035,0.984665,0.98928,,
2011-09-15,0.98928,0.99506,0.98305,0.98357,,
2011-09-16,0.98357,0.98611,0.97804,0.97804,,
2011-09-19,0.9812,0.992345,0.980635,0.9907,,
2011-09-20,0.9907,0.994865,0.98827,0.99262,,
2011-09-21,0.99262,1.00886,0.99109,1.00809,,
2011-09-22,1.00809,1.036125,1.00526,1.02845,,
2011-09-23,1.02845,1.03491,1.02251,1.02795,,
2011-09-26,1.02808,1.03853,1.02512,1.02512,,
2011-09-27,1.02512,1.02811,1.014405,1.01933,,
2011-09-28,1.01933,1.03378,1.01924,1.03351,,
2011-09-29,1.03351,1.040235,1.025675,1.03588,,
2011-09-30,1.03588,1.0503,1.03522,1.05025,,
2011-10-03,1.04906,1.05482,1.043275,1.05464,,
2011-10-04,1.05464,1.065785,1.051135,1.05131,,
2011-10-05,1.05131,1.05718,1.039675,1.0402,,
2011-10-06,1.0402,1.04829,1.037095,1.0371,,
2011-10-07,1.0371,1.04187,1.02354,1.03956,,
2011-10-10,1.03898,1.03968,1.02514,1.02583,,
2011-10-11,1.02583,1.03386,1.025685,1.02997,,
2011-10-12,1.02997,1.03287,1.01335,1.01721,,
2011-10-13,1.01721,1.02728,1.016415,1.02093,,
2011-10-14,1.02093,1.023485,1.00967,1.0098,,
2011-10-17,1.01116,1.02375,1.00439,1.02347,,
2011-10-18,1.02347,1.026365,1.011175,1.01413,,
2011-10-19,1.01413,1.021685,1.008565,1.02058,,
2011-10-20,1.02058,1.02464,1.013205,1.01547,,
2011-10-21,1.01547,1.018815,1.006695,1.0068,,
2011-10-24,1.00959,1.01014,1.002215,1.00378,,
2011-10-25,1.00378,1.021275,0.999125,1.01668,,
2011-10-26,1.01668,1.017705,1.0037,1.00425,,
2011-10-27,1.00425,1.00514,0.989255,0.99092,,
2011-10-28,0.99092,0.997025,0.98956,0.99177,,
2011-10-31,0.99174,1.00275,0.99134,1.00077,,
2011-11-01,1.00077,1.020805,0.99747,1.02035,,
2011-11-02,1.02035,1.02232,1.010665,1.01353,,
2011-11-03,1.01353,1.02164,1.0055,1.00666,,
2011-11-04,1.00666,1.02285,1.0066,1.01875,,
2011-11-07,1.01678,1.0204,1.01241,1.01262,,
2011-11-08,1.01262,1.01822,1.007685,1.00876,,
2011-11-09,1.00876,1.02461,1.007885,1.02461,,
2011-11-10,1.02461,1.026615,1.016425,1.01694,,
2011-11-11,1.01694,1.023245,1.00963,1.0103,,
2011-11-14,1.00822,1.019475,1.00822,1.01678,,
2011-11-15,1.01678,1.026295,1.015935,1.02106,,
2011-11-16,1.02106,1.028785,1.017245,1.02451,,
2011-11-17,1.02451,1.02951,1.020845,1.02922,,
2011-11-18,1.02922,1.03019,1.01997,1.02772,,
2011-11-21,1.02732,1.041895,1.02704,1.04003,,-1
2011-11-22,1.04003,1.041315,1.034655,1.03828,,-1
2011-11-23,1.03828,1.049745,1.03747,1.04861,,-1
2011-11-24,1.04861,1.049215,1.043855,1.04704,,-1
2011-11-25,1.04704,1.052325,1.043915,1.04715,,-1
2011-11-28,1.0424,1.04481,1.03046,1.03411,,-1
2011-11-29,1.03411,1.036425,1.0259,1.03214,,-1
2011-11-30,1.03214,1.036345,1.0124,1.01741,,-1
