time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2008-05-15,105.047,105.296,104.433,104.745,,-1
2008-05-16,104.745,105.104,103.53,104.054,,-1
2008-05-19,104.038,104.694,103.627,104.33,,-1
2008-05-20,104.33,104.482,103.46,103.674,,-1
2008-05-21,103.674,103.695,102.965,103.055,,
2008-05-22,103.055,104.387,102.736,104.067,,
2008-05-23,104.067,104.26,103.071,103.387,,
2008-05-26,103.281,103.495,103.141,103.425,,
2008-05-27,103.425,104.351,103.265,104.25,,
2008-05-28,104.25,105.307,103.9,104.695,,
2008-05-29,104.695,105.87,104.605,105.503,,
2008-05-30,105.503,105.737,105.238,105.517,,
2008-06-02,105.145,105.56,104.028,104.43,,
2008-06-03,104.43,105.553,103.875,105.084,,
2008-06-04,105.084,105.361,104.539,105.232,,
2008-06-05,105.232,106.432,105.205,105.943,,
2008-06-06,105.943,106.3395,104.914,104.931,,
2008-06-09,104.67,106.358,104.425,106.304,,
2008-06-10,106.304,107.453,106.238,107.448,,
2008-06-11,107.448,107.758,106.565,106.975,,
2008-06-12,106.975,108.09,106.799,107.965,,
2008-06-13,107.965,108.3945,107.655,108.192,,
2008-06-16,108.03,108.591,107.925,108.221,1,
2008-06-17,108.221,108.398,107.603,107.931,1,
2008-06-18,107.931,108.434,107.721,107.886,1,
2008-06-19,107.886,108.067,107.425,108.008,1,
2008-06-20,108.008,108.068,107.129,107.339,1,
2008-06-23,107.105,108.073,107.085,107.854,1,
2008-06-24,107.854,108.215,107.359,107.817,1,
2008-06-25,107.817,108.4105,107.663,107.79,1,
2008-06-26,107.79,108.191,106.612,106.814,,
2008-06-27,106.814,107.216,105.868,106.143,1,
2008-06-30,106.198,106.471,104.987,106.213,1,
2008-07-01,106.213,106.385,105.233,106.13,1,
2008-07-02,106.13,106.768,105.783,105.896,1,
2008-07-03,105.896,106.935,105.775,106.7285,1,
2008-07-04,106.7285,106.884,106.602,106.805,1,
2008-07-07,106.755,107.755,106.662,107.181,1,
2008-07-08,107.181,107.545,106.253,107.504,1,
2008-07-09,107.504,107.667,106.691,106.762,,
2008-07-10,106.762,107.44,106.7,107.074,,
2008-07-11,107.074,107.302,105.655,106.275,,
2008-07-14,106.031,106.812,106.03,106.144,,
2008-07-15,106.144,106.278,104.1225,104.73,,
